# Area: Bahrain
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  26.0667   Longitude 50.5577 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2.82 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,32.12,1.52,23.14,0.11,8.93,0.0,0.0,0.02,0.0,0.0,0.22,0.18,66.24
PRECTOTCORR_SUM,1982,5.83,55.77,59.55,4.68,0.0,0.0,0.0,4.17,1.36,9.9,22.68,23.21,187.15
PRECTOTCORR_SUM,1983,40.61,9.1,37.95,9.13,4.7,0.0,0.0,0.67,0.0,0.0,0.18,0.99,103.33
PRECTOTCORR_SUM,1984,7.98,6.69,25.8,0.28,0.39,0.0,0.0,0.0,0.0,0.1,21.61,16.29,79.14
PRECTOTCORR_SUM,1985,11.56,2.47,5.78,6.09,0.39,0.15,0.78,0.33,0.4,0.18,11.55,19.78,59.46
PRECTOTCORR_SUM,1986,7.92,13.1,12.6,11.45,6.11,0.39,0.0,4.93,0.18,0.13,15.19,29.24,101.24
PRECTOTCORR_SUM,1987,0.11,4.73,41.87,1.61,0.06,0.28,0.0,1.82,0.0,0.0,0.0,0.01,50.49
PRECTOTCORR_SUM,1988,5.94,42.45,1.72,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08,53.57
PRECTOTCORR_SUM,1989,0.06,0.88,10.73,0.11,0.0,0.0,0.0,0.0,0.0,0.0,1.34,25.57,38.69
PRECTOTCORR_SUM,1990,25.16,3.77,2.38,3.82,0.03,0.18,0.0,0.0,0.0,0.0,0.2,0.0,35.54
PRECTOTCORR_SUM,1991,42.45,12.27,8.64,0.57,0.0,0.0,0.0,0.0,0.0,0.0,1.29,13.47,78.69
PRECTOTCORR_SUM,1992,3.21,5.22,22.66,0.77,0.01,0.0,0.0,0.0,0.0,1.49,0.55,26.38,60.29
PRECTOTCORR_SUM,1993,14.53,21.65,1.92,6.09,0.7,0.0,0.0,0.0,0.0,0.04,0.0,0.01,44.94
PRECTOTCORR_SUM,1994,0.01,0.0,14.63,2.45,2.9,0.0,0.03,0.0,0.0,0.09,0.0,0.23,20.34
PRECTOTCORR_SUM,1995,0.09,12.0,58.66,2.42,0.01,0.0,0.07,0.0,0.0,0.0,0.06,41.78,115.09
PRECTOTCORR_SUM,1996,21.8,8.58,15.31,1.56,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.26
PRECTOTCORR_SUM,1997,7.51,0.07,34.49,1.22,0.24,0.0,0.0,0.0,0.0,2.54,50.01,1.77,97.85
PRECTOTCORR_SUM,1998,46.78,7.27,8.83,0.77,0.02,0.0,1.05,0.14,0.0,0.0,0.0,0.0,64.86
PRECTOTCORR_SUM,1999,1.95,18.59,9.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,29.73
PRECTOTCORR_SUM,2000,17.37,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,2.49,48.8,6.07,74.76
PRECTOTCORR_SUM,2001,2.21,0.48,0.84,0.25,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.19,4.51
PRECTOTCORR_SUM,2002,11.51,1.1,2.56,1.79,0.0,0.0,0.0,0.0,0.0,0.01,8.36,3.11,28.44
PRECTOTCORR_SUM,2003,4.5,8.61,1.49,4.42,0.0,0.0,0.0,0.0,0.0,0.0,0.57,28.5,48.09
PRECTOTCORR_SUM,2004,3.07,0.55,1.6,2.8,0.12,0.0,0.0,12.85,0.0,0.0,1.81,16.73,39.53
PRECTOTCORR_SUM,2005,13.32,5.97,7.18,1.44,0.0,0.0,0.0,0.01,0.06,0.0,2.5,0.0,30.48
PRECTOTCORR_SUM,2006,0.64,5.23,4.83,1.39,0.0,0.0,0.0,0.0,0.0,0.0,22.81,47.98,82.88
PRECTOTCORR_SUM,2007,1.67,39.91,0.09,1.59,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.35
PRECTOTCORR_SUM,2008,9.3,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.64,10.55
PRECTOTCORR_SUM,2009,0.75,0.9,2.39,3.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.31,31.66
PRECTOTCORR_SUM,2010,0.13,0.5,0.01,2.49,0.79,0.02,0.0,0.0,0.0,0.0,2.67,0.0,6.61
PRECTOTCORR_SUM,2011,37.91,1.48,0.0,4.11,0.0,0.0,0.0,0.0,0.0,0.0,9.11,0.0,52.61
PRECTOTCORR_SUM,2012,0.2,0.05,3.04,0.83,0.0,0.0,0.0,0.03,0.0,0.0,9.84,6.17,20.16
