# Area: Barbados
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  13.1   Longitude -59.61 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 7.72 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,30.96,34.67,21.72,143.62,96.18,96.8,97.55,131.61,60.1,76.47,65.19,74.28,929.15
PRECTOTCORR_SUM,1982,33.75,55.23,8.62,14.71,44.08,48.2,62.27,88.29,102.04,84.88,80.82,68.19,691.08
PRECTOTCORR_SUM,1983,53.69,3.84,5.32,23.02,113.17,78.0,94.32,80.49,111.52,96.0,34.44,48.48,742.29
PRECTOTCORR_SUM,1984,26.42,14.56,18.49,5.29,22.49,42.06,93.91,60.77,92.01,115.05,168.62,51.09,710.76
PRECTOTCORR_SUM,1985,16.13,32.9,15.91,31.33,17.29,38.09,77.03,94.7,89.7,202.73,95.64,35.88,747.33
PRECTOTCORR_SUM,1986,14.44,8.59,31.39,16.48,54.77,65.27,52.1,95.98,94.48,66.93,137.68,28.17,666.28
PRECTOTCORR_SUM,1987,8.99,1.84,19.22,3.25,99.07,96.77,71.48,77.22,88.15,90.76,129.29,20.37,706.41
PRECTOTCORR_SUM,1988,12.05,23.64,8.72,6.67,8.18,48.51,55.4,118.07,164.79,174.25,105.46,39.56,765.3
PRECTOTCORR_SUM,1989,19.83,16.53,43.23,12.53,9.17,40.96,63.98,40.7,163.39,38.83,104.32,16.47,569.94
PRECTOTCORR_SUM,1990,45.62,23.88,19.09,28.59,63.43,55.35,46.93,76.13,57.45,164.73,53.31,29.61,664.12
PRECTOTCORR_SUM,1991,10.96,7.52,10.44,56.35,15.99,35.01,61.11,42.27,107.83,68.11,272.89,20.8,709.28
PRECTOTCORR_SUM,1992,19.29,24.65,6.23,11.64,84.9,131.48,54.06,59.64,112.79,15.51,113.9,45.25,679.34
PRECTOTCORR_SUM,1993,22.51,9.32,22.13,13.31,75.41,66.97,48.58,75.17,93.8,72.98,70.43,12.32,582.93
