# Area: Chad
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  15.45   Longitude 18.73 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 323.25 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,0.0,0.0,1.53,0.29,1.72,6.74,59.69,22.6,54.71,3.51,0.0,0.01,150.8
PRECTOTCORR_SUM,1982,0.83,0.02,0.64,1.82,15.1,43.29,29.91,133.02,27.17,9.73,1.85,0.0,263.38
PRECTOTCORR_SUM,1983,0.0,0.19,0.0,1.53,13.08,11.08,41.52,72.61,6.26,3.09,0.39,0.21,149.96
PRECTOTCORR_SUM,1984,0.0,0.0,0.24,7.45,8.8,7.44,32.96,46.72,12.56,11.19,0.0,0.12,127.48
PRECTOTCORR_SUM,1985,0.0,0.0,0.54,0.76,2.03,18.92,41.71,44.62,17.05,9.66,0.06,0.0,135.35
PRECTOTCORR_SUM,1986,0.0,0.0,0.17,0.0,1.93,6.99,52.45,97.87,44.92,2.52,1.89,0.14,208.88
PRECTOTCORR_SUM,1987,0.0,0.0,0.09,0.53,1.19,22.58,167.14,18.35,0.15,0.05,0.0,0.0,210.08
PRECTOTCORR_SUM,1988,0.0,0.02,0.01,0.18,5.42,0.77,39.82,126.13,16.23,1.89,0.0,0.0,190.47
PRECTOTCORR_SUM,1989,0.0,0.0,0.0,0.0,2.72,3.46,9.78,87.09,3.13,8.3,0.0,0.0,114.48
PRECTOTCORR_SUM,1990,0.03,0.0,0.0,0.0,0.03,0.7,10.71,14.35,0.57,2.17,0.73,0.0,29.29
PRECTOTCORR_SUM,1991,0.0,0.0,0.0,0.51,4.27,2.56,20.34,44.62,5.72,0.46,0.0,0.0,78.48
PRECTOTCORR_SUM,1992,0.0,0.0,0.03,0.65,0.35,2.14,41.59,60.97,11.02,0.1,0.01,0.0,116.86
PRECTOTCORR_SUM,1993,0.0,0.0,0.13,0.86,0.1,0.63,2.26,9.66,1.99,4.44,0.0,0.0,20.07
PRECTOTCORR_SUM,1994,0.0,0.01,0.0,0.07,0.93,0.84,97.27,139.14,33.6,1.71,0.0,0.0,273.57
PRECTOTCORR_SUM,1995,0.0,0.0,0.01,0.96,0.48,18.28,22.81,55.9,30.55,9.09,0.03,0.0,138.11
PRECTOTCORR_SUM,1996,0.0,0.0,0.0,1.08,0.98,0.53,1.33,59.95,1.71,2.68,0.0,0.0,68.26
PRECTOTCORR_SUM,1997,0.0,0.0,0.23,1.31,0.43,0.81,23.04,29.6,0.74,0.17,0.02,0.0,56.35
PRECTOTCORR_SUM,1998,0.0,0.0,0.0,0.0,0.0,0.0,4.94,34.75,67.52,0.83,0.03,0.0,108.07
PRECTOTCORR_SUM,1999,0.0,0.0,0.0,0.0,0.1,0.0,36.85,107.28,4.98,4.24,0.0,0.0,153.45
PRECTOTCORR_SUM,2000,0.0,0.0,0.0,0.0,0.05,0.0,3.7,5.58,0.24,0.0,0.0,0.0,9.57
PRECTOTCORR_SUM,2001,0.0,0.0,0.0,0.11,0.02,1.33,7.97,27.57,0.79,0.0,0.0,0.0,37.79
PRECTOTCORR_SUM,2002,0.0,0.0,0.0,0.0,0.0,0.0,14.47,28.31,0.57,0.07,0.0,0.0,43.42
PRECTOTCORR_SUM,2003,0.0,0.09,0.08,0.0,0.0,0.09,12.39,30.25,2.69,1.12,0.0,0.0,46.71
PRECTOTCORR_SUM,2004,0.0,0.0,0.0,0.09,0.22,0.0,1.9,4.43,0.06,0.01,0.0,0.0,6.71
PRECTOTCORR_SUM,2005,0.0,0.0,0.0,0.65,0.33,0.15,20.36,63.41,22.12,1.3,0.0,0.0,108.32
PRECTOTCORR_SUM,2006,0.0,0.0,0.0,0.0,0.36,10.72,2.28,100.97,3.44,0.27,0.18,0.0,118.22
PRECTOTCORR_SUM,2007,0.0,0.0,0.0,0.0,0.58,0.06,10.02,45.82,7.53,0.49,0.0,0.0,64.5
PRECTOTCORR_SUM,2008,0.0,0.0,0.0,0.04,0.57,0.66,42.51,27.61,17.56,1.53,0.0,0.0,90.48
PRECTOTCORR_SUM,2009,0.0,0.0,0.0,0.95,1.58,8.91,14.25,43.84,23.36,2.81,0.0,0.0,95.7
PRECTOTCORR_SUM,2010,0.0,0.0,0.0,0.11,0.37,1.59,90.39,95.34,15.34,0.86,0.0,0.0,204.0
PRECTOTCORR_SUM,2011,0.0,0.01,0.0,0.21,2.37,15.9,9.35,62.73,9.32,0.21,0.0,0.0,100.1
PRECTOTCORR_SUM,2012,0.0,0.0,0.0,0.0,3.29,10.74,60.37,90.12,5.75,0.43,0.0,0.0,170.7
PRECTOTCORR_SUM,2013,0.0,0.0,0.0,0.6,0.0,9.57,1.77,119.85,4.8,0.72,0.0,0.0,137.31
PRECTOTCORR_SUM,2014,0.0,0.0,0.19,0.97,2.11,0.25,33.85,49.58,11.83,2.62,0.0,0.0,101.4
PRECTOTCORR_SUM,2015,0.0,0.02,0.0,0.0,0.0,2.82,11.17,21.25,8.41,0.01,0.0,0.0,43.68
PRECTOTCORR_SUM,2016,0.0,0.0,0.05,0.76,0.13,4.62,27.44,44.73,5.55,0.0,0.0,0.0,83.28
PRECTOTCORR_SUM,2017,0.0,0.0,0.0,0.0,0.04,7.44,21.94,33.29,3.38,0.07,0.0,0.0,66.16
PRECTOTCORR_SUM,2018,0.0,0.0,0.0,0.0,2.02,16.29,32.38,126.69,3.04,0.0,0.0,0.01,180.43
PRECTOTCORR_SUM,2019,0.04,0.7,0.11,0.01,10.75,1.95,50.33,106.83,0.55,10.67,0.0,0.0,181.94
PRECTOTCORR_SUM,2020,0.0,0.0,0.0,0.16,0.0,0.08,77.31,185.91,46.88,7.87,0.0,0.0,318.21
PRECTOTCORR_SUM,2021,0.0,0.0,0.0,0.0,0.46,0.0,89.62,64.21,50.25,34.58,0.0,0.0,239.12
PRECTOTCORR_SUM,2022,0.05,0.0,0.0,0.0,0.05,33.29,65.43,137.15,45.57,0.02,0.0,0.0,281.56
PRECTOTCORR_SUM,2023,0.0,0.0,0.16,0.0,0.58,3.34,3.7,187.82,20.61,0.0,0.0,0.0,216.21
