# Area: China, Taiwan Province of
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  25.03   Longitude 121.57 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 100.59 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,27.78,78.23,128.54,88.72,257.17,339.99,200.94,58.89,212.91,79.51,195.73,100.94,1769.35
PRECTOTCORR_SUM,1982,49.82,121.04,111.19,117.86,100.96,312.87,213.05,157.28,68.22,62.58,164.52,77.37,1556.76
PRECTOTCORR_SUM,1983,129.83,463.86,321.99,93.86,228.71,117.02,46.92,129.8,125.81,98.01,30.03,64.21,1850.05
PRECTOTCORR_SUM,1984,92.38,83.69,138.59,212.16,296.38,172.48,71.09,329.54,174.61,102.82,153.8,61.21,1888.75
PRECTOTCORR_SUM,1985,101.89,336.02,95.53,107.42,127.85,183.83,123.16,225.81,315.86,155.52,92.51,138.12,2003.52
PRECTOTCORR_SUM,1986,70.37,151.76,175.83,87.04,356.29,258.16,89.4,207.64,249.51,104.03,326.49,69.0,2145.52
PRECTOTCORR_SUM,1987,60.86,56.79,166.88,108.55,185.55,183.43,177.17,55.89,226.83,231.14,198.38,108.22,1759.69
PRECTOTCORR_SUM,1988,114.89,84.31,175.33,219.32,243.33,163.65,64.6,149.46,415.28,264.02,89.93,79.1,2063.22
PRECTOTCORR_SUM,1989,99.66,59.6,85.87,164.73,289.58,77.71,211.66,117.2,324.49,117.38,146.78,140.21,1834.87
PRECTOTCORR_SUM,1990,220.94,151.88,104.74,390.72,204.18,300.84,87.55,264.18,310.48,71.81,69.4,31.16,2207.88
PRECTOTCORR_SUM,1991,138.71,76.81,109.77,87.55,86.76,222.87,48.84,77.01,239.2,153.7,99.76,72.51,1413.49
