# Area: Cook Islands
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -21.21   Longitude -159.78 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 0.18 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,123.79,316.56,117.41,264.08,86.89,61.78,121.97,93.11,136.64,140.81,183.04,212.48,1858.56
PRECTOTCORR_SUM,1982,202.03,205.13,71.73,150.08,95.56,42.0,109.7,140.48,47.56,13.32,15.21,16.22,1109.02
PRECTOTCORR_SUM,1983,41.74,88.18,17.76,55.7,73.73,49.71,79.23,54.86,56.78,288.05,50.82,246.98,1103.54
PRECTOTCORR_SUM,1984,108.35,348.81,136.95,207.46,181.8,16.99,43.86,61.81,170.1,220.5,240.22,236.46,1973.31
PRECTOTCORR_SUM,1985,300.03,195.05,125.5,210.74,206.43,126.56,35.0,89.28,65.97,91.46,225.0,191.94,1862.96
PRECTOTCORR_SUM,1986,251.94,154.1,134.16,293.89,142.6,166.97,99.54,98.1,171.04,153.05,95.57,86.95,1847.91
PRECTOTCORR_SUM,1987,384.25,155.17,153.7,70.2,254.36,54.94,63.48,88.39,79.45,39.67,41.72,68.8,1454.13
PRECTOTCORR_SUM,1988,334.42,179.31,30.79,359.61,47.84,191.42,167.26,123.26,112.52,97.21,312.5,287.62,2243.76
PRECTOTCORR_SUM,1989,273.1,104.67,53.12,168.48,133.09,50.08,133.2,52.02,91.46,136.39,351.0,98.72,1645.33
PRECTOTCORR_SUM,1990,90.34,400.76,39.0,146.35,162.55,26.65,84.32,16.65,72.36,160.64,108.72,181.64,1489.98
PRECTOTCORR_SUM,1991,170.26,316.13,144.01,189.31,212.72,47.86,57.45,56.51,106.34,74.84,132.14,140.96,1648.53
PRECTOTCORR_SUM,1992,274.56,82.48,118.45,88.73,107.07,14.76,87.64,90.95,16.16,141.91,55.94,134.98,1213.63
PRECTOTCORR_SUM,1993,103.49,158.24,271.5,217.33,44.41,49.56,134.05,71.44,105.73,86.1,57.97,147.22,1447.04
PRECTOTCORR_SUM,1994,318.68,95.71,253.85,197.92,112.56,23.64,290.81,93.57,75.35,49.23,63.72,155.58,1730.62
PRECTOTCORR_SUM,1995,159.47,71.43,124.72,259.08,229.11,27.21,49.19,131.64,36.82,47.01,180.48,111.13,1427.29
PRECTOTCORR_SUM,1996,404.75,215.37,107.72,177.53,144.98,65.83,26.75,76.41,58.16,215.09,70.04,91.85,1654.48
PRECTOTCORR_SUM,1997,66.58,108.98,230.91,100.74,83.93,151.99,83.18,92.57,67.4,19.95,15.72,93.69,1115.64
PRECTOTCORR_SUM,1998,25.92,188.04,55.4,16.13,15.89,28.35,143.31,51.99,82.19,92.7,24.5,98.38,822.8
PRECTOTCORR_SUM,1999,270.71,416.85,303.24,120.29,257.68,132.12,81.05,61.65,49.98,219.43,75.02,191.95,2179.97
PRECTOTCORR_SUM,2000,194.01,63.33,125.8,155.52,378.49,39.15,110.71,52.64,112.12,110.69,181.26,124.77,1648.49
PRECTOTCORR_SUM,2001,168.75,458.1,205.54,168.12,184.03,141.83,109.52,25.27,61.15,51.18,115.54,108.68,1797.71
