# Area: El Salvador
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  13.79   Longitude -88.9 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 729.07 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,2.4,17.57,36.44,63.07,76.31,165.76,82.77,178.59,237.27,128.22,17.49,48.95,1054.84
PRECTOTCORR_SUM,1982,7.97,24.72,0.18,8.56,205.97,173.83,161.39,131.7,158.71,91.2,55.95,7.64,1027.82
PRECTOTCORR_SUM,1983,2.07,14.82,0.67,18.39,234.12,263.11,95.37,51.38,93.1,55.14,25.77,12.96,866.9
PRECTOTCORR_SUM,1984,5.78,2.76,5.71,3.97,45.27,41.07,90.38,43.67,138.77,88.06,5.81,4.28,475.53
PRECTOTCORR_SUM,1985,1.89,4.05,1.57,4.97,15.16,55.41,29.5,48.9,24.71,30.86,25.54,4.87,247.43
PRECTOTCORR_SUM,1986,4.59,0.93,1.39,0.77,26.29,18.58,64.23,94.87,42.46,25.27,8.59,7.82,295.79
PRECTOTCORR_SUM,1987,0.42,0.4,2.48,2.88,34.42,100.87,51.25,25.62,46.73,18.95,2.21,4.62,290.85
PRECTOTCORR_SUM,1988,8.07,2.97,3.88,3.76,23.26,55.73,51.69,73.92,96.6,26.4,4.73,4.66,355.67
PRECTOTCORR_SUM,1989,4.33,6.26,1.4,8.93,65.34,94.66,34.11,106.8,72.73,50.06,39.36,57.89,541.87
PRECTOTCORR_SUM,1990,9.79,5.38,5.51,17.78,36.89,117.89,153.9,135.34,187.62,81.02,75.91,6.71,833.74
PRECTOTCORR_SUM,1991,7.18,3.43,0.98,21.48,69.26,161.39,33.43,32.9,182.92,103.85,24.93,27.45,669.2
PRECTOTCORR_SUM,1992,23.02,5.53,3.37,36.98,42.4,271.21,102.82,108.94,109.87,34.01,18.37,12.67,769.19
PRECTOTCORR_SUM,1993,13.98,2.48,19.84,14.18,88.55,125.74,59.81,75.99,87.11,56.59,13.52,12.58,570.37
PRECTOTCORR_SUM,1994,3.94,3.95,0.94,9.16,21.05,38.37,7.03,49.45,29.04,17.88,3.69,12.45,196.95
PRECTOTCORR_SUM,1995,6.67,3.24,1.27,17.37,28.77,43.77,93.93,92.9,108.06,65.7,5.77,15.62,483.07
