# Area: Eritrea
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  15.18   Longitude 39.78 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 225.06 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,3.75,4.08,38.48,62.55,25.78,12.96,46.97,87.35,21.0,11.26,1.87,1.13,317.18
PRECTOTCORR_SUM,1982,270.48,19.62,76.03,32.56,51.18,5.49,13.77,18.25,5.54,59.66,36.21,223.32,812.11
PRECTOTCORR_SUM,1983,30.08,87.53,17.63,34.72,111.67,20.68,10.99,31.77,37.88,51.99,19.86,0.56,455.36
PRECTOTCORR_SUM,1984,2.5,0.09,65.3,8.89,23.46,7.74,11.47,10.92,9.91,1.19,0.3,34.01,175.78
PRECTOTCORR_SUM,1985,3.14,12.59,33.36,81.41,43.27,6.08,22.65,23.22,26.3,1.46,23.53,4.94,281.95
PRECTOTCORR_SUM,1986,0.29,14.95,28.45,91.85,39.34,15.74,72.1,151.22,76.95,4.85,1.44,14.2,511.38
PRECTOTCORR_SUM,1987,0.8,39.61,223.75,61.65,245.88,15.77,35.52,121.79,13.7,26.27,0.8,2.21,787.75
PRECTOTCORR_SUM,1988,10.48,30.76,25.01,9.15,1.6,6.7,85.74,76.15,24.68,3.18,0.64,1.5,275.59
PRECTOTCORR_SUM,1989,11.33,19.17,33.63,38.32,1.22,0.88,7.11,26.67,46.09,12.8,0.75,21.33,219.3
PRECTOTCORR_SUM,1990,33.88,70.69,21.97,28.22,0.38,1.09,21.52,13.5,13.01,0.63,0.12,0.0,205.01
PRECTOTCORR_SUM,1991,2.5,6.25,32.52,13.78,10.44,0.04,42.25,26.11,14.85,5.96,0.01,28.41,183.12
PRECTOTCORR_SUM,1992,26.65,24.0,16.44,12.37,27.84,7.46,12.79,62.58,14.88,2.12,4.46,3.86,215.45
PRECTOTCORR_SUM,1993,6.48,11.39,3.66,123.92,62.76,7.98,35.61,24.33,14.34,18.69,0.65,0.47,310.28
PRECTOTCORR_SUM,1994,1.52,21.01,6.41,16.83,25.22,4.64,28.04,77.0,29.1,1.78,87.19,3.44,302.18
PRECTOTCORR_SUM,1995,2.84,52.44,35.16,67.3,58.48,13.28,59.51,91.78,16.4,2.26,1.39,15.69,416.53
PRECTOTCORR_SUM,1996,6.15,3.34,75.42,70.86,20.64,4.42,19.3,48.67,9.51,2.13,16.79,1.04,278.27
PRECTOTCORR_SUM,1997,10.82,2.45,90.92,47.02,10.51,31.46,36.44,42.91,3.23,41.78,12.0,0.41,329.95
PRECTOTCORR_SUM,1998,23.53,16.37,9.91,15.73,29.55,11.69,30.83,100.08,18.76,10.02,0.08,0.03,266.58
PRECTOTCORR_SUM,1999,27.47,0.67,358.32,3.43,4.37,8.85,118.98,79.28,27.81,24.06,0.45,5.39,659.08
PRECTOTCORR_SUM,2000,0.0,0.42,1.52,12.05,4.05,0.98,20.34,17.93,20.65,6.81,3.63,5.32,93.7
PRECTOTCORR_SUM,2001,2.39,5.8,22.38,16.12,22.24,3.34,13.68,25.08,17.82,9.02,1.92,1.85,141.64
PRECTOTCORR_SUM,2002,22.83,1.08,35.65,9.15,5.17,1.28,14.18,14.89,5.94,0.62,0.09,14.14,125.02
PRECTOTCORR_SUM,2003,6.04,2.3,2.02,6.29,0.22,1.79,8.02,26.99,5.24,1.13,1.42,72.57,134.03
PRECTOTCORR_SUM,2004,8.42,1.9,10.08,33.46,4.51,6.39,2.86,12.39,4.11,4.59,2.59,12.79,104.09
PRECTOTCORR_SUM,2005,18.11,1.4,3.86,81.99,16.14,0.99,10.56,24.79,16.6,0.38,0.75,0.11,175.68
PRECTOTCORR_SUM,2006,1.82,10.93,39.44,131.99,22.71,1.53,72.68,35.17,22.99,7.69,1.36,23.57,371.88
PRECTOTCORR_SUM,2007,14.35,9.39,2.9,34.3,16.48,7.13,43.76,21.02,2.46,3.01,0.09,0.2,155.09
PRECTOTCORR_SUM,2008,22.99,2.76,0.36,44.72,14.14,3.57,3.51,9.05,22.03,10.85,12.31,0.04,146.33
PRECTOTCORR_SUM,2009,4.14,5.22,4.98,9.86,0.62,2.17,16.23,53.76,4.71,12.02,3.36,6.2,123.27
PRECTOTCORR_SUM,2010,2.47,11.17,15.45,35.22,22.58,7.04,38.79,51.23,9.08,0.28,0.69,2.98,196.98
PRECTOTCORR_SUM,2011,10.66,7.4,31.47,22.68,63.84,1.81,8.52,12.23,4.57,1.5,15.25,0.43,180.36
PRECTOTCORR_SUM,2012,1.18,0.12,5.91,26.7,3.16,0.9,7.06,8.71,3.82,0.09,2.53,2.54,62.72
PRECTOTCORR_SUM,2013,10.53,3.77,18.38,11.51,9.75,1.72,17.11,79.32,11.71,19.78,6.45,15.6,205.63
PRECTOTCORR_SUM,2014,7.08,11.63,16.04,51.61,34.92,1.39,39.02,62.8,26.27,9.39,13.56,0.21,273.92
PRECTOTCORR_SUM,2015,28.64,2.21,9.78,0.57,4.86,18.75,16.43,62.21,4.16,5.51,20.5,111.4,285.02
PRECTOTCORR_SUM,2016,35.47,13.65,27.01,89.18,40.79,9.11,118.47,66.94,14.09,6.28,6.2,0.62,427.81
PRECTOTCORR_SUM,2017,2.07,99.38,10.71,29.91,22.16,4.39,22.76,49.14,9.48,7.85,27.16,0.0,285.01
PRECTOTCORR_SUM,2018,77.22,21.23,10.34,45.66,2.42,2.77,16.07,31.7,38.05,30.6,62.37,12.71,351.14
PRECTOTCORR_SUM,2019,5.1,134.21,63.15,62.97,11.77,13.52,2.49,28.17,56.47,46.75,95.53,64.57,584.7
PRECTOTCORR_SUM,2020,57.58,10.17,6.09,73.73,14.32,3.37,51.24,66.32,17.88,11.8,19.13,3.45,335.08
PRECTOTCORR_SUM,2021,1.58,59.48,2.14,31.26,53.88,7.33,119.45,69.68,35.84,25.9,0.4,233.85,640.79
PRECTOTCORR_SUM,2022,61.19,37.39,31.94,33.68,3.28,30.08,123.45,74.0,25.21,26.79,1.31,25.31,473.63
PRECTOTCORR_SUM,2023,7.03,10.42,49.5,174.21,82.73,23.55,78.29,81.96,14.81,133.55,34.39,1.4,691.84
