# Area: French Polynesia
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -17.53   Longitude -149.57 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 62.97 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,381.43,104.0,545.7,90.62,75.81,89.43,26.35,29.23,7.37,98.0,135.05,305.11,1888.1
PRECTOTCORR_SUM,1982,83.94,202.59,21.61,70.6,99.58,42.47,176.55,61.15,112.79,64.34,293.99,261.58,1491.19
PRECTOTCORR_SUM,1983,173.62,178.63,238.51,93.12,23.3,22.73,81.21,84.17,15.78,67.59,301.77,253.65,1534.08
PRECTOTCORR_SUM,1984,190.27,57.89,172.88,45.82,105.63,66.15,80.01,34.14,58.76,134.54,175.81,417.46,1539.36
PRECTOTCORR_SUM,1985,364.03,69.45,87.8,153.93,116.79,97.89,75.43,21.81,31.29,169.32,131.2,295.39,1614.33
PRECTOTCORR_SUM,1986,163.98,308.01,91.87,32.11,166.34,26.82,26.7,61.93,11.37,63.97,70.88,272.9,1296.88
PRECTOTCORR_SUM,1987,169.95,114.04,71.7,454.27,101.42,76.58,41.9,69.0,26.11,94.21,123.04,354.55,1696.77
PRECTOTCORR_SUM,1988,221.62,132.97,293.58,66.51,73.48,44.47,121.32,50.45,16.07,84.36,30.41,152.92,1288.16
PRECTOTCORR_SUM,1989,128.75,86.0,95.54,37.11,39.14,68.44,34.42,23.44,28.61,104.58,293.93,318.06,1258.02
PRECTOTCORR_SUM,1990,93.35,259.69,191.61,62.37,34.31,27.3,34.55,60.62,47.12,120.45,172.69,160.18,1264.24
PRECTOTCORR_SUM,1991,148.63,70.14,91.23,137.32,74.41,46.18,26.84,105.47,47.19,131.68,20.47,331.4,1230.96
PRECTOTCORR_SUM,1992,209.21,112.35,218.65,57.91,22.48,80.83,13.04,48.23,41.78,191.07,143.58,202.76,1341.89
PRECTOTCORR_SUM,1993,248.3,150.88,17.5,26.96,84.68,212.59,106.49,36.7,37.19,75.29,93.93,129.87,1220.38
PRECTOTCORR_SUM,1994,133.16,44.42,121.26,57.82,163.93,64.15,92.1,119.08,46.74,97.07,199.88,357.24,1496.85
PRECTOTCORR_SUM,1995,299.07,245.54,59.34,126.59,127.33,15.94,27.05,21.58,54.59,146.43,102.06,390.2,1615.72
PRECTOTCORR_SUM,1996,60.46,161.34,102.24,75.42,59.67,14.78,23.43,65.12,86.87,137.1,89.82,231.14,1107.39
PRECTOTCORR_SUM,1997,171.57,127.99,247.66,104.67,112.99,47.59,13.25,44.2,26.06,59.27,124.27,219.27,1298.79
PRECTOTCORR_SUM,1998,148.45,133.24,196.54,232.11,98.19,185.7,52.82,46.4,64.94,77.56,57.6,285.48,1579.03
