# Area: Gabon
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -0.8   Longitude 11.61 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 470.32 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,374.15,216.37,244.5,311.13,131.94,12.48,1.69,14.59,44.53,459.01,566.54,216.02,2592.95
PRECTOTCORR_SUM,1982,400.25,492.63,325.0,186.69,191.19,12.28,2.74,5.83,100.71,404.32,369.08,140.83,2631.55
PRECTOTCORR_SUM,1983,87.86,86.98,220.13,113.47,200.24,32.93,4.96,11.35,89.6,330.72,393.83,188.37,1760.44
PRECTOTCORR_SUM,1984,86.25,157.5,153.05,171.87,235.12,157.19,69.45,73.36,196.8,345.78,479.54,167.65,2293.56
PRECTOTCORR_SUM,1985,197.68,100.48,243.55,347.71,302.84,37.71,10.99,63.89,281.26,367.83,344.91,216.02,2514.87
PRECTOTCORR_SUM,1986,104.23,208.39,333.97,241.3,178.42,70.65,2.35,34.53,58.62,287.72,318.63,248.86,2087.67
PRECTOTCORR_SUM,1987,51.7,242.58,186.4,227.57,199.84,8.85,2.04,9.62,42.6,247.71,142.91,144.72,1506.54
PRECTOTCORR_SUM,1988,168.21,177.23,231.96,123.15,130.49,303.55,3.66,5.77,48.67,367.89,546.72,200.43,2307.73
PRECTOTCORR_SUM,1989,119.75,145.5,262.13,230.38,210.5,36.32,2.83,6.44,65.92,252.88,140.89,126.79,1600.33
PRECTOTCORR_SUM,1990,131.33,126.24,236.49,158.36,142.69,32.63,6.89,7.22,142.7,275.34,255.15,274.29,1789.33
PRECTOTCORR_SUM,1991,125.58,96.26,118.11,216.47,82.86,21.85,4.86,1.54,1.37,106.21,179.34,64.16,1018.61
PRECTOTCORR_SUM,1992,65.26,103.76,209.85,225.76,131.01,17.2,10.96,29.91,42.51,285.77,233.52,164.27,1519.78
PRECTOTCORR_SUM,1993,80.26,80.61,156.58,260.82,105.01,34.22,13.42,34.42,75.38,225.84,323.49,254.8,1644.85
PRECTOTCORR_SUM,1994,92.42,93.88,154.05,171.76,153.62,23.77,3.42,14.58,117.42,249.28,257.46,162.95,1494.61
PRECTOTCORR_SUM,1995,204.23,113.94,148.26,219.3,215.36,35.43,6.39,72.73,41.71,137.02,319.45,146.31,1660.13
PRECTOTCORR_SUM,1996,38.97,163.69,288.05,155.63,120.08,5.7,5.65,3.44,47.97,261.54,247.71,91.63,1430.06
PRECTOTCORR_SUM,1997,70.99,70.32,192.75,277.29,141.1,47.03,129.79,75.04,8.7,49.75,152.16,84.79,1299.71
PRECTOTCORR_SUM,1998,72.81,62.48,118.82,152.65,87.7,57.16,14.58,18.31,150.88,215.66,227.03,207.95,1386.03
PRECTOTCORR_SUM,1999,112.45,177.16,164.36,252.19,176.22,69.15,17.27,32.85,75.02,235.04,302.7,196.71,1811.12
PRECTOTCORR_SUM,2000,172.24,84.49,113.45,130.88,144.97,49.77,1.32,12.34,159.34,451.66,359.36,237.17,1916.99
PRECTOTCORR_SUM,2001,156.56,133.1,272.74,193.14,130.91,34.22,22.42,5.57,22.2,173.01,192.72,189.33,1525.92
