# Area: Germany
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  51.17   Longitude 10.45 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 342.6 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,75.48,35.05,107.15,53.52,97.81,84.18,83.61,105.5,79.03,97.06,91.15,106.89,1016.43
PRECTOTCORR_SUM,1982,66.75,10.41,46.21,47.98,82.58,58.73,41.25,47.39,21.12,84.63,32.29,59.53,598.87
PRECTOTCORR_SUM,1983,77.66,38.67,56.65,124.97,137.18,45.15,50.66,52.33,62.27,32.98,56.26,38.66,773.44
PRECTOTCORR_SUM,1984,83.17,67.88,21.39,48.25,148.95,67.06,80.34,72.95,112.52,68.22,54.47,35.73,860.93
PRECTOTCORR_SUM,1985,52.32,21.23,46.29,58.96,88.94,95.53,66.85,54.08,39.61,24.33,55.6,74.7,678.44
PRECTOTCORR_SUM,1986,92.35,19.1,83.83,77.38,88.98,82.83,54.33,72.2,62.06,78.4,24.36,112.86,848.68
PRECTOTCORR_SUM,1987,79.54,54.43,78.01,25.31,95.11,105.22,101.66,76.28,65.63,52.48,68.43,49.7,851.8
PRECTOTCORR_SUM,1988,69.41,90.46,117.58,49.51,26.02,55.2,83.5,38.46,55.38,37.24,67.01,114.73,804.5
PRECTOTCORR_SUM,1989,26.93,46.95,58.84,74.86,36.11,58.64,57.53,46.28,52.06,55.31,65.69,90.18,669.38
PRECTOTCORR_SUM,1990,36.75,81.62,42.49,51.72,10.06,95.46,34.83,53.02,68.28,37.85,88.04,58.82,658.94
PRECTOTCORR_SUM,1991,44.58,27.19,32.99,26.45,38.49,82.1,32.55,34.73,30.77,27.93,67.21,79.02,524.01
PRECTOTCORR_SUM,1992,42.54,35.13,92.37,40.37,26.77,89.9,97.61,63.02,27.6,70.56,86.56,63.19,735.62
PRECTOTCORR_SUM,1993,100.06,30.41,17.98,32.16,64.62,66.66,101.45,44.11,58.2,51.17,34.44,123.85,725.11
PRECTOTCORR_SUM,1994,71.71,26.97,87.67,86.4,69.32,52.4,44.6,98.04,77.06,43.58,53.61,63.56,774.92
PRECTOTCORR_SUM,1995,93.19,62.63,52.5,73.44,71.68,66.02,72.69,50.55,91.9,20.06,45.67,38.34,738.67
PRECTOTCORR_SUM,1996,6.33,40.83,21.37,28.12,74.51,44.44,97.2,82.46,38.01,83.63,72.7,38.98,628.58
PRECTOTCORR_SUM,1997,17.28,71.94,55.32,42.16,47.64,56.85,109.1,39.96,18.02,59.46,40.7,72.03,630.46
PRECTOTCORR_SUM,1998,41.13,17.81,58.84,65.01,32.1,61.1,80.99,55.61,108.85,155.08,80.08,38.45,795.05
PRECTOTCORR_SUM,1999,44.15,67.11,57.31,45.22,49.75,63.23,68.45,55.71,40.45,29.12,58.26,86.72,665.48
PRECTOTCORR_SUM,2000,52.98,65.58,85.54,29.77,37.53,35.77,97.65,57.83,55.01,49.4,45.37,39.82,652.25
PRECTOTCORR_SUM,2001,56.18,42.1,104.57,53.57,30.37,83.98,77.09,28.07,100.57,37.19,70.91,71.78,756.38
PRECTOTCORR_SUM,2002,39.32,90.61,43.14,40.97,102.19,60.38,96.0,95.56,40.12,86.87,104.65,85.47,885.28
PRECTOTCORR_SUM,2003,74.58,17.34,14.85,32.6,73.79,39.08,50.34,25.08,56.27,52.08,40.33,49.83,526.17
PRECTOTCORR_SUM,2004,84.92,42.77,31.33,36.0,104.4,58.1,83.08,70.05,61.58,32.0,89.19,39.94,733.36
PRECTOTCORR_SUM,2005,75.02,56.71,37.97,42.56,67.0,37.87,66.56,64.35,49.49,30.57,53.5,67.24,648.84
PRECTOTCORR_SUM,2006,24.11,43.81,74.23,63.85,91.28,33.05,64.27,88.96,18.34,64.4,54.72,33.33,654.35
PRECTOTCORR_SUM,2007,94.21,62.27,65.99,6.52,123.08,103.86,124.16,74.89,137.73,18.83,94.98,56.29,962.81
PRECTOTCORR_SUM,2008,53.62,30.14,85.38,87.05,20.16,66.83,64.68,52.88,57.38,73.39,47.26,51.02,689.79
PRECTOTCORR_SUM,2009,28.59,65.99,67.78,49.89,71.17,66.05,109.69,31.04,63.18,74.06,85.4,102.5,815.34
PRECTOTCORR_SUM,2010,44.71,45.62,50.07,21.73,111.46,21.12,72.94,152.21,83.9,29.66,105.67,86.72,825.81
