# Area: Italy
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  41.87   Longitude 12.57 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 198.41 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,59.94,52.36,31.21,36.55,28.51,55.56,30.52,7.72,85.77,71.99,14.03,148.97,623.13
PRECTOTCORR_SUM,1982,30.67,53.16,100.79,41.46,36.74,6.08,8.65,9.65,85.7,88.16,118.0,69.0,648.06
PRECTOTCORR_SUM,1983,3.58,95.94,65.19,35.51,5.43,19.97,6.14,96.58,76.36,46.23,45.33,55.67,551.93
PRECTOTCORR_SUM,1984,46.97,116.15,60.3,47.03,79.8,13.58,4.06,72.58,137.41,72.99,103.8,151.02,905.69
PRECTOTCORR_SUM,1985,105.05,17.5,95.89,11.42,48.44,3.96,0.63,16.72,7.93,83.85,186.93,64.14,642.46
PRECTOTCORR_SUM,1986,132.98,128.83,71.05,112.5,13.01,55.99,83.05,5.31,49.25,45.55,58.07,58.9,814.49
PRECTOTCORR_SUM,1987,106.29,112.62,34.74,27.63,36.38,36.58,21.59,17.52,22.01,197.74,192.42,75.35,880.87
PRECTOTCORR_SUM,1988,58.32,60.29,34.04,100.25,59.14,64.12,0.11,24.04,15.79,82.29,38.04,45.94,582.37
PRECTOTCORR_SUM,1989,27.86,20.38,63.71,89.44,28.07,64.36,96.54,10.69,137.44,51.45,71.95,69.41,731.3
PRECTOTCORR_SUM,1990,49.64,26.08,43.86,118.77,43.28,11.74,37.08,21.48,45.61,178.76,109.42,107.75,793.47
PRECTOTCORR_SUM,1991,6.76,63.32,26.89,99.38,86.16,31.71,20.21,20.62,117.28,212.06,124.53,5.73,814.65
PRECTOTCORR_SUM,1992,44.23,13.75,60.27,71.41,19.8,109.94,27.29,21.54,69.59,173.35,73.78,110.1,795.05
PRECTOTCORR_SUM,1993,4.01,12.25,53.57,48.29,7.73,8.87,3.55,3.26,75.78,143.63,131.47,70.03,562.44
PRECTOTCORR_SUM,1994,39.24,61.94,0.39,82.22,34.92,31.32,9.66,8.7,47.18,58.18,68.42,45.05,487.22
PRECTOTCORR_SUM,1995,53.14,47.75,51.5,94.24,48.87,42.67,13.08,65.03,76.7,1.02,35.96,80.69,610.65
PRECTOTCORR_SUM,1996,63.25,85.52,51.05,51.57,80.64,35.31,15.64,62.73,120.34,152.18,131.71,117.59,967.53
PRECTOTCORR_SUM,1997,34.33,22.78,16.56,59.61,30.99,37.25,15.39,26.13,20.59,102.88,70.79,23.37,460.67
PRECTOTCORR_SUM,1998,29.51,64.67,10.95,27.61,24.01,11.15,1.82,31.91,135.5,163.9,57.26,88.21,646.5
PRECTOTCORR_SUM,1999,47.8,52.61,84.5,90.73,85.25,56.16,33.47,9.15,61.14,85.31,170.24,100.09,876.45
PRECTOTCORR_SUM,2000,34.31,27.1,60.48,70.42,12.98,25.96,34.71,23.72,62.77,142.33,136.8,78.89,710.47
PRECTOTCORR_SUM,2001,129.44,39.34,72.56,78.3,37.08,20.37,4.61,2.98,54.94,13.88,88.72,18.24,560.46
