# Area: Mauritania
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  21.01   Longitude -10.94 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 433.79 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,1.05,3.84,0.0,1.07,1.75,2.1,27.83,6.17,21.15,5.51,2.5,0.0,72.97
PRECTOTCORR_SUM,1982,0.83,1.62,0.16,0.08,0.75,0.99,3.56,0.27,2.29,10.39,0.01,0.89,21.84
PRECTOTCORR_SUM,1983,0.69,0.42,0.31,1.45,1.53,2.02,3.12,0.94,3.22,3.5,0.0,0.0,17.2
PRECTOTCORR_SUM,1984,0.93,0.0,0.33,0.0,0.1,3.52,1.64,1.0,39.02,1.97,0.71,4.43,53.65
PRECTOTCORR_SUM,1985,0.0,0.61,0.64,0.13,0.06,0.9,19.71,11.72,17.74,1.07,0.0,1.69,54.27
PRECTOTCORR_SUM,1986,0.0,2.41,0.35,0.57,0.29,0.0,1.05,12.02,72.04,1.11,4.2,0.23,94.27
PRECTOTCORR_SUM,1987,0.0,0.0,0.1,0.0,0.01,4.33,4.41,0.53,57.49,7.24,0.0,0.06,74.17
PRECTOTCORR_SUM,1988,1.73,3.36,0.06,0.0,0.0,1.84,2.73,7.1,10.6,0.0,3.12,0.87,31.41
PRECTOTCORR_SUM,1989,0.0,3.02,0.0,0.0,0.07,2.12,40.07,22.58,0.9,1.37,2.34,0.38,72.85
PRECTOTCORR_SUM,1990,3.36,0.0,0.37,1.11,0.0,0.03,9.6,18.22,2.39,0.96,3.77,0.01,39.82
PRECTOTCORR_SUM,1991,5.02,0.78,0.0,0.0,0.22,3.7,4.29,27.21,11.86,1.34,0.0,13.68,68.1
PRECTOTCORR_SUM,1992,0.3,1.61,0.0,0.0,0.01,1.0,3.57,3.1,4.17,0.0,2.45,0.08,16.29
PRECTOTCORR_SUM,1993,3.33,0.23,0.41,1.49,0.05,1.43,0.25,30.13,19.87,6.26,0.77,1.87,66.09
PRECTOTCORR_SUM,1994,0.0,0.0,0.03,0.0,0.06,0.1,1.04,19.01,69.58,1.02,0.41,0.54,91.79
PRECTOTCORR_SUM,1995,0.0,0.38,0.76,0.0,0.56,0.23,0.02,5.77,45.55,0.0,0.07,13.47,66.81
PRECTOTCORR_SUM,1996,0.1,0.02,0.68,0.0,0.02,0.14,1.26,6.14,9.46,0.0,2.5,0.16,20.48
PRECTOTCORR_SUM,1997,0.21,0.06,15.11,0.2,5.64,0.0,0.0,22.87,6.57,2.27,0.0,0.0,52.93
PRECTOTCORR_SUM,1998,0.46,15.11,2.38,0.12,0.9,1.45,3.39,2.66,28.6,9.99,0.0,1.97,67.03
