# Area: Morocco
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  31.79   Longitude -7.09 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 955.61 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,14.54,48.58,35.54,14.56,7.36,4.76,1.7,6.15,9.5,16.16,8.2,24.27,191.32
PRECTOTCORR_SUM,1982,149.76,68.87,57.15,141.42,68.78,9.97,7.43,4.15,9.55,12.99,31.07,31.95,593.09
PRECTOTCORR_SUM,1983,0.34,129.09,16.3,12.56,30.33,0.66,0.26,1.8,4.3,9.72,53.62,32.48,291.46
PRECTOTCORR_SUM,1984,5.94,2.98,67.52,33.54,64.68,0.91,3.8,0.23,4.35,0.73,64.26,14.29,263.23
PRECTOTCORR_SUM,1985,88.44,30.88,7.87,40.4,37.47,0.38,2.37,1.58,2.32,1.09,50.0,35.91,298.71
PRECTOTCORR_SUM,1986,29.77,29.73,33.29,34.0,16.44,39.44,0.3,2.79,14.29,26.46,67.46,5.92,299.89
PRECTOTCORR_SUM,1987,88.84,285.2,8.27,2.5,5.81,6.69,8.09,1.22,22.05,62.68,73.73,50.89,615.97
PRECTOTCORR_SUM,1988,83.83,79.1,62.04,6.28,16.53,4.96,0.36,2.53,9.52,41.11,110.44,16.29,432.99
PRECTOTCORR_SUM,1989,71.59,52.63,69.12,101.4,7.76,3.7,3.51,20.8,16.47,47.96,59.29,70.59,524.82
PRECTOTCORR_SUM,1990,46.39,0.18,62.11,53.8,58.68,0.92,8.85,8.57,26.94,6.09,23.51,62.71,358.75
