# Area: Nauru
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -0.55   Longitude 166.92 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 0.07 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,214.56,314.98,327.72,349.73,57.73,124.74,54.43,11.19,39.09,53.27,66.14,225.71,1839.29
PRECTOTCORR_SUM,1982,109.84,196.62,294.68,289.74,115.19,145.9,324.7,309.83,201.31,282.67,211.94,196.0,2678.42
PRECTOTCORR_SUM,1983,172.87,147.75,23.17,23.25,138.04,159.77,199.18,82.07,44.98,40.51,58.66,109.45,1199.7
PRECTOTCORR_SUM,1984,1.36,2.1,15.75,20.6,14.77,17.31,47.94,25.16,24.69,80.36,93.99,204.72,548.75
PRECTOTCORR_SUM,1985,205.77,100.35,211.14,38.99,22.09,75.54,54.44,30.29,46.67,30.83,79.51,177.26,1072.88
PRECTOTCORR_SUM,1986,226.44,72.57,12.07,90.44,129.93,158.3,200.59,115.77,206.72,280.7,413.98,438.31,2345.82
PRECTOTCORR_SUM,1987,266.43,484.6,170.84,343.11,345.38,392.56,328.05,287.63,137.65,219.28,170.41,477.38,3623.32
PRECTOTCORR_SUM,1988,287.51,511.78,89.39,90.32,21.11,55.82,30.69,10.26,8.41,7.87,10.53,3.97,1127.66
PRECTOTCORR_SUM,1989,18.04,6.73,10.01,24.23,60.55,47.24,43.78,24.55,25.51,12.96,211.76,193.53,678.89
PRECTOTCORR_SUM,1990,304.4,203.87,315.42,288.3,183.54,75.82,147.22,228.22,142.81,116.24,272.05,295.33,2573.22
PRECTOTCORR_SUM,1991,420.2,182.14,313.79,152.49,100.47,185.36,111.41,177.49,247.35,206.07,609.7,218.77,2925.24
PRECTOTCORR_SUM,1992,294.27,207.57,215.87,443.62,343.82,153.31,116.15,181.64,131.37,301.8,266.77,468.72,3124.91
PRECTOTCORR_SUM,1993,250.1,315.73,351.98,343.89,333.58,274.63,211.5,206.48,210.18,539.57,80.65,345.77,3464.06
PRECTOTCORR_SUM,1994,157.51,71.13,90.12,141.88,63.73,70.78,128.18,206.67,245.24,300.92,164.27,531.54,2171.97
PRECTOTCORR_SUM,1995,221.49,205.04,118.14,224.99,105.35,82.2,21.38,16.38,15.38,13.99,28.1,11.75,1064.19
PRECTOTCORR_SUM,1996,5.74,12.22,54.75,7.26,55.99,25.15,34.83,19.51,13.27,42.78,11.85,77.25,360.6
