# Area: New Zealand
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -40.9   Longitude 174.89 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 186.26 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,25.5,20.88,73.29,57.48,178.74,156.67,153.55,112.49,80.24,127.6,88.4,53.68,1128.52
PRECTOTCORR_SUM,1982,32.9,71.23,11.77,22.24,74.25,221.82,117.14,47.44,87.2,55.82,89.67,122.39,953.87
PRECTOTCORR_SUM,1983,34.2,56.57,53.98,179.76,76.2,62.93,110.62,83.3,114.74,114.9,75.97,130.45,1093.62
PRECTOTCORR_SUM,1984,52.34,57.21,126.03,82.91,82.48,39.35,189.24,67.67,70.2,72.7,63.59,73.31,977.03
PRECTOTCORR_SUM,1985,135.83,31.85,49.62,42.86,60.79,155.71,99.44,109.87,71.34,86.11,98.48,133.08,1074.98
PRECTOTCORR_SUM,1986,144.52,134.97,86.12,44.76,66.52,125.39,116.52,122.51,64.54,98.38,52.39,35.06,1091.68
PRECTOTCORR_SUM,1987,38.0,53.47,119.38,103.8,116.62,65.72,63.83,73.0,54.6,77.27,83.63,86.01,935.33
PRECTOTCORR_SUM,1988,15.77,88.76,60.66,22.77,127.25,71.98,117.32,66.96,108.01,78.31,80.66,22.22,860.67
PRECTOTCORR_SUM,1989,64.63,47.78,49.0,33.24,88.94,117.72,61.07,58.57,50.75,127.39,57.92,45.91,802.92
PRECTOTCORR_SUM,1990,67.9,9.52,127.62,87.57,108.62,109.23,58.14,155.53,53.6,79.93,131.19,37.79,1026.64
PRECTOTCORR_SUM,1991,95.68,80.93,33.76,132.55,28.62,115.97,84.63,102.94,94.79,45.45,66.91,89.72,971.95
PRECTOTCORR_SUM,1992,70.87,108.18,71.38,40.74,74.57,50.45,151.11,133.12,120.19,112.28,61.6,111.41,1105.9
PRECTOTCORR_SUM,1993,47.15,50.36,84.91,68.66,130.9,116.64,31.22,42.62,65.04,48.16,100.46,116.99,903.11
PRECTOTCORR_SUM,1994,48.73,15.02,95.11,31.1,72.07,137.73,87.81,76.4,120.47,74.71,127.99,37.45,924.59
PRECTOTCORR_SUM,1995,83.02,81.78,76.83,136.88,95.19,126.03,107.14,130.09,109.61,113.56,82.22,79.33,1221.68
PRECTOTCORR_SUM,1996,50.55,76.96,97.93,86.39,94.65,61.96,175.98,89.09,91.43,88.27,80.22,73.47,1066.9
PRECTOTCORR_SUM,1997,60.38,51.79,100.57,84.42,38.82,77.05,53.34,83.89,59.02,75.72,24.34,27.1,736.44
PRECTOTCORR_SUM,1998,29.63,33.18,13.58,35.5,51.28,104.39,144.44,54.61,51.29,178.76,51.75,37.37,785.78
PRECTOTCORR_SUM,1999,49.21,24.94,64.02,34.42,102.31,61.42,72.1,53.03,32.59,46.71,104.94,42.9,688.59
PRECTOTCORR_SUM,2000,69.05,17.84,40.35,68.47,63.2,74.13,26.75,43.67,54.84,46.07,23.53,33.39,561.29
PRECTOTCORR_SUM,2001,12.74,18.95,13.2,26.23,51.24,62.09,69.43,60.44,9.92,106.48,111.77,88.23,630.72
PRECTOTCORR_SUM,2002,55.87,44.51,40.31,27.94,44.17,114.47,82.92,73.3,61.03,40.32,65.39,87.16,737.39
PRECTOTCORR_SUM,2003,31.74,25.06,22.8,33.34,77.17,123.95,67.52,65.52,125.97,113.59,66.31,49.58,802.55
PRECTOTCORR_SUM,2004,91.04,288.87,43.18,75.49,64.65,98.05,97.76,101.75,111.37,83.07,61.96,106.67,1223.86
PRECTOTCORR_SUM,2005,72.46,32.99,110.83,32.48,104.72,46.84,77.69,29.31,42.49,75.52,23.29,58.28,706.9
