# Area: Oman
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  21.51   Longitude 55.92 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 72.76 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,0.09,0.0,8.44,12.66,0.61,3.84,10.1,8.95,0.0,1.38,0.0,0.0,46.07
PRECTOTCORR_SUM,1982,0.63,59.7,39.07,13.74,2.26,0.0,0.0,7.73,2.05,0.24,0.0,16.74,142.16
PRECTOTCORR_SUM,1983,2.59,14.32,13.06,36.54,0.16,1.24,0.32,11.64,5.36,0.0,0.0,0.27,85.5
PRECTOTCORR_SUM,1984,0.0,0.0,0.0,0.0,0.0,0.0,8.6,1.14,18.23,0.0,0.0,0.18,28.15
PRECTOTCORR_SUM,1985,0.0,0.0,12.39,0.04,0.0,1.27,1.46,4.63,0.0,0.0,0.0,0.0,19.79
PRECTOTCORR_SUM,1986,0.08,15.16,0.0,1.81,0.56,4.93,12.78,11.75,7.89,0.0,0.04,4.64,59.64
PRECTOTCORR_SUM,1987,0.0,1.11,32.07,2.95,1.58,0.0,1.52,15.99,0.0,0.0,0.0,0.11,55.33
PRECTOTCORR_SUM,1988,0.79,10.39,0.0,0.07,0.0,0.0,8.93,0.04,0.0,0.0,0.0,0.01,20.23
PRECTOTCORR_SUM,1989,0.0,0.03,0.79,0.03,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.49,1.36
PRECTOTCORR_SUM,1990,0.06,0.16,0.0,0.16,0.03,0.02,0.02,0.0,0.01,0.0,0.0,0.0,0.46
PRECTOTCORR_SUM,1991,0.01,0.12,0.03,0.01,0.0,0.0,0.06,0.08,0.01,0.0,0.0,0.08,0.4
PRECTOTCORR_SUM,1992,0.3,0.1,0.02,0.46,0.0,0.0,0.06,0.0,0.0,0.05,0.0,0.01,1.0
PRECTOTCORR_SUM,1993,0.0,0.14,0.03,0.13,0.0,0.0,0.03,0.0,0.14,0.0,0.0,0.08,0.55
PRECTOTCORR_SUM,1994,0.12,0.0,0.0,0.98,0.14,0.01,0.15,0.09,0.0,0.51,0.0,0.0,2.0
PRECTOTCORR_SUM,1995,5.83,0.54,4.47,0.16,3.3,0.0,2.4,7.35,0.0,0.09,0.03,0.18,24.35
PRECTOTCORR_SUM,1996,3.36,0.34,0.23,0.62,6.77,0.65,0.08,0.07,0.0,0.0,0.01,0.77,12.9
PRECTOTCORR_SUM,1997,0.94,0.0,49.27,6.99,0.0,0.65,0.01,0.06,0.08,0.15,0.28,0.06,58.49
PRECTOTCORR_SUM,1998,0.31,0.5,0.05,0.09,1.27,5.91,1.41,3.86,18.78,2.24,0.0,4.41,38.83
PRECTOTCORR_SUM,1999,0.66,19.28,14.03,0.4,10.01,0.0,4.55,17.29,0.0,0.41,0.0,52.37,119.0
PRECTOTCORR_SUM,2000,0.02,0.0,0.0,0.06,0.09,0.01,0.06,6.32,0.17,2.9,0.08,2.04,11.75
PRECTOTCORR_SUM,2001,0.01,0.01,0.0,0.0,0.04,0.02,2.08,0.0,0.02,0.06,4.17,0.02,6.43
PRECTOTCORR_SUM,2002,0.08,4.28,23.45,1.77,1.45,0.19,0.09,0.0,0.0,0.0,0.02,0.03,31.36
PRECTOTCORR_SUM,2003,5.83,0.02,0.05,24.32,0.0,0.02,7.54,0.73,0.03,0.0,1.52,0.0,40.06
PRECTOTCORR_SUM,2004,1.47,0.0,0.97,0.0,0.04,0.0,0.09,0.01,0.11,0.0,0.0,0.09,2.78
PRECTOTCORR_SUM,2005,5.62,0.04,2.0,0.16,0.02,0.05,0.21,0.05,0.0,0.02,0.25,0.62,9.04
PRECTOTCORR_SUM,2006,0.38,22.08,0.35,0.15,0.0,4.73,0.0,5.36,4.12,1.12,2.44,16.46,57.19
PRECTOTCORR_SUM,2007,1.07,0.21,4.79,0.27,5.44,12.47,8.11,7.05,1.41,0.0,6.1,2.8,49.72
PRECTOTCORR_SUM,2008,6.63,0.01,2.29,0.16,3.73,0.25,12.65,20.22,9.68,0.09,0.0,0.0,55.71
PRECTOTCORR_SUM,2009,1.53,0.0,0.12,16.66,0.01,0.02,0.19,0.0,0.26,0.0,0.0,21.51,40.3
PRECTOTCORR_SUM,2010,9.99,18.03,13.02,21.64,0.07,7.72,5.61,9.99,2.8,0.04,2.71,1.44,93.06
PRECTOTCORR_SUM,2011,16.64,3.53,4.55,6.1,6.65,4.71,11.32,27.04,1.58,2.47,25.49,0.0,110.08
PRECTOTCORR_SUM,2012,0.84,0.0,0.03,35.98,10.27,0.7,14.04,35.34,4.04,0.17,4.16,7.15,112.72
PRECTOTCORR_SUM,2013,0.0,0.97,6.53,29.03,9.46,1.26,25.98,8.38,0.14,13.15,1.54,0.59,97.03
PRECTOTCORR_SUM,2014,0.42,7.44,9.53,0.19,7.39,13.98,3.22,0.98,0.21,5.31,0.07,6.28,55.02
PRECTOTCORR_SUM,2015,0.47,3.78,0.08,0.0,6.97,2.91,2.86,0.32,2.24,0.39,0.01,0.03,20.06
PRECTOTCORR_SUM,2016,1.36,1.08,63.65,8.0,0.02,0.52,0.02,2.27,0.7,0.85,0.0,0.8,79.27
PRECTOTCORR_SUM,2017,0.27,0.97,1.44,0.14,3.72,0.0,3.2,3.01,0.39,0.0,0.03,6.39,19.56
PRECTOTCORR_SUM,2018,0.0,0.58,0.64,0.12,2.09,0.06,0.01,0.12,0.05,1.32,0.19,0.0,5.18
PRECTOTCORR_SUM,2019,0.0,2.37,1.06,25.75,0.37,0.08,0.18,4.46,0.0,5.93,13.05,12.36,65.61
PRECTOTCORR_SUM,2020,21.5,0.0,21.26,1.87,2.02,2.49,4.27,19.32,0.03,0.55,1.03,3.66,78.0
