# Area: Saint Kitts and Nevis
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  17.36   Longitude -62.78 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 6.68 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,19.62,77.88,19.01,165.66,146.99,81.28,111.68,115.46,81.74,165.94,100.81,189.97,1276.04
PRECTOTCORR_SUM,1982,37.06,107.04,14.69,45.23,178.29,40.14,74.6,85.19,80.44,72.57,128.57,161.98,1025.8
PRECTOTCORR_SUM,1983,20.75,11.49,21.86,56.43,200.82,44.94,84.91,90.63,61.66,49.74,52.65,39.28,735.16
PRECTOTCORR_SUM,1984,39.43,42.26,17.23,17.34,71.9,37.42,76.3,84.02,123.53,92.31,317.24,22.98,941.96
PRECTOTCORR_SUM,1985,19.4,42.14,59.45,21.97,26.28,30.85,63.37,74.17,124.65,184.15,88.61,19.89,754.93
PRECTOTCORR_SUM,1986,19.9,12.56,15.11,93.66,131.75,32.77,33.0,96.5,46.82,66.97,137.03,28.8,714.87
PRECTOTCORR_SUM,1987,32.27,6.32,70.01,68.64,275.47,135.17,72.15,57.48,71.56,105.92,220.86,33.14,1148.99
PRECTOTCORR_SUM,1988,31.69,55.9,30.88,12.16,19.82,36.66,82.72,147.53,85.26,64.33,78.02,43.29,688.26
PRECTOTCORR_SUM,1989,35.9,40.16,28.5,21.13,26.66,53.11,63.76,148.1,218.03,43.48,29.64,24.53,733.0
PRECTOTCORR_SUM,1990,38.15,27.29,64.4,68.39,51.49,59.57,44.57,81.95,67.84,273.42,38.21,42.78,858.06
PRECTOTCORR_SUM,1991,20.45,32.28,39.8,32.99,41.62,54.99,53.69,45.14,101.92,46.15,77.64,27.59,574.26
PRECTOTCORR_SUM,1992,35.42,17.56,18.15,38.43,147.63,51.92,40.71,50.38,97.63,29.33,169.9,82.06,779.12
PRECTOTCORR_SUM,1993,27.92,27.59,15.16,70.18,187.03,76.21,68.19,45.65,105.36,61.85,49.18,36.02,770.34
PRECTOTCORR_SUM,1994,26.26,22.49,13.14,18.53,32.19,18.21,20.18,21.37,121.9,69.88,74.22,44.01,482.38
PRECTOTCORR_SUM,1995,19.75,36.08,18.43,10.19,25.52,19.0,66.17,133.18,258.06,87.93,27.61,42.26,744.18
PRECTOTCORR_SUM,1996,27.48,25.31,13.76,30.99,47.39,87.55,146.7,57.19,140.89,76.6,115.31,102.32,871.49
PRECTOTCORR_SUM,1997,36.94,71.57,14.05,14.78,30.35,18.03,93.13,50.2,128.31,137.99,20.38,71.66,687.39
PRECTOTCORR_SUM,1998,42.41,40.05,52.38,41.54,54.24,66.94,46.58,97.49,83.02,148.23,116.47,93.53,882.88
PRECTOTCORR_SUM,1999,26.63,34.18,16.38,29.21,23.81,68.48,61.52,82.45,121.02,267.83,307.59,43.56,1082.66
PRECTOTCORR_SUM,2000,30.23,34.01,32.57,41.25,55.04,20.47,23.32,58.89,78.49,37.74,55.02,22.0,489.03
PRECTOTCORR_SUM,2001,22.42,16.98,10.58,24.61,39.74,32.33,53.68,72.77,46.39,99.61,43.48,132.11,594.7
PRECTOTCORR_SUM,2002,20.03,13.39,27.15,56.43,21.14,31.69,48.14,37.19,73.55,79.96,28.85,32.06,469.58
PRECTOTCORR_SUM,2003,21.25,16.94,8.09,31.89,38.01,43.26,34.53,50.43,55.49,70.55,397.1,68.61,836.15
PRECTOTCORR_SUM,2004,22.06,21.07,44.16,16.54,88.32,38.82,111.4,53.63,226.09,174.96,176.04,29.09,1002.18
PRECTOTCORR_SUM,2005,55.45,32.79,4.59,63.87,92.54,160.36,101.42,78.01,99.39,278.46,63.15,30.16,1060.19
PRECTOTCORR_SUM,2006,70.07,30.85,31.01,84.18,55.02,85.38,94.18,80.42,48.88,212.8,39.2,43.33,875.32
PRECTOTCORR_SUM,2007,19.22,6.97,53.9,8.55,75.54,27.01,79.25,88.54,98.74,206.13,7.76,37.21,708.82
PRECTOTCORR_SUM,2008,40.77,16.18,16.22,30.25,29.55,52.79,28.64,115.06,190.79,215.77,52.17,18.89,807.08
PRECTOTCORR_SUM,2009,25.48,29.58,24.7,12.17,72.43,34.71,40.96,60.67,100.64,65.83,64.46,29.95,561.58
PRECTOTCORR_SUM,2010,13.73,14.24,22.68,42.96,95.04,113.99,174.08,145.1,97.99,244.15,82.16,80.83,1126.95
PRECTOTCORR_SUM,2011,17.6,14.65,16.3,73.6,128.07,122.6,199.65,191.44,212.31,28.89,178.78,103.12,1287.01
PRECTOTCORR_SUM,2012,23.39,13.51,83.13,39.49,154.22,32.4,81.22,166.39,86.01,229.2,20.79,41.94,971.69
PRECTOTCORR_SUM,2013,10.85,5.97,23.83,41.47,122.36,105.2,55.07,69.36,116.45,129.31,77.72,138.68,896.27
