# Area: Singapore
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  1.29   Longitude 103.85 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 25.8 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,32.46,178.4,57.6,202.94,276.28,74.85,177.38,74.19,143.22,162.52,142.29,347.25,1869.38
PRECTOTCORR_SUM,1982,105.26,82.22,70.31,97.82,133.24,72.25,105.19,166.53,79.79,65.1,207.68,396.93,1582.32
PRECTOTCORR_SUM,1983,207.98,14.16,41.1,67.81,167.99,109.96,198.39,276.25,147.78,201.4,228.46,337.13,1998.41
PRECTOTCORR_SUM,1984,196.41,325.06,356.47,169.49,199.79,252.77,142.78,113.07,181.8,211.29,147.87,266.96,2563.76
PRECTOTCORR_SUM,1985,109.7,110.36,129.73,148.08,109.33,46.05,138.46,80.81,135.99,183.81,233.55,327.14,1753.01
PRECTOTCORR_SUM,1986,212.93,33.26,304.37,174.66,166.89,134.0,135.94,83.65,303.19,253.9,257.55,354.52,2414.86
PRECTOTCORR_SUM,1987,385.37,44.94,118.71,120.65,266.26,141.09,76.54,197.26,150.29,66.64,289.63,91.0,1948.38
PRECTOTCORR_SUM,1988,233.22,167.21,211.62,161.7,254.82,241.99,282.2,92.48,250.9,126.93,340.84,67.23,2431.14
PRECTOTCORR_SUM,1989,134.36,52.87,219.13,176.39,175.97,134.31,166.01,175.38,240.85,136.31,357.99,150.71,2120.28
PRECTOTCORR_SUM,1990,134.87,26.64,88.3,82.45,173.56,61.97,140.4,128.66,187.36,115.77,192.85,186.66,1519.49
PRECTOTCORR_SUM,1991,127.49,58.11,116.97,154.99,246.83,84.02,36.63,214.21,131.96,60.18,149.51,420.58,1801.48
PRECTOTCORR_SUM,1992,52.46,91.11,101.64,184.19,149.06,162.19,282.98,91.79,112.05,223.38,400.8,371.36,2223.01
PRECTOTCORR_SUM,1993,160.72,90.99,254.13,227.11,140.85,133.2,226.88,108.85,85.36,223.87,217.2,302.35,2171.51
PRECTOTCORR_SUM,1994,83.59,117.51,338.33,161.58,196.33,145.68,78.11,65.31,49.06,89.01,367.93,364.04,2056.48
PRECTOTCORR_SUM,1995,288.75,159.11,90.97,240.04,119.08,103.92,211.67,227.43,114.56,139.55,382.24,281.36,2358.68
PRECTOTCORR_SUM,1996,151.47,138.89,118.69,200.32,136.77,239.72,171.97,245.18,255.81,279.36,180.53,162.76,2281.47
PRECTOTCORR_SUM,1997,28.11,94.63,60.87,156.57,80.16,129.11,38.91,108.6,45.63,85.53,178.13,299.86,1306.11
PRECTOTCORR_SUM,1998,221.87,38.89,67.98,161.89,253.86,175.57,221.72,197.3,261.32,219.07,146.43,363.97,2329.87
PRECTOTCORR_SUM,1999,169.82,46.21,175.55,106.21,146.79,105.69,218.96,217.09,146.66,173.04,229.21,258.52,1993.75
PRECTOTCORR_SUM,2000,277.43,201.1,196.11,269.04,106.11,159.91,149.74,136.5,132.28,187.85,383.88,248.17,2448.12
PRECTOTCORR_SUM,2001,354.85,109.91,260.17,226.7,178.0,140.95,145.58,184.7,170.92,269.0,211.36,491.79,2743.93
PRECTOTCORR_SUM,2002,204.58,53.41,82.73,149.81,222.28,110.54,272.58,106.69,143.44,44.07,290.67,276.42,1957.22
PRECTOTCORR_SUM,2003,242.96,176.13,159.79,215.41,89.78,66.32,160.21,179.52,201.88,322.61,175.09,276.63,2266.33
PRECTOTCORR_SUM,2004,505.75,36.73,263.53,101.74,193.34,143.62,172.47,186.99,178.71,183.13,196.55,139.96,2302.52
PRECTOTCORR_SUM,2005,169.16,29.78,120.06,136.12,327.83,85.87,140.37,157.57,166.22,316.55,337.15,176.38,2163.06
PRECTOTCORR_SUM,2006,374.19,119.7,102.11,254.97,209.46,240.12,203.22,159.46,116.17,130.66,200.91,694.14,2805.11
PRECTOTCORR_SUM,2007,451.42,109.64,257.03,218.96,167.11,174.96,176.32,201.79,167.12,301.84,293.22,338.56,2857.97
PRECTOTCORR_SUM,2008,193.16,134.33,296.86,170.92,126.55,172.82,205.86,279.27,183.56,230.27,283.6,229.68,2506.88
PRECTOTCORR_SUM,2009,43.41,130.69,255.43,145.45,171.21,116.03,184.0,205.69,175.58,211.62,277.21,223.41,2139.73
PRECTOTCORR_SUM,2010,57.79,31.08,256.01,206.03,193.18,264.74,258.59,187.53,212.76,178.48,278.95,167.8,2292.94
PRECTOTCORR_SUM,2011,586.48,21.4,228.32,251.77,149.78,213.07,141.28,204.4,190.15,270.92,384.42,314.55,2956.54
PRECTOTCORR_SUM,2012,120.77,121.14,239.06,265.32,291.52,89.06,153.52,123.46,179.35,147.54,274.0,347.45,2352.19
PRECTOTCORR_SUM,2013,201.57,330.18,87.29,236.15,257.99,127.65,185.06,139.13,224.56,218.62,348.25,325.71,2682.16
PRECTOTCORR_SUM,2014,108.59,0.61,73.44,184.03,244.82,150.91,204.28,246.99,125.7,116.47,311.97,303.9,2071.71
PRECTOTCORR_SUM,2015,81.41,48.09,118.86,156.86,151.02,129.53,109.51,206.37,69.15,158.72,292.2,256.33,1778.05
PRECTOTCORR_SUM,2016,156.32,223.26,51.81,111.04,166.44,208.18,162.07,166.04,164.74,227.5,329.65,253.76,2220.81
PRECTOTCORR_SUM,2017,269.71,173.37,214.12,253.87,251.62,154.08,123.19,193.92,173.36,246.14,354.92,277.63,2685.93
PRECTOTCORR_SUM,2018,351.05,55.82,125.39,174.73,163.49,175.61,130.68,107.37,165.53,221.98,277.55,250.79,2199.99
PRECTOTCORR_SUM,2019,123.79,29.64,102.73,190.53,185.43,224.37,100.94,56.42,78.54,218.98,205.33,397.76,1914.46
PRECTOTCORR_SUM,2020,97.26,114.46,73.74,206.88,231.68,283.96,251.33,167.26,245.98,175.44,342.04,267.49,2457.52
PRECTOTCORR_SUM,2021,603.48,374.62,222.48,274.33,338.09,346.93,480.52,465.58,370.9,223.1,277.91,303.86,4281.8
PRECTOTCORR_SUM,2022,239.38,411.69,196.92,356.15,362.49,385.46,159.19,276.49,389.51,438.23,482.76,355.88,4054.15
PRECTOTCORR_SUM,2023,409.93,442.18,741.93,251.97,175.05,234.41,515.03,702.66,440.04,493.42,628.82,622.28,5657.72
