# Area: Tajikistan
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  38.86   Longitude 71.28 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 3367.78 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,43.02,94.26,40.39,56.73,59.92,15.63,27.95,17.96,8.05,47.66,48.34,65.49,525.4
PRECTOTCORR_SUM,1982,84.91,23.06,23.62,2.0,9.83,0.86,2.42,1.77,9.84,32.19,42.36,10.38,243.24
PRECTOTCORR_SUM,1983,33.19,9.66,34.64,43.39,18.47,11.51,3.88,2.19,1.31,0.98,13.3,18.56,191.08
PRECTOTCORR_SUM,1984,14.46,43.19,90.42,67.94,23.35,3.59,0.79,0.0,7.48,6.05,43.05,23.4,323.72
PRECTOTCORR_SUM,1985,44.37,20.99,41.76,20.67,33.42,3.24,0.73,0.24,0.46,11.67,3.64,17.89,199.08
PRECTOTCORR_SUM,1986,7.92,3.42,32.57,22.17,18.61,10.05,1.72,1.55,2.19,6.98,40.65,72.86,220.69
PRECTOTCORR_SUM,1987,26.66,24.02,86.57,99.33,54.94,14.35,14.47,2.24,3.58,83.26,19.99,31.39,460.8
PRECTOTCORR_SUM,1988,38.05,22.61,66.43,35.05,34.61,4.63,7.22,1.45,0.05,17.25,3.58,41.18,272.11
PRECTOTCORR_SUM,1989,17.39,25.09,15.92,20.05,17.11,11.67,6.05,6.74,10.62,10.49,43.11,24.63,208.87
PRECTOTCORR_SUM,1990,45.09,34.01,42.98,49.75,29.64,17.65,21.53,16.14,0.51,29.05,26.75,52.31,365.41
PRECTOTCORR_SUM,1991,55.72,38.65,64.38,24.68,54.91,16.02,13.29,16.25,11.22,15.83,23.16,79.41,413.52
PRECTOTCORR_SUM,1992,47.71,40.12,42.14,31.28,38.11,21.43,6.34,7.74,8.56,8.19,16.82,34.18,302.62
PRECTOTCORR_SUM,1993,14.53,55.13,42.5,46.16,91.06,15.2,2.95,8.5,18.68,18.69,48.99,27.81,390.2
PRECTOTCORR_SUM,1994,22.36,28.96,24.0,19.82,21.84,9.15,0.67,0.89,5.17,7.99,15.14,36.87,192.86
PRECTOTCORR_SUM,1995,26.6,23.93,34.6,26.98,24.15,8.09,3.32,0.47,1.5,6.4,0.37,5.8,162.21
PRECTOTCORR_SUM,1996,10.22,59.55,53.52,44.7,17.9,12.26,28.59,3.44,6.2,11.58,7.43,1.71,257.1
PRECTOTCORR_SUM,1997,12.42,17.09,24.19,24.07,20.43,23.8,4.35,2.21,0.0,1.52,5.01,10.19,145.28
PRECTOTCORR_SUM,1998,16.86,50.0,23.46,31.89,39.0,13.68,4.31,5.04,4.13,5.75,5.2,27.21,226.53
PRECTOTCORR_SUM,1999,13.53,20.68,49.01,41.24,13.52,3.58,4.65,0.27,1.18,11.15,35.17,7.28,201.26
PRECTOTCORR_SUM,2000,16.12,4.77,19.96,10.87,1.9,2.24,1.57,0.63,5.94,40.83,15.22,19.88,139.93
PRECTOTCORR_SUM,2001,22.64,17.99,19.95,13.05,2.84,6.97,2.28,6.94,0.54,10.15,17.29,28.79,149.43
PRECTOTCORR_SUM,2002,26.7,20.78,23.63,29.24,12.61,9.01,3.03,0.25,6.7,4.85,7.09,33.7,177.59
PRECTOTCORR_SUM,2003,4.49,31.69,51.1,49.74,22.59,13.39,1.3,2.91,3.26,11.77,25.87,36.07,254.18
PRECTOTCORR_SUM,2004,40.78,16.28,63.38,16.34,9.88,3.33,3.34,0.89,0.51,7.05,26.52,51.32,239.62
PRECTOTCORR_SUM,2005,10.27,19.67,45.72,26.62,22.99,12.91,0.01,1.03,0.03,6.65,4.79,21.16,171.85
PRECTOTCORR_SUM,2006,83.31,26.13,14.2,10.36,14.62,0.56,5.5,0.06,0.45,8.45,12.76,13.92,190.32
PRECTOTCORR_SUM,2007,6.82,8.08,48.76,31.88,16.4,3.27,7.39,2.01,0.0,0.29,6.0,23.91,154.81
PRECTOTCORR_SUM,2008,13.31,32.48,4.2,18.19,6.42,0.0,1.46,0.36,1.28,6.27,7.64,14.77,106.38
PRECTOTCORR_SUM,2009,6.2,11.87,10.73,16.28,20.8,9.92,1.01,0.21,0.26,1.05,7.51,19.54,105.38
PRECTOTCORR_SUM,2010,7.89,41.09,23.1,26.46,25.37,6.21,3.31,2.2,1.6,4.55,5.82,0.17,147.77
PRECTOTCORR_SUM,2011,5.97,11.96,20.01,3.05,7.47,2.44,0.83,1.94,0.0,11.01,50.73,5.2,120.61
PRECTOTCORR_SUM,2012,12.85,12.6,28.97,3.38,8.81,3.2,0.33,0.0,0.0,1.69,6.02,12.28,90.13
PRECTOTCORR_SUM,2013,7.37,9.89,12.45,7.34,1.84,1.52,0.53,1.38,0.43,0.08,0.37,1.92,45.12
PRECTOTCORR_SUM,2014,0.62,7.06,29.1,31.54,57.7,50.21,6.66,3.88,0.83,26.5,29.37,26.9,270.37
PRECTOTCORR_SUM,2015,42.88,57.2,40.65,44.01,52.85,21.53,9.92,20.36,4.92,20.75,39.64,16.96,371.67
PRECTOTCORR_SUM,2016,26.82,4.38,40.59,37.26,99.72,16.79,29.9,2.92,0.25,11.23,25.05,64.63,359.54
PRECTOTCORR_SUM,2017,50.93,73.97,61.68,60.04,43.81,35.35,15.58,2.2,13.31,13.34,3.39,11.12,384.72
PRECTOTCORR_SUM,2018,8.31,40.83,74.1,41.27,66.97,26.86,7.65,2.4,12.9,24.7,47.89,12.75,366.63
PRECTOTCORR_SUM,2019,43.29,29.75,36.3,98.16,28.84,63.53,7.13,5.3,3.34,37.22,31.33,13.33,397.52
PRECTOTCORR_SUM,2020,22.23,75.22,18.61,54.44,55.4,82.52,27.95,371.03,12.25,4.98,349.68,24.39,1098.7
PRECTOTCORR_SUM,2021,6.43,136.3,85.6,30.62,15.57,8.53,50.86,5.45,0.38,5.55,11.9,8.78,365.97
PRECTOTCORR_SUM,2022,34.14,8.69,457.4,26.76,61.55,27.82,22.61,369.69,0.31,48.81,65.56,15.55,1138.89
PRECTOTCORR_SUM,2023,19.08,91.5,13.93,22.35,18.76,10.27,12.7,23.68,24.81,10.07,11.26,17.08,275.49
