# Area: Tokelau
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -9.2   Longitude -171.85 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 0.01 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,397.22,500.77,471.1,215.86,139.93,98.5,87.12,101.34,111.48,99.76,139.78,430.07,2792.93
PRECTOTCORR_SUM,1982,200.91,446.2,169.8,36.45,104.22,130.66,61.86,146.35,291.04,150.46,427.17,67.86,2232.98
PRECTOTCORR_SUM,1983,786.05,465.77,279.99,159.86,175.09,164.93,71.42,182.64,125.72,93.23,221.55,233.22,2959.47
PRECTOTCORR_SUM,1984,141.68,129.08,474.41,120.06,110.03,196.71,268.32,168.93,133.96,160.58,191.79,266.16,2361.71
PRECTOTCORR_SUM,1985,491.81,212.29,187.56,168.7,145.53,92.19,125.55,120.65,95.19,65.36,187.55,344.15,2236.53
PRECTOTCORR_SUM,1986,347.77,161.94,103.54,194.2,163.03,60.68,72.27,209.95,77.19,130.13,197.39,554.01,2272.1
PRECTOTCORR_SUM,1987,454.7,373.49,233.52,270.81,254.17,140.24,268.31,478.06,218.42,340.91,171.24,369.93,3573.8
PRECTOTCORR_SUM,1988,393.79,432.06,252.84,262.19,252.75,128.31,228.98,122.0,85.35,86.54,107.52,256.02,2608.35
PRECTOTCORR_SUM,1989,268.12,185.49,226.55,211.58,90.28,98.02,67.51,58.4,94.04,99.89,188.44,471.33,2059.65
PRECTOTCORR_SUM,1990,314.91,522.49,403.19,79.83,56.72,76.56,98.54,80.34,67.38,76.02,256.61,313.04,2345.63
PRECTOTCORR_SUM,1991,162.7,370.62,92.99,175.15,117.13,140.25,190.44,135.22,188.46,159.38,284.05,371.42,2387.81
