# Area: United Republic of Tanzania
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -6.37   Longitude 34.89 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1071.7 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,69.16,72.8,150.96,109.87,15.25,1.13,0.91,6.34,4.29,23.95,37.99,160.29,652.94
PRECTOTCORR_SUM,1982,111.19,257.05,73.59,85.26,21.08,8.13,2.58,4.4,0.5,18.79,72.94,186.46,841.97
PRECTOTCORR_SUM,1983,116.66,46.64,80.34,45.1,7.96,7.34,0.63,1.51,4.0,8.17,11.02,161.95,491.32
PRECTOTCORR_SUM,1984,149.55,124.7,110.63,88.69,23.31,11.25,0.56,2.01,0.98,85.53,66.57,103.04,766.82
PRECTOTCORR_SUM,1985,19.15,226.76,59.61,67.04,10.28,0.08,0.44,0.46,1.44,2.46,32.27,43.59,463.58
PRECTOTCORR_SUM,1986,175.57,72.73,138.8,66.09,15.77,0.95,0.0,0.22,0.08,41.8,59.47,173.28,744.76
PRECTOTCORR_SUM,1987,352.42,61.35,91.56,60.09,25.25,0.62,1.29,0.56,0.32,16.59,41.95,40.18,692.18
PRECTOTCORR_SUM,1988,207.49,36.75,126.93,30.04,1.77,1.88,0.08,3.98,3.17,4.72,39.34,143.64,599.79
PRECTOTCORR_SUM,1989,162.69,75.16,118.29,120.56,16.85,0.37,0.62,1.82,0.43,9.42,46.35,167.42,719.98
PRECTOTCORR_SUM,1990,84.19,186.46,270.84,150.38,10.18,1.94,0.54,0.77,4.84,7.02,35.76,40.88,793.8
PRECTOTCORR_SUM,1991,109.01,152.9,84.83,72.49,35.81,0.5,0.31,0.6,0.18,14.79,15.45,129.8,616.67
PRECTOTCORR_SUM,1992,40.28,207.63,73.7,98.32,23.77,3.58,0.43,0.21,0.95,17.12,53.81,112.52,632.32
PRECTOTCORR_SUM,1993,187.42,167.36,120.19,83.82,10.78,6.94,0.98,0.71,1.08,0.76,16.99,18.92,615.95
PRECTOTCORR_SUM,1994,111.9,206.62,96.42,34.41,10.53,2.89,10.71,1.15,5.69,4.12,82.87,112.19,679.5
PRECTOTCORR_SUM,1995,183.83,169.06,214.62,84.4,34.43,1.42,0.06,3.21,4.16,14.13,39.02,127.16,875.5
PRECTOTCORR_SUM,1996,183.51,254.91,129.87,76.44,53.3,5.01,1.07,0.31,3.42,4.76,17.28,161.16,891.04
PRECTOTCORR_SUM,1997,104.66,189.51,75.63,151.49,40.73,12.68,3.0,5.93,0.54,29.77,126.15,176.11,916.2
PRECTOTCORR_SUM,1998,127.66,188.87,60.74,96.43,16.36,1.99,0.11,0.23,3.55,2.72,11.37,12.66,522.69
PRECTOTCORR_SUM,1999,120.08,53.94,154.76,43.05,8.59,0.79,6.77,0.67,0.61,2.17,31.58,22.23,445.24
PRECTOTCORR_SUM,2000,66.8,60.7,117.85,39.28,1.44,1.32,2.46,0.3,1.7,3.37,115.42,171.84,582.48
PRECTOTCORR_SUM,2001,172.61,76.13,45.95,85.86,6.38,0.35,2.63,0.36,0.49,7.86,15.65,78.6,492.87
PRECTOTCORR_SUM,2002,245.41,104.62,112.63,55.91,15.66,0.01,0.19,0.3,0.67,11.24,49.11,171.34,767.09
PRECTOTCORR_SUM,2003,141.95,87.5,54.97,75.89,32.08,0.5,0.37,0.01,1.46,29.2,14.2,127.94,566.07
PRECTOTCORR_SUM,2004,122.79,120.8,101.47,80.81,0.97,0.48,0.1,0.19,11.28,2.21,45.76,290.26,777.12
PRECTOTCORR_SUM,2005,108.89,59.09,124.27,46.3,15.86,0.61,0.03,0.18,0.22,11.11,12.38,35.95,414.89
PRECTOTCORR_SUM,2006,58.02,70.66,200.37,117.51,30.01,5.55,0.94,1.73,2.13,5.02,101.78,229.92,823.64
PRECTOTCORR_SUM,2007,212.17,169.78,105.28,36.12,9.06,7.22,0.31,2.65,0.29,3.66,25.7,146.06,718.3
PRECTOTCORR_SUM,2008,148.72,166.69,233.95,78.14,5.55,0.21,0.14,0.15,1.76,23.74,38.74,105.48,803.27
PRECTOTCORR_SUM,2009,203.61,209.14,152.36,123.62,11.29,0.56,0.02,0.0,0.61,1.09,89.44,253.94,1045.68
PRECTOTCORR_SUM,2010,144.15,129.66,84.54,26.45,35.69,0.43,0.09,0.32,1.82,0.07,24.12,133.07,580.41
PRECTOTCORR_SUM,2011,74.09,114.53,139.16,61.71,4.84,0.22,0.0,0.17,5.42,5.61,58.06,354.11,817.92
PRECTOTCORR_SUM,2012,254.21,121.65,141.79,89.52,68.37,0.92,0.0,1.6,0.11,7.57,57.34,146.31,889.39
PRECTOTCORR_SUM,2013,107.1,90.29,118.39,96.14,5.16,0.24,0.23,0.08,1.19,6.07,13.42,210.04,648.35
PRECTOTCORR_SUM,2014,258.42,156.32,165.4,70.8,10.01,1.77,0.23,0.1,1.56,20.35,63.83,165.53,914.32
PRECTOTCORR_SUM,2015,162.58,98.39,99.96,68.99,11.1,0.07,0.18,0.1,0.21,17.73,116.8,157.85,733.96
PRECTOTCORR_SUM,2016,360.13,154.14,149.24,166.18,3.45,2.29,0.27,0.16,0.1,1.17,15.62,70.76,923.51
PRECTOTCORR_SUM,2017,112.14,192.37,181.35,86.69,40.76,0.5,3.42,1.63,0.24,21.78,113.3,120.72,874.9
PRECTOTCORR_SUM,2018,444.38,59.88,319.35,146.68,66.53,0.2,0.35,0.02,0.17,6.48,56.96,488.91,1589.91
PRECTOTCORR_SUM,2019,459.33,224.06,207.78,164.05,33.96,0.06,0.01,65.83,23.1,74.69,156.72,299.8,1709.39
PRECTOTCORR_SUM,2020,332.96,335.59,370.31,185.77,15.44,4.68,14.8,0.14,1.49,28.57,173.64,211.23,1674.62
PRECTOTCORR_SUM,2021,361.06,222.1,171.5,79.62,59.44,0.19,4.51,15.1,65.0,28.24,34.78,131.3,1172.84
PRECTOTCORR_SUM,2022,280.7,361.48,150.84,91.66,4.52,15.62,1.45,18.01,11.92,0.0,52.72,219.65,1208.57
PRECTOTCORR_SUM,2023,200.55,120.92,226.13,67.02,7.68,3.69,0.04,4.01,2.55,2.15,71.76,270.35,976.85
