# Area: Yugoslav SFR
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  44.82   Longitude 20.46 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 92.76 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,45.48,24.1,105.14,57.92,44.85,106.41,30.27,66.6,84.15,69.85,53.23,81.81,769.81
PRECTOTCORR_SUM,1982,45.72,20.05,71.64,69.44,25.33,85.05,92.78,57.84,24.13,72.02,25.27,72.1,661.37
PRECTOTCORR_SUM,1983,33.52,19.6,24.07,35.3,52.51,101.32,58.77,23.02,73.58,23.64,29.35,35.95,510.63
PRECTOTCORR_SUM,1984,70.28,52.05,33.66,41.65,75.23,69.17,65.48,33.27,53.77,27.7,55.16,20.04,597.46
PRECTOTCORR_SUM,1985,44.99,54.6,47.57,74.09,61.84,122.55,22.67,140.07,11.59,18.99,96.49,25.87,721.32
PRECTOTCORR_SUM,1986,65.17,61.8,45.56,65.73,68.7,79.86,83.2,31.54,4.9,31.81,6.51,31.91,576.69
PRECTOTCORR_SUM,1987,92.01,8.13,62.62,52.14,159.51,75.49,52.22,41.68,13.16,24.62,86.11,47.21,714.9
PRECTOTCORR_SUM,1988,42.61,51.28,83.76,39.05,27.39,77.29,17.14,28.65,67.39,17.87,28.0,31.99,512.42
PRECTOTCORR_SUM,1989,7.89,11.56,38.6,84.69,77.11,128.48,23.46,79.53,47.07,35.15,58.41,20.89,612.84
PRECTOTCORR_SUM,1990,6.81,35.83,27.18,42.99,20.22,58.78,27.32,18.88,35.58,44.75,35.21,69.87,423.42
PRECTOTCORR_SUM,1991,16.08,17.54,52.62,45.75,79.88,62.23,111.23,71.43,21.47,90.41,60.94,25.06,654.64
PRECTOTCORR_SUM,1992,11.32,26.86,9.77,45.57,28.0,105.26,34.6,14.55,31.57,108.31,63.43,35.12,514.36
PRECTOTCORR_SUM,1993,19.22,16.15,65.31,35.41,25.26,49.85,45.72,30.49,52.84,15.46,57.25,78.11,491.07
PRECTOTCORR_SUM,1994,41.95,25.3,28.53,61.86,46.56,107.74,48.3,59.51,37.7,47.73,19.85,38.01,563.04
PRECTOTCORR_SUM,1995,74.55,33.88,49.13,62.48,71.22,108.64,37.18,59.16,83.87,2.2,42.15,81.45,705.91
PRECTOTCORR_SUM,1996,40.78,55.93,37.13,38.92,88.4,57.58,28.65,70.38,104.89,29.85,68.11,82.67,703.29
PRECTOTCORR_SUM,1997,31.88,42.05,23.32,78.92,46.04,67.58,107.14,86.51,22.79,96.91,34.14,73.89,711.17
PRECTOTCORR_SUM,1998,61.89,3.45,17.92,47.5,52.86,67.23,59.8,50.26,83.83,95.54,50.06,25.95,616.29
PRECTOTCORR_SUM,1999,45.14,63.55,20.33,56.19,56.24,98.94,164.85,41.69,35.47,46.3,79.89,117.05,825.64
PRECTOTCORR_SUM,2000,26.4,20.79,31.54,35.93,40.33,20.28,21.91,9.54,50.97,10.56,17.47,38.15,323.87
PRECTOTCORR_SUM,2001,40.16,21.97,61.37,109.64,49.13,131.9,45.6,41.76,156.44,16.13,67.78,24.45,766.33
PRECTOTCORR_SUM,2002,9.8,14.3,13.88,41.64,48.45,57.79,60.01,84.55,59.01,58.34,46.66,49.69,544.12
PRECTOTCORR_SUM,2003,61.71,20.63,8.72,25.65,33.49,26.83,92.93,18.22,60.68,119.14,31.51,28.51,528.02
PRECTOTCORR_SUM,2004,76.98,45.58,20.34,84.47,62.99,91.91,93.43,52.92,34.6,46.94,119.97,43.63,773.76
PRECTOTCORR_SUM,2005,38.17,70.57,38.25,77.2,56.33,77.0,92.27,138.52,77.19,14.94,32.78,75.47,788.69
PRECTOTCORR_SUM,2006,35.79,54.75,77.25,85.98,39.84,110.86,25.41,122.64,18.62,23.42,25.68,46.57,666.81
PRECTOTCORR_SUM,2007,46.96,67.0,87.74,3.97,84.4,68.31,28.43,44.34,72.1,122.58,88.23,31.56,745.62
PRECTOTCORR_SUM,2008,32.35,11.0,71.5,43.33,36.45,58.5,44.78,23.01,77.7,22.17,53.05,64.91,538.75
PRECTOTCORR_SUM,2009,52.29,57.08,55.42,11.73,51.23,131.41,53.0,36.31,9.51,92.07,70.54,108.05,728.64
PRECTOTCORR_SUM,2010,65.2,78.36,45.45,48.84,127.89,126.22,67.37,85.57,51.9,54.54,48.93,53.95,854.22
PRECTOTCORR_SUM,2011,37.18,46.31,27.22,21.24,67.8,47.46,83.71,5.99,34.42,36.65,3.12,47.8,458.9
PRECTOTCORR_SUM,2012,75.59,66.55,8.13,73.84,90.36,26.43,73.7,3.07,27.13,64.14,25.6,66.83,601.37
PRECTOTCORR_SUM,2013,68.58,59.42,96.28,29.23,105.21,56.21,19.38,26.47,61.81,23.76,35.32,6.41,588.08
PRECTOTCORR_SUM,2014,36.82,18.21,40.41,87.52,190.5,69.09,171.04,61.19,116.04,62.84,12.91,58.91,925.48
PRECTOTCORR_SUM,2015,56.47,52.45,83.05,25.57,77.99,42.92,7.93,59.82,77.67,59.86,54.09,6.12,603.94
PRECTOTCORR_SUM,2016,50.44,48.17,86.2,53.39,82.91,140.17,65.63,76.74,47.57,77.64,66.19,8.13,803.18
PRECTOTCORR_SUM,2017,20.02,25.57,32.41,55.29,73.79,45.51,28.32,46.37,61.14,54.27,44.39,46.33,533.41
PRECTOTCORR_SUM,2018,50.09,71.95,85.16,31.0,65.71,131.77,83.47,43.49,21.75,13.47,39.83,66.86,704.55
PRECTOTCORR_SUM,2019,73.24,25.82,11.31,72.31,149.97,89.23,45.04,35.14,27.3,15.28,50.69,49.77,645.1
PRECTOTCORR_SUM,2020,24.48,59.62,49.13,9.81,68.39,134.76,80.27,96.83,32.19,95.13,14.23,55.39,720.23
PRECTOTCORR_SUM,2021,86.97,28.61,59.85,46.2,92.68,22.74,94.16,55.0,18.21,57.33,91.94,117.23,770.92
PRECTOTCORR_SUM,2022,33.6,28.02,13.93,58.64,40.42,39.98,43.38,78.98,117.33,16.81,64.46,64.53,600.08
PRECTOTCORR_SUM,2023,78.66,56.72,39.18,72.14,85.25,92.56,53.93,83.51,48.54,18.09,95.26,34.2,758.04
