# Area: Zambia
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -13.13   Longitude 27.85 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1231.59 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR_SUM,1981,329.35,362.03,203.5,63.74,6.57,0.03,0.09,0.1,0.15,4.87,126.24,119.97,1216.64
PRECTOTCORR_SUM,1982,507.72,394.13,83.92,49.34,33.17,5.76,0.23,0.04,4.79,48.18,239.86,301.62,1668.76
PRECTOTCORR_SUM,1983,241.23,232.24,75.73,103.83,2.37,0.06,0.01,0.16,0.0,49.79,126.36,277.73,1109.51
PRECTOTCORR_SUM,1984,203.13,326.35,224.37,24.26,0.65,0.04,0.09,0.0,0.73,29.81,109.14,491.53,1410.1
PRECTOTCORR_SUM,1985,253.94,245.34,194.08,28.72,10.12,0.0,0.4,0.01,0.22,23.52,99.21,310.79,1166.35
PRECTOTCORR_SUM,1986,326.61,248.12,171.23,81.67,0.17,0.28,0.0,3.58,2.82,88.81,131.38,353.09,1407.76
PRECTOTCORR_SUM,1987,367.44,173.02,101.23,33.59,6.01,0.41,0.06,10.57,7.79,30.66,56.25,228.75,1015.78
PRECTOTCORR_SUM,1988,314.14,302.03,209.43,10.78,0.29,0.12,0.86,0.5,0.37,60.74,48.76,186.64,1134.66
PRECTOTCORR_SUM,1989,368.68,437.24,189.21,36.95,11.28,0.0,0.21,0.0,0.04,11.21,44.62,229.8,1329.24
PRECTOTCORR_SUM,1990,375.67,232.08,86.68,80.63,18.85,0.0,0.0,0.06,2.58,4.81,62.27,187.4,1051.03
PRECTOTCORR_SUM,1991,289.68,140.23,136.46,15.52,5.33,0.0,0.13,0.01,0.91,58.35,108.57,180.1,935.29
PRECTOTCORR_SUM,1992,197.86,440.23,179.02,19.37,4.9,0.07,0.14,0.03,0.0,8.59,98.05,350.97,1299.23
PRECTOTCORR_SUM,1993,240.23,390.25,271.57,51.49,0.39,0.0,0.02,0.17,1.66,7.44,142.8,204.69,1310.71
PRECTOTCORR_SUM,1994,389.86,227.29,42.75,11.93,0.03,0.0,0.14,0.02,3.72,48.98,54.36,229.89,1008.97
PRECTOTCORR_SUM,1995,211.37,331.22,110.98,2.34,3.05,0.0,0.01,0.0,0.65,15.12,167.69,343.58,1186.01
PRECTOTCORR_SUM,1996,292.67,294.69,111.72,9.39,17.75,0.42,0.09,0.25,1.89,0.63,103.37,216.66,1049.53
PRECTOTCORR_SUM,1997,353.59,216.74,241.98,78.33,5.94,0.09,0.31,0.14,1.32,6.31,50.98,196.62,1152.35
PRECTOTCORR_SUM,1998,110.21,111.46,42.18,3.06,0.0,0.02,0.11,0.12,0.6,0.48,70.62,195.03,533.89
PRECTOTCORR_SUM,1999,264.84,141.93,184.68,8.5,0.28,0.0,0.53,0.89,1.1,7.29,49.2,86.63,745.87
PRECTOTCORR_SUM,2000,129.83,194.33,167.03,12.16,2.85,0.19,0.06,0.2,0.0,12.09,210.64,362.5,1091.88
PRECTOTCORR_SUM,2001,348.28,258.47,209.62,11.57,0.09,0.16,0.03,0.04,0.07,26.23,111.71,210.63,1176.9
PRECTOTCORR_SUM,2002,285.36,189.2,66.96,76.1,0.5,0.28,0.0,0.11,1.3,26.19,87.48,213.4,946.88
PRECTOTCORR_SUM,2003,151.96,202.54,170.95,21.46,0.36,0.12,0.02,0.16,0.0,41.29,97.39,252.17,938.42
PRECTOTCORR_SUM,2004,213.71,230.58,102.08,32.83,0.21,0.0,0.01,0.0,0.03,32.03,117.81,292.88,1022.17
PRECTOTCORR_SUM,2005,196.95,66.81,66.91,4.92,0.2,0.14,1.64,0.09,7.42,0.23,58.39,182.3,586.0
PRECTOTCORR_SUM,2006,235.45,251.13,160.98,16.5,1.67,0.67,0.84,0.03,0.01,4.07,138.18,299.94,1109.47
PRECTOTCORR_SUM,2007,375.26,203.14,85.89,25.07,6.8,2.54,0.24,0.08,1.97,19.24,151.29,361.21,1232.73
PRECTOTCORR_SUM,2008,288.51,181.26,218.37,24.21,1.06,0.61,0.26,0.01,0.23,6.52,125.62,272.93,1119.59
PRECTOTCORR_SUM,2009,324.83,150.84,177.95,16.24,22.44,0.81,0.38,5.86,0.0,13.95,264.77,289.31,1267.38
