# Area: Argentina
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -38.42   Longitude -63.62 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 72.36 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,28.0,21.18,17.03,11.71,8.04,6.16,6.95,12.81,14.95,21.51,24.53,27.56,16.7
ALLSKY_SFC_SW_DWN,1985,26.54,26.26,21.02,13.24,9.58,6.78,6.51,13.36,15.88,19.48,26.63,27.56,17.69
ALLSKY_SFC_SW_DWN,1986,28.69,25.77,20.31,13.45,10.01,7.12,8.85,11.15,16.51,20.93,26.28,28.44,18.09
ALLSKY_SFC_SW_DWN,1987,28.69,23.82,18.43,14.26,9.56,7.48,7.92,11.43,17.04,21.02,25.24,27.03,17.63
ALLSKY_SFC_SW_DWN,1988,28.18,23.44,18.94,14.68,10.36,7.94,8.79,11.75,16.9,20.14,27.44,29.13,18.13
ALLSKY_SFC_SW_DWN,1989,28.03,23.94,19.65,14.8,9.66,6.91,7.92,10.73,17.34,22.15,26.07,28.55,17.95
ALLSKY_SFC_SW_DWN,1990,26.08,22.49,17.81,15.05,8.75,8.04,8.23,12.07,16.01,21.84,27.42,28.17,17.64
ALLSKY_SFC_SW_DWN,1991,26.5,25.16,18.61,13.75,8.47,6.58,8.39,10.83,15.25,20.87,25.47,27.04,17.2
ALLSKY_SFC_SW_DWN,1992,26.8,23.27,18.81,13.26,9.86,7.63,9.47,12.73,15.39,21.76,22.92,26.37,17.35
ALLSKY_SFC_SW_DWN,1993,25.81,24.6,17.05,12.52,8.81,6.65,8.55,12.0,16.38,19.03,25.0,29.9,17.15
ALLSKY_SFC_SW_DWN,1994,27.81,25.51,19.49,13.64,9.08,7.07,7.44,12.83,16.14,20.56,26.6,24.79,17.53
ALLSKY_SFC_SW_DWN,1995,28.41,25.58,19.67,13.63,9.96,6.89,8.37,11.7,17.61,22.2,25.35,30.38,18.28
ALLSKY_SFC_SW_DWN,1996,28.14,24.55,20.32,13.09,9.61,7.59,8.69,11.98,17.11,21.47,26.48,25.5,17.86
ALLSKY_SFC_SW_DWN,1997,28.09,25.11,17.72,13.21,9.18,5.74,7.29,10.68,15.52,19.63,25.97,26.45,17.0
ALLSKY_SFC_SW_DWN,1998,28.26,21.22,20.39,11.43,8.57,6.81,8.89,12.35,17.11,24.34,26.64,28.67,17.89
ALLSKY_SFC_SW_DWN,1999,28.63,25.38,16.95,12.31,8.53,6.3,7.9,11.47,14.92,20.9,24.57,27.81,17.1
ALLSKY_SFC_SW_DWN,2000,29.12,24.09,18.74,13.22,8.74,6.45,8.08,10.54,15.1,20.15,27.01,31.17,17.69
ALLSKY_SFC_SW_DWN,2001,27.85,25.14,18.1,12.32,7.77,6.42,6.92,9.63,13.46,17.95,27.37,29.98,16.86
ALLSKY_SFC_SW_DWN,2002,27.83,25.51,17.62,12.98,8.12,7.44,7.96,8.12,15.65,18.61,25.08,26.75,16.75
ALLSKY_SFC_SW_DWN,2003,29.41,25.42,18.95,12.02,9.17,6.43,8.53,11.61,14.43,21.63,25.8,28.73,17.65
ALLSKY_SFC_SW_DWN,2004,27.6,24.25,17.86,12.41,9.11,7.32,7.19,10.38,17.06,20.71,22.02,27.18,16.91
ALLSKY_SFC_SW_DWN,2005,29.46,23.35,18.98,15.4,8.66,5.28,7.52,9.42,15.92,22.36,25.32,26.64,17.33
ALLSKY_SFC_SW_DWN,2006,28.35,23.58,20.13,13.75,9.19,5.99,7.46,11.23,16.64,20.59,26.8,28.72,17.67
ALLSKY_SFC_SW_DWN,2007,28.35,23.34,17.97,13.87,9.57,8.07,8.63,11.7,14.44,20.35,26.63,30.83,17.79
ALLSKY_SFC_SW_DWN,2008,26.95,23.05,20.45,15.03,8.68,7.05,7.42,11.8,16.57,23.06,27.14,29.17,18.02
ALLSKY_SFC_SW_DWN,2009,28.96,25.53,19.03,14.89,8.92,8.24,8.66,10.84,15.15,21.78,25.77,26.98,17.85
ALLSKY_SFC_SW_DWN,2010,29.24,23.14,18.37,14.79,9.14,7.0,8.03,12.26,15.91,20.55,24.83,29.15,17.68
ALLSKY_SFC_SW_DWN,2011,27.03,24.93,20.08,14.22,9.29,7.3,8.54,10.24,15.75,20.35,25.61,30.73,17.8
ALLSKY_SFC_SW_DWN,2012,26.84,24.02,19.23,13.28,8.01,7.01,9.22,9.98,16.84,20.11,26.74,28.11,17.43
ALLSKY_SFC_SW_DWN,2013,27.75,24.2,18.55,12.9,9.39,8.34,8.01,11.96,13.54,20.08,26.11,29.89,17.53
ALLSKY_SFC_SW_DWN,2014,30.65,24.5,19.09,11.97,7.78,8.08,7.31,10.93,15.36,18.81,25.81,28.62,17.37
ALLSKY_SFC_SW_DWN,2015,28.01,24.31,20.02,12.38,8.63,7.77,8.08,10.79,15.34,18.14,26.14,27.49,17.22
ALLSKY_SFC_SW_DWN,2016,26.56,24.35,19.54,10.36,6.31,7.41,7.03,11.87,15.85,17.9,27.69,30.43,17.09
ALLSKY_SFC_SW_DWN,2017,29.09,23.67,18.82,12.41,8.24,7.11,8.13,10.77,15.93,21.44,26.25,28.8,17.53
ALLSKY_SFC_SW_DWN,2018,28.44,23.82,20.87,13.01,8.01,7.26,7.32,11.84,14.45,20.63,24.74,29.26,17.45
ALLSKY_SFC_SW_DWN,2019,28.26,26.11,19.45,14.33,8.09,6.22,8.53,11.74,17.86,21.01,25.46,28.33,17.9
ALLSKY_SFC_SW_DWN,2020,29.15,24.73,18.6,13.73,9.31,7.1,7.19,12.27,17.28,21.78,26.57,29.02,18.04
ALLSKY_SFC_SW_DWN,2021,27.31,24.68,18.84,13.67,9.1,6.75,9.24,12.27,15.37,22.61,26.18,27.71,17.78
ALLSKY_SFC_SW_DWN,2022,25.89,23.92,19.45,14.01,9.76,7.34,7.59,11.84,16.59,20.4,25.46,30.18,17.67
ALLSKY_SFC_SW_DWN,2023,27.25,25.58,17.88,13.21,9.53,6.63,7.22,11.52,14.74,20.38,27.15,26.77,17.27
