# Area: Congo
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -4.26   Longitude 15.28 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 437.98 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,17.65,19.63,19.01,18.3,15.35,15.6,16.42,16.7,14.84,17.41,15.82,17.72,17.03
ALLSKY_SFC_SW_DWN,1985,17.7,18.0,18.82,17.75,14.89,14.31,15.21,14.2,15.81,16.2,17.51,17.92,16.52
ALLSKY_SFC_SW_DWN,1986,18.6,17.64,19.92,16.89,15.93,14.21,15.94,16.9,16.22,16.36,17.08,17.31,16.92
ALLSKY_SFC_SW_DWN,1987,17.64,17.56,18.2,17.46,16.28,15.46,14.45,15.09,15.74,15.29,17.44,17.15,16.47
ALLSKY_SFC_SW_DWN,1988,17.55,19.06,19.2,17.39,17.2,13.85,15.1,16.16,14.96,15.56,15.88,16.35,16.52
ALLSKY_SFC_SW_DWN,1989,18.91,17.33,16.75,16.89,13.72,13.78,15.57,15.45,17.15,15.9,16.71,18.02,16.34
ALLSKY_SFC_SW_DWN,1990,17.18,17.53,18.5,18.71,13.56,14.44,15.47,16.47,15.3,16.29,17.58,17.2,16.51
ALLSKY_SFC_SW_DWN,1991,17.55,18.14,18.97,15.49,15.12,14.05,14.94,17.09,15.25,16.99,17.14,18.41,16.59
ALLSKY_SFC_SW_DWN,1992,17.28,18.11,18.73,16.68,14.66,13.97,15.98,17.64,19.7,15.35,16.9,17.64,16.88
ALLSKY_SFC_SW_DWN,1993,17.69,17.41,19.07,17.44,15.21,14.43,16.32,17.11,15.22,16.27,16.8,17.57,16.71
ALLSKY_SFC_SW_DWN,1994,19.54,19.72,19.14,18.79,15.13,14.84,16.15,17.4,17.65,15.73,17.24,16.66,17.31
ALLSKY_SFC_SW_DWN,1995,18.18,17.25,18.02,17.17,14.66,14.44,15.28,15.26,17.16,16.45,17.48,17.02,16.52
ALLSKY_SFC_SW_DWN,1996,16.68,17.26,17.06,17.78,14.39,14.53,15.84,18.59,17.28,16.77,15.56,16.05,16.48
ALLSKY_SFC_SW_DWN,1997,16.41,18.06,18.08,17.02,16.03,13.6,15.11,16.58,16.13,15.89,16.51,16.44,16.31
ALLSKY_SFC_SW_DWN,1998,16.73,17.96,18.77,18.05,18.93,16.23,15.03,15.54,14.86,15.3,16.7,16.06,16.67
ALLSKY_SFC_SW_DWN,1999,16.59,18.52,18.3,17.44,15.81,14.46,15.1,14.7,15.1,15.7,15.25,16.16,16.08
ALLSKY_SFC_SW_DWN,2000,17.56,18.39,19.1,17.82,15.07,13.38,16.61,14.53,15.11,13.97,15.93,16.64,16.17
ALLSKY_SFC_SW_DWN,2001,18.37,15.66,18.78,18.15,16.05,14.87,15.35,16.83,17.35,16.23,17.24,16.51,16.79
ALLSKY_SFC_SW_DWN,2002,17.71,17.67,18.0,17.48,16.89,14.61,13.96,14.08,16.11,14.36,17.28,16.86,16.24
ALLSKY_SFC_SW_DWN,2003,15.8,17.96,17.79,16.25,15.01,14.92,14.88,16.67,15.52,15.94,16.19,16.35,16.1
ALLSKY_SFC_SW_DWN,2004,17.59,18.15,17.57,16.35,15.24,13.8,14.73,16.01,16.41,16.7,16.0,15.57,16.17
ALLSKY_SFC_SW_DWN,2005,17.91,17.5,18.46,17.35,15.5,13.65,14.52,16.28,15.54,15.09,17.21,15.87,16.23
ALLSKY_SFC_SW_DWN,2006,16.82,17.88,19.39,18.49,16.21,16.0,15.14,15.08,14.55,15.42,16.36,15.29,16.37
ALLSKY_SFC_SW_DWN,2007,18.16,17.33,19.55,18.2,16.12,14.3,14.37,13.44,15.24,15.74,16.46,16.06,16.24
ALLSKY_SFC_SW_DWN,2008,16.25,17.52,18.98,16.98,16.16,14.02,15.42,13.99,15.81,16.0,17.32,16.03,16.2
ALLSKY_SFC_SW_DWN,2009,16.55,16.76,18.46,18.17,16.65,12.99,13.62,12.9,15.75,15.52,16.9,15.89,15.84
ALLSKY_SFC_SW_DWN,2010,17.5,17.79,18.3,18.57,17.06,14.62,15.01,15.18,16.21,16.48,16.73,16.24,16.63
ALLSKY_SFC_SW_DWN,2011,17.51,17.98,17.99,19.24,15.8,13.6,14.91,15.05,15.78,15.5,14.96,14.03,16.01
ALLSKY_SFC_SW_DWN,2012,16.41,15.87,18.81,17.76,14.0,14.14,14.68,14.6,14.82,15.11,15.5,15.72,15.62
ALLSKY_SFC_SW_DWN,2013,17.16,18.36,17.82,17.12,15.97,13.91,14.91,16.44,16.19,16.21,16.32,15.89,16.35
ALLSKY_SFC_SW_DWN,2014,16.74,18.11,17.38,17.31,15.75,13.8,14.19,15.08,15.58,14.8,16.33,16.09,15.91
ALLSKY_SFC_SW_DWN,2015,17.61,16.23,17.15,17.97,15.52,13.53,13.29,14.99,15.78,15.36,16.23,16.08,15.81
ALLSKY_SFC_SW_DWN,2016,16.66,16.89,17.14,15.99,16.23,15.01,15.03,14.88,16.74,16.31,17.49,17.26,16.3
ALLSKY_SFC_SW_DWN,2017,17.78,16.54,18.16,18.53,15.71,13.4,14.16,14.27,15.43,14.8,16.79,16.06,15.96
ALLSKY_SFC_SW_DWN,2018,17.87,16.34,19.88,18.18,16.48,15.23,14.86,16.0,16.46,15.76,16.97,17.15,16.77
ALLSKY_SFC_SW_DWN,2019,17.15,16.72,19.74,18.32,15.39,16.1,14.4,14.77,15.12,16.25,16.56,16.87,16.45
ALLSKY_SFC_SW_DWN,2020,17.29,17.38,18.8,17.78,15.31,13.83,14.74,13.58,13.97,15.94,16.56,16.22,15.95
ALLSKY_SFC_SW_DWN,2021,16.58,17.78,16.51,18.09,16.9,14.31,15.09,14.38,15.07,14.93,16.74,16.35,16.05
ALLSKY_SFC_SW_DWN,2022,17.15,18.66,18.22,15.53,15.42,16.1,14.12,15.74,13.88,16.1,15.44,16.71,16.08
ALLSKY_SFC_SW_DWN,2023,16.57,18.42,17.81,17.42,15.77,12.18,15.37,14.41,15.77,15.88,14.78,16.11,15.86
