# Area: Cyprus
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  35.13   Longitude 33.43 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 297.65 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,7.61,12.39,15.1,19.33,22.88,25.87,24.81,23.13,19.73,15.03,8.95,8.63,16.96
ALLSKY_SFC_SW_DWN,1985,7.76,10.3,16.44,20.8,22.7,26.91,25.88,22.93,20.36,14.71,10.06,8.57,17.32
ALLSKY_SFC_SW_DWN,1986,9.02,12.05,16.77,20.9,23.13,25.38,25.0,23.22,19.52,14.21,11.21,8.74,17.45
ALLSKY_SFC_SW_DWN,1987,7.77,12.04,14.31,20.73,22.67,26.09,25.64,23.53,19.95,14.47,10.02,7.43,17.07
ALLSKY_SFC_SW_DWN,1988,8.47,10.51,15.62,19.19,24.47,26.17,25.95,23.37,19.95,14.09,9.45,8.15,17.14
ALLSKY_SFC_SW_DWN,1989,10.2,13.24,16.66,22.13,25.32,26.22,25.78,23.1,20.09,13.74,10.22,8.22,17.93
ALLSKY_SFC_SW_DWN,1990,10.08,11.9,18.19,21.64,25.5,26.91,25.56,23.82,20.2,14.81,11.11,8.25,18.2
ALLSKY_SFC_SW_DWN,1991,8.81,10.98,15.58,19.8,23.37,26.64,25.45,23.07,20.27,13.82,10.42,6.94,17.12
ALLSKY_SFC_SW_DWN,1992,9.42,10.75,16.18,21.4,23.03,24.44,25.63,23.64,20.15,15.03,9.88,7.62,17.28
ALLSKY_SFC_SW_DWN,1993,9.19,10.94,17.2,19.92,21.84,26.95,26.03,23.68,20.18,15.39,10.46,8.76,17.58
ALLSKY_SFC_SW_DWN,1994,8.79,12.22,16.51,20.62,25.35,27.03,25.85,23.95,19.69,13.68,9.13,8.31,17.62
ALLSKY_SFC_SW_DWN,1995,8.71,12.77,16.52,20.05,24.68,26.55,26.34,23.92,20.43,15.5,10.42,8.58,17.9
ALLSKY_SFC_SW_DWN,1996,8.03,11.63,14.24,20.32,25.23,27.72,25.79,23.51,19.81,14.44,11.55,7.73,17.51
ALLSKY_SFC_SW_DWN,1997,9.92,12.74,16.7,18.91,24.78,26.85,26.44,23.98,20.03,13.47,10.83,7.16,17.68
ALLSKY_SFC_SW_DWN,1998,8.51,12.72,16.21,20.79,24.31,27.47,26.57,24.71,20.69,15.88,10.01,6.97,17.93
ALLSKY_SFC_SW_DWN,1999,9.53,13.34,17.36,21.18,26.32,27.48,26.61,23.07,20.73,15.37,10.89,9.11,18.44
ALLSKY_SFC_SW_DWN,2000,8.92,11.67,17.53,18.73,25.27,28.9,27.1,24.35,19.97,14.56,11.11,8.87,18.1
ALLSKY_SFC_SW_DWN,2001,9.23,12.38,17.57,20.76,25.33,28.91,26.79,24.4,21.06,15.61,9.0,6.26,18.14
ALLSKY_SFC_SW_DWN,2002,9.1,13.49,15.81,20.53,26.16,28.31,26.59,24.4,20.15,14.54,11.12,6.87,18.11
ALLSKY_SFC_SW_DWN,2003,8.67,10.12,14.88,19.87,26.05,27.53,27.05,24.46,20.68,14.9,10.92,7.44,17.75
ALLSKY_SFC_SW_DWN,2004,7.03,10.97,17.61,22.54,25.78,27.93,27.53,24.37,21.06,15.11,9.93,7.9,18.16
ALLSKY_SFC_SW_DWN,2005,8.39,12.29,17.75,20.96,25.75,28.22,27.0,24.4,20.51,15.55,10.27,8.18,18.3
ALLSKY_SFC_SW_DWN,2006,8.32,10.85,15.65,20.48,26.3,28.18,26.47,23.89,20.2,13.9,11.19,9.3,17.93
ALLSKY_SFC_SW_DWN,2007,9.91,11.47,17.08,21.42,22.17,28.11,26.88,23.99,21.36,15.34,10.34,8.35,18.06
ALLSKY_SFC_SW_DWN,2008,9.83,12.86,17.41,21.38,25.71,27.57,26.93,23.15,19.19,14.83,10.79,8.27,18.17
ALLSKY_SFC_SW_DWN,2009,8.28,10.48,16.88,22.17,25.57,28.11,26.59,24.2,19.38,14.78,10.48,6.95,17.86
ALLSKY_SFC_SW_DWN,2010,7.4,10.53,17.26,22.21,24.91,27.07,26.74,23.53,20.9,13.98,11.82,8.04,17.9
ALLSKY_SFC_SW_DWN,2011,8.57,12.03,17.92,19.66,23.77,28.33,27.06,24.49,20.22,15.4,10.66,8.59,18.09
ALLSKY_SFC_SW_DWN,2012,8.02,12.17,18.01,21.2,23.52,27.86,26.6,24.53,21.02,14.06,10.55,7.74,17.95
ALLSKY_SFC_SW_DWN,2013,8.67,12.48,17.22,22.38,23.75,27.92,27.51,24.32,20.7,16.71,10.48,8.05,18.38
ALLSKY_SFC_SW_DWN,2014,9.25,13.83,17.54,21.88,23.33,27.35,27.02,24.09,20.33,14.44,10.45,7.78,18.12
ALLSKY_SFC_SW_DWN,2015,8.59,11.21,17.09,22.12,24.93,27.67,26.87,24.32,19.35,14.25,11.26,8.84,18.08
ALLSKY_SFC_SW_DWN,2016,8.89,13.14,17.89,22.6,24.28,27.51,27.0,23.92,20.79,16.06,11.2,7.22,18.38
ALLSKY_SFC_SW_DWN,2017,9.22,12.96,16.44,22.03,24.38,27.85,27.98,23.99,20.72,15.29,10.45,8.13,18.31
ALLSKY_SFC_SW_DWN,2018,9.03,11.77,17.46,22.27,24.79,26.83,27.12,24.27,20.23,14.35,9.93,7.64,18.0
ALLSKY_SFC_SW_DWN,2019,7.91,11.47,16.37,20.99,25.64,26.29,27.39,24.12,20.34,13.98,10.65,7.81,17.78
ALLSKY_SFC_SW_DWN,2020,8.15,10.74,16.67,21.87,26.06,28.35,27.78,24.57,20.28,15.53,9.22,7.87,18.11
ALLSKY_SFC_SW_DWN,2021,9.06,13.93,16.73,22.04,26.5,27.6,26.84,24.36,20.55,15.84,10.55,7.08,18.44
ALLSKY_SFC_SW_DWN,2022,8.33,12.14,15.69,22.74,24.81,27.78,27.99,23.98,20.91,14.55,10.29,8.42,18.16
ALLSKY_SFC_SW_DWN,2023,9.23,13.3,16.7,21.23,24.11,26.74,27.42,23.94,20.79,14.75,10.34,8.51,18.11
