# Area: Guatemala
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  15.78   Longitude -90.23 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 265.89 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,14.72,15.1,19.33,21.36,17.21,17.39,18.2,17.45,15.92,15.64,14.25,12.93,16.63
ALLSKY_SFC_SW_DWN,1985,15.44,16.2,18.25,19.58,19.93,18.82,19.94,19.61,17.75,16.12,14.18,12.93,17.4
ALLSKY_SFC_SW_DWN,1986,13.08,18.03,18.06,22.65,18.72,18.15,17.88,17.26,15.88,15.04,14.38,13.09,16.83
ALLSKY_SFC_SW_DWN,1987,15.86,16.97,18.83,18.56,19.35,18.64,17.12,18.21,18.7,14.02,14.99,13.23,17.03
ALLSKY_SFC_SW_DWN,1988,11.88,16.24,17.46,19.83,19.22,17.59,18.8,17.71,16.52,12.55,15.19,12.75,16.3
ALLSKY_SFC_SW_DWN,1989,14.31,14.71,19.46,19.51,19.19,18.86,19.5,19.85,15.47,15.75,14.16,13.9,17.08
ALLSKY_SFC_SW_DWN,1990,14.02,16.98,17.41,19.61,20.03,17.77,19.32,18.6,17.73,16.39,12.64,13.19,16.98
ALLSKY_SFC_SW_DWN,1991,14.94,16.72,22.47,21.4,19.53,19.82,19.83,19.51,17.28,15.76,14.05,13.04,17.87
ALLSKY_SFC_SW_DWN,1992,14.24,16.89,18.66,18.87,17.32,17.94,18.25,19.55,16.9,14.57,13.57,11.67,16.53
ALLSKY_SFC_SW_DWN,1993,14.57,17.15,18.5,19.33,19.79,18.16,19.5,17.63,17.03,14.76,14.12,13.1,16.97
ALLSKY_SFC_SW_DWN,1994,14.08,16.88,19.86,20.81,20.06,19.69,20.18,19.54,17.76,16.94,13.83,12.73,17.7
ALLSKY_SFC_SW_DWN,1995,15.76,17.88,19.64,18.77,22.16,18.47,17.77,18.52,17.21,14.51,14.91,13.06,17.39
ALLSKY_SFC_SW_DWN,1996,15.7,17.59,19.02,18.61,17.91,18.78,17.76,18.94,19.48,15.74,13.07,14.31,17.24
ALLSKY_SFC_SW_DWN,1997,15.56,16.96,19.22,20.19,19.62,18.61,17.77,18.33,17.61,15.42,13.42,13.65,17.2
ALLSKY_SFC_SW_DWN,1998,14.21,20.72,18.28,19.83,20.28,19.95,18.93,20.37,18.94,14.54,13.38,13.26,17.7
ALLSKY_SFC_SW_DWN,1999,14.18,17.85,20.75,22.05,22.02,18.09,17.99,19.88,16.65,15.07,12.12,13.69,17.53
ALLSKY_SFC_SW_DWN,2000,15.77,17.24,22.09,21.58,17.31,16.4,19.23,17.72,17.42,13.53,15.0,12.12,17.11
ALLSKY_SFC_SW_DWN,2001,14.93,15.05,20.98,21.28,18.18,19.83,19.72,18.71,17.43,15.02,14.41,12.56,17.35
ALLSKY_SFC_SW_DWN,2002,15.05,15.43,20.18,23.0,18.24,19.19,17.64,19.23,18.6,16.12,14.26,13.51,17.54
ALLSKY_SFC_SW_DWN,2003,11.26,17.83,19.97,21.61,19.48,19.68,17.76,18.79,20.79,14.82,13.35,13.16,17.36
ALLSKY_SFC_SW_DWN,2004,13.24,16.36,17.03,19.87,16.83,17.54,19.25,20.45,19.67,17.61,15.04,13.17,17.17
ALLSKY_SFC_SW_DWN,2005,14.22,18.22,18.36,18.47,17.87,19.56,18.25,19.31,17.51,15.05,13.33,14.48,17.04
ALLSKY_SFC_SW_DWN,2006,14.25,16.47,20.0,20.56,17.99,16.04,17.75,18.69,18.24,16.45,13.55,11.7,16.81
ALLSKY_SFC_SW_DWN,2007,13.23,17.79,18.15,19.98,18.92,19.05,19.54,18.46,17.45,14.52,12.44,15.79,17.1
ALLSKY_SFC_SW_DWN,2008,14.04,17.07,18.95,21.02,19.68,15.55,18.11,20.7,17.65,12.07,14.69,13.61,16.92
ALLSKY_SFC_SW_DWN,2009,14.32,15.91,19.68,19.88,18.65,19.42,18.19,17.36,19.61,18.02,13.89,13.75,17.39
ALLSKY_SFC_SW_DWN,2010,13.17,14.89,17.86,19.4,18.51,18.29,18.24,17.21,17.45,14.91,14.76,14.67,16.62
ALLSKY_SFC_SW_DWN,2011,15.07,17.01,20.0,20.98,20.33,18.49,17.68,19.75,17.54,13.92,15.11,13.07,17.41
ALLSKY_SFC_SW_DWN,2012,13.52,14.66,19.28,21.8,18.76,18.61,17.94,19.3,18.54,15.84,13.15,15.65,17.26
ALLSKY_SFC_SW_DWN,2013,13.06,17.18,18.04,20.1,18.55,17.55,18.04,18.82,16.77,15.98,12.81,12.81,16.64
ALLSKY_SFC_SW_DWN,2014,13.81,16.78,20.93,20.82,15.52,16.8,19.21,20.86,16.71,15.89,12.5,13.01,16.91
ALLSKY_SFC_SW_DWN,2015,11.86,14.87,17.95,20.67,20.16,17.17,18.8,20.42,17.26,15.81,12.71,14.11,16.83
ALLSKY_SFC_SW_DWN,2016,13.85,14.13,18.96,19.14,20.82,18.11,18.91,19.99,18.7,16.2,12.41,14.06,17.12
ALLSKY_SFC_SW_DWN,2017,16.57,17.77,17.9,21.69,19.65,17.41,17.85,20.38,18.08,14.29,13.5,12.38,17.28
ALLSKY_SFC_SW_DWN,2018,11.65,17.63,21.7,20.31,19.98,17.48,20.75,18.54,18.55,15.5,14.98,15.82,17.74
ALLSKY_SFC_SW_DWN,2019,14.32,18.52,19.96,20.96,19.89,20.22,21.18,21.69,19.54,16.65,14.62,14.47,18.5
ALLSKY_SFC_SW_DWN,2020,14.24,16.87,20.58,20.92,19.06,18.53,19.57,19.49,19.87,15.41,12.04,13.48,17.51
ALLSKY_SFC_SW_DWN,2021,13.88,17.7,20.44,19.52,19.27,20.1,19.8,19.63,19.59,18.31,12.66,14.62,17.96
ALLSKY_SFC_SW_DWN,2022,13.84,15.11,18.81,20.79,19.46,17.14,18.7,18.49,16.68,14.78,14.9,13.65,16.87
ALLSKY_SFC_SW_DWN,2023,16.34,17.18,20.61,22.35,21.01,21.26,18.05,18.97,19.23,15.06,11.74,12.74,17.88
