# Area: Libya
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  26.3351   Longitude 17.2283 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 574.13 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,15.69,18.73,20.76,24.73,24.62,27.37,27.33,26.1,22.72,19.15,16.23,14.59,21.5
ALLSKY_SFC_SW_DWN,1985,14.62,18.88,19.1,25.68,24.33,27.69,27.95,26.84,23.6,19.59,16.05,13.96,21.53
ALLSKY_SFC_SW_DWN,1986,15.67,18.13,20.67,24.36,26.8,27.82,27.86,25.98,23.09,18.74,14.97,14.48,21.56
ALLSKY_SFC_SW_DWN,1987,15.53,17.64,21.3,25.08,24.79,27.51,27.91,26.0,22.85,19.25,15.52,14.22,21.48
ALLSKY_SFC_SW_DWN,1988,14.14,17.97,21.26,24.52,27.54,26.91,27.59,25.71,23.27,19.27,15.99,13.93,21.52
ALLSKY_SFC_SW_DWN,1989,15.78,18.33,21.84,26.27,26.71,25.84,27.68,26.33,23.52,19.56,16.18,14.59,21.9
ALLSKY_SFC_SW_DWN,1990,14.55,18.06,21.98,22.98,26.36,28.16,27.68,26.38,23.54,20.01,15.93,14.08,21.66
ALLSKY_SFC_SW_DWN,1991,15.44,17.4,21.15,23.63,19.9,27.25,27.25,26.56,24.14,19.98,16.26,14.83,21.16
ALLSKY_SFC_SW_DWN,1992,14.57,18.96,21.21,24.61,24.82,27.03,27.5,26.9,23.72,20.05,16.29,14.75,21.7
ALLSKY_SFC_SW_DWN,1993,14.25,18.71,22.18,25.39,25.67,28.57,27.82,26.82,23.89,19.88,15.14,13.51,21.83
ALLSKY_SFC_SW_DWN,1994,15.0,19.47,22.03,24.61,26.1,28.54,27.72,26.36,23.7,18.9,16.34,14.17,21.92
ALLSKY_SFC_SW_DWN,1995,16.33,18.84,21.39,23.26,25.76,26.88,27.38,26.29,23.49,20.34,17.09,13.79,21.75
ALLSKY_SFC_SW_DWN,1996,15.86,18.67,21.42,25.55,26.48,27.52,27.5,27.08,23.82,20.39,16.5,14.48,22.11
ALLSKY_SFC_SW_DWN,1997,14.51,19.29,22.21,25.19,25.84,27.17,27.87,26.5,23.66,18.88,16.94,14.77,21.91
ALLSKY_SFC_SW_DWN,1998,15.82,19.07,23.42,25.17,26.22,28.69,28.63,27.08,24.14,20.82,16.07,13.1,22.37
ALLSKY_SFC_SW_DWN,1999,15.3,17.93,23.09,25.76,28.29,28.45,28.18,25.84,23.71,20.23,16.29,14.83,22.35
ALLSKY_SFC_SW_DWN,2000,14.54,18.58,23.51,25.61,27.07,28.82,28.0,26.7,24.21,19.61,16.17,14.72,22.3
ALLSKY_SFC_SW_DWN,2001,16.9,19.85,24.78,24.74,27.87,29.33,29.02,26.56,24.32,19.92,16.9,15.06,22.95
ALLSKY_SFC_SW_DWN,2002,14.97,20.15,23.25,24.08,27.39,29.43,28.47,27.07,23.7,19.13,16.81,15.19,22.48
ALLSKY_SFC_SW_DWN,2003,15.72,19.01,23.27,25.44,28.3,28.08,28.66,26.9,24.16,20.36,16.46,14.92,22.63
ALLSKY_SFC_SW_DWN,2004,15.93,19.71,22.72,25.46,24.02,28.58,28.54,27.06,24.0,20.39,16.22,13.85,22.2
ALLSKY_SFC_SW_DWN,2005,14.78,16.5,21.48,25.48,27.91,25.77,28.43,26.87,23.75,19.66,15.96,13.94,21.74
ALLSKY_SFC_SW_DWN,2006,14.76,16.49,23.68,25.78,26.88,27.8,27.85,26.56,23.72,19.84,16.22,14.57,22.04
ALLSKY_SFC_SW_DWN,2007,15.46,18.58,21.81,23.56,26.4,28.15,28.49,27.11,24.14,20.04,16.24,14.36,22.05
ALLSKY_SFC_SW_DWN,2008,13.3,18.9,23.57,26.6,24.86,27.94,28.37,26.83,24.11,19.63,15.78,13.57,21.95
ALLSKY_SFC_SW_DWN,2009,13.72,18.55,22.71,24.62,27.71,28.35,28.58,26.73,23.29,18.84,16.24,15.11,22.05
ALLSKY_SFC_SW_DWN,2010,16.06,19.42,22.9,24.02,26.52,28.36,28.59,26.76,23.71,18.48,16.86,14.78,22.22
ALLSKY_SFC_SW_DWN,2011,15.56,18.17,21.33,25.52,25.54,28.04,28.12,26.9,24.39,19.25,16.73,15.04,22.06
ALLSKY_SFC_SW_DWN,2012,14.87,16.38,23.13,23.75,26.53,28.92,28.82,26.87,24.43,20.5,16.08,14.41,22.08
ALLSKY_SFC_SW_DWN,2013,15.71,19.3,22.84,24.31,26.34,28.45,28.47,26.58,23.76,20.68,15.63,14.06,22.19
ALLSKY_SFC_SW_DWN,2014,15.44,19.15,22.55,26.26,27.27,28.53,29.03,27.28,24.06,20.33,16.17,13.89,22.51
ALLSKY_SFC_SW_DWN,2015,16.41,17.86,21.63,27.03,27.8,27.89,28.27,25.96,22.09,19.69,15.68,13.67,22.02
ALLSKY_SFC_SW_DWN,2016,16.14,19.0,22.54,25.61,25.69,28.98,28.76,26.94,24.29,20.59,15.42,14.08,22.34
ALLSKY_SFC_SW_DWN,2017,15.54,19.79,23.36,25.45,27.22,27.99,28.87,27.05,24.75,20.2,16.39,13.57,22.53
ALLSKY_SFC_SW_DWN,2018,16.64,16.44,24.06,24.22,25.48,27.28,28.93,25.51,23.08,17.62,16.47,14.45,21.71
ALLSKY_SFC_SW_DWN,2019,16.5,19.41,22.2,24.45,25.5,27.39,29.09,26.99,23.84,19.21,15.94,14.82,22.13
ALLSKY_SFC_SW_DWN,2020,15.44,19.84,21.64,25.87,27.77,28.83,28.67,27.2,24.29,20.42,15.96,14.6,22.55
ALLSKY_SFC_SW_DWN,2021,16.16,19.83,22.38,26.31,28.64,29.03,28.61,27.01,24.19,19.62,15.64,14.91,22.7
ALLSKY_SFC_SW_DWN,2022,15.63,19.74,21.79,24.97,26.62,29.28,28.73,26.73,24.33,19.92,16.03,14.6,22.37
ALLSKY_SFC_SW_DWN,2023,15.8,17.83,23.68,25.84,25.8,28.3,28.95,27.19,24.58,19.66,17.26,14.89,22.5
