# Area: Lithuania
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  55.17   Longitude 23.82 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 69.06 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,1.68,4.98,10.43,14.11,19.12,18.38,16.77,15.41,8.33,4.25,2.09,1.13,9.74
ALLSKY_SFC_SW_DWN,1985,1.79,4.91,9.33,13.51,18.19,17.64,17.63,14.39,9.33,4.58,2.26,1.13,9.58
ALLSKY_SFC_SW_DWN,1986,1.64,5.16,9.4,11.46,17.75,19.89,16.97,14.83,9.46,4.68,1.98,1.15,9.55
ALLSKY_SFC_SW_DWN,1987,1.65,4.44,10.66,12.96,15.55,18.28,19.42,14.03,11.15,6.0,2.5,1.18,9.85
ALLSKY_SFC_SW_DWN,1988,1.64,4.21,10.08,13.78,20.14,21.62,18.87,15.25,10.26,5.16,2.44,1.22,10.4
ALLSKY_SFC_SW_DWN,1989,1.56,3.71,6.89,12.22,20.68,20.4,20.89,14.84,10.93,4.82,2.04,1.25,10.06
ALLSKY_SFC_SW_DWN,1990,1.86,3.58,7.87,16.13,19.63,20.79,17.28,15.85,8.59,4.99,2.03,1.33,10.03
ALLSKY_SFC_SW_DWN,1991,1.72,4.97,7.51,12.66,17.45,18.18,20.76,15.8,10.36,5.35,2.28,1.12,9.87
ALLSKY_SFC_SW_DWN,1992,1.66,3.58,6.7,10.23,21.25,25.22,21.32,15.96,9.45,5.08,2.33,1.16,10.35
ALLSKY_SFC_SW_DWN,1993,1.67,3.94,7.89,14.65,21.57,21.55,17.8,16.09,9.52,4.68,2.43,1.06,10.27
ALLSKY_SFC_SW_DWN,1994,1.72,5.02,8.61,11.36,19.03,21.75,24.51,15.63,9.08,4.59,2.07,1.15,10.41
ALLSKY_SFC_SW_DWN,1995,1.97,3.32,6.39,14.57,17.51,19.67,20.97,17.31,9.64,5.58,2.17,1.32,10.07
ALLSKY_SFC_SW_DWN,1996,2.26,5.04,11.72,16.36,17.09,20.3,18.15,18.52,10.7,5.25,2.12,1.4,10.76
ALLSKY_SFC_SW_DWN,1997,1.93,3.7,8.72,13.42,18.3,19.92,20.47,19.22,10.85,4.6,1.61,1.31,10.38
ALLSKY_SFC_SW_DWN,1998,1.49,3.31,9.35,12.46,21.55,18.7,17.42,14.73,11.26,5.02,2.66,1.33,9.98
ALLSKY_SFC_SW_DWN,1999,1.47,4.15,10.2,10.93,21.17,21.53,21.35,16.43,12.47,4.51,2.02,1.17,10.66
ALLSKY_SFC_SW_DWN,2000,1.64,3.82,7.67,15.58,21.28,19.27,17.06,14.53,12.28,5.26,1.27,1.0,10.07
ALLSKY_SFC_SW_DWN,2001,1.61,4.94,9.1,10.39,21.71,17.66,19.66,15.36,8.21,4.98,2.43,1.41,9.83
ALLSKY_SFC_SW_DWN,2002,1.39,3.51,8.77,14.3,21.63,20.92,20.01,19.02,11.1,4.05,2.1,1.5,10.74
ALLSKY_SFC_SW_DWN,2003,1.76,4.59,10.32,13.93,17.83,21.59,20.63,16.63,11.85,4.96,1.82,1.23,10.62
ALLSKY_SFC_SW_DWN,2004,2.0,4.24,8.33,17.07,18.29,19.0,17.9,15.77,10.01,5.22,2.38,1.1,10.12
ALLSKY_SFC_SW_DWN,2005,1.84,5.4,10.5,14.02,19.78,22.1,21.02,15.42,11.79,6.74,1.98,1.23,11.01
ALLSKY_SFC_SW_DWN,2006,2.12,4.8,10.74,13.8,19.11,22.67,22.99,13.47,12.63,5.27,1.99,1.22,10.93
ALLSKY_SFC_SW_DWN,2007,1.79,5.08,8.49,16.75,18.7,21.14,17.71,16.02,11.22,5.01,2.0,1.09,10.44
ALLSKY_SFC_SW_DWN,2008,1.74,3.67,7.94,13.37,20.79,22.51,20.62,13.75,9.81,5.23,2.44,1.15,10.27
ALLSKY_SFC_SW_DWN,2009,1.84,4.37,7.28,18.04,20.55,18.17,19.19,17.57,11.71,4.56,1.93,1.1,10.56
ALLSKY_SFC_SW_DWN,2010,2.38,3.95,9.5,13.98,17.3,19.74,20.75,15.76,10.19,6.78,1.86,1.2,10.32
ALLSKY_SFC_SW_DWN,2011,1.76,6.27,10.35,15.02,18.82,21.97,17.44,15.15,11.08,6.13,2.2,1.13,10.62
ALLSKY_SFC_SW_DWN,2012,1.84,5.16,8.74,14.67,21.16,19.83,18.98,14.78,9.91,5.18,1.85,1.26,10.29
ALLSKY_SFC_SW_DWN,2013,1.73,4.35,11.96,14.1,19.96,21.68,18.86,16.93,10.16,4.79,2.29,1.27,10.71
ALLSKY_SFC_SW_DWN,2014,2.44,3.74,8.97,17.06,18.79,19.61,22.01,14.62,12.46,5.69,1.97,1.35,10.76
ALLSKY_SFC_SW_DWN,2015,1.45,3.88,8.88,14.33,17.73,21.83,19.64,19.74,10.41,6.79,2.19,1.46,10.73
ALLSKY_SFC_SW_DWN,2016,2.14,3.87,8.29,12.87,21.37,21.95,17.41,14.02,11.93,4.26,2.17,1.24,10.14
ALLSKY_SFC_SW_DWN,2017,1.72,3.9,8.39,13.07,22.58,20.8,18.85,15.99,9.14,4.77,2.06,1.15,10.24
ALLSKY_SFC_SW_DWN,2018,1.51,4.43,9.66,15.29,24.15,23.21,19.32,16.17,11.8,6.76,1.95,1.05,11.31
ALLSKY_SFC_SW_DWN,2019,1.95,4.32,8.25,18.46,18.03,24.63,19.9,16.26,10.91,5.09,1.72,1.2,10.91
ALLSKY_SFC_SW_DWN,2020,1.69,4.11,9.97,15.7,20.43,21.1,19.47,16.87,11.75,4.8,1.98,1.27,10.78
ALLSKY_SFC_SW_DWN,2021,1.76,5.88,8.18,13.57,18.39,24.37,21.18,13.27,11.11,6.51,2.21,1.29,10.66
ALLSKY_SFC_SW_DWN,2022,1.78,4.29,12.35,15.17,18.27,20.82,19.35,17.63,11.39,5.97,1.89,1.2,10.88
ALLSKY_SFC_SW_DWN,2023,1.54,4.06,7.87,13.95,22.82,22.9,19.26,14.7,12.9,5.17,2.2,1.16,10.74
