# Area: Malawi
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -13.25   Longitude 34.3 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 492.2 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,19.66,16.64,20.32,19.43,17.91,16.26,16.04,18.69,23.93,25.52,22.98,19.3,19.73
ALLSKY_SFC_SW_DWN,1985,19.82,18.56,19.09,20.09,17.68,16.29,17.36,18.91,23.21,24.26,20.57,19.59,19.62
ALLSKY_SFC_SW_DWN,1986,17.43,19.81,19.57,18.83,18.43,16.69,17.07,21.44,23.67,24.25,23.73,19.31,20.01
ALLSKY_SFC_SW_DWN,1987,18.49,21.02,20.77,20.28,17.99,17.13,18.47,19.17,22.95,24.26,25.56,21.82,20.65
ALLSKY_SFC_SW_DWN,1988,17.34,21.01,18.95,19.39,17.61,17.71,17.69,20.22,24.03,23.08,24.15,20.3,20.11
ALLSKY_SFC_SW_DWN,1989,16.79,15.83,17.78,19.16,16.95,17.82,17.53,19.56,22.77,24.24,22.29,19.49,19.2
ALLSKY_SFC_SW_DWN,1990,19.33,20.11,22.33,21.27,18.59,18.04,18.1,20.18,22.73,26.09,25.65,22.53,21.25
ALLSKY_SFC_SW_DWN,1991,18.95,18.92,19.06,20.27,18.2,17.95,16.94,17.73,22.98,24.37,23.89,21.96,20.1
ALLSKY_SFC_SW_DWN,1992,20.33,23.12,20.47,21.03,17.52,17.96,16.37,19.43,23.97,25.43,23.75,21.83,20.91
ALLSKY_SFC_SW_DWN,1993,19.08,18.49,19.28,19.34,18.97,17.38,16.42,19.73,22.57,25.87,23.3,23.36,20.32
ALLSKY_SFC_SW_DWN,1994,19.98,20.79,22.8,21.4,19.92,16.91,16.97,18.21,21.92,23.58,26.14,23.2,20.98
ALLSKY_SFC_SW_DWN,1995,18.88,19.53,21.55,20.69,18.63,18.65,17.9,19.57,23.01,25.59,25.71,19.65,20.78
ALLSKY_SFC_SW_DWN,1996,19.1,18.87,18.87,21.0,16.49,17.18,18.04,20.76,23.45,25.29,27.06,19.24,20.44
ALLSKY_SFC_SW_DWN,1997,17.69,16.37,21.79,19.02,20.01,17.22,17.48,21.23,21.75,23.22,22.73,16.93,19.64
ALLSKY_SFC_SW_DWN,1998,19.56,21.62,21.53,20.86,21.04,17.45,19.1,19.3,22.51,23.2,24.94,24.18,21.27
ALLSKY_SFC_SW_DWN,1999,19.09,18.38,18.35,19.38,19.7,18.9,17.48,18.32,22.99,25.03,24.12,23.96,20.48
ALLSKY_SFC_SW_DWN,2000,18.17,19.34,19.07,20.74,19.51,17.15,18.4,20.41,22.46,23.85,17.8,19.77,19.73
ALLSKY_SFC_SW_DWN,2001,19.73,18.28,18.15,20.99,19.83,17.5,17.21,21.19,24.03,24.56,25.8,21.84,20.76
ALLSKY_SFC_SW_DWN,2002,20.75,18.82,20.27,20.15,20.21,16.88,19.03,18.98,21.35,24.66,24.73,20.54,20.54
ALLSKY_SFC_SW_DWN,2003,19.07,19.12,19.05,22.14,19.95,18.44,18.45,20.89,22.95,25.39,24.69,21.23,20.95
ALLSKY_SFC_SW_DWN,2004,19.08,20.31,21.45,19.62,19.61,17.39,18.6,19.9,22.64,23.65,21.54,16.22,20.0
ALLSKY_SFC_SW_DWN,2005,19.55,23.43,24.31,22.33,20.33,17.16,18.64,20.37,22.39,24.32,25.4,22.36,21.7
ALLSKY_SFC_SW_DWN,2006,18.99,20.29,17.86,20.66,19.12,18.44,17.89,20.79,23.19,24.64,23.24,20.8,20.49
ALLSKY_SFC_SW_DWN,2007,16.02,19.02,21.29,21.12,19.79,18.17,17.22,20.22,23.14,24.19,24.56,18.15,20.23
ALLSKY_SFC_SW_DWN,2008,16.05,22.15,22.35,22.05,19.83,17.78,18.19,20.61,23.74,25.38,24.87,19.2,21.0
ALLSKY_SFC_SW_DWN,2009,19.26,19.93,17.93,21.55,19.52,18.36,17.41,20.62,22.81,23.89,23.53,22.18,20.58
ALLSKY_SFC_SW_DWN,2010,20.93,16.46,19.61,20.07,19.97,17.12,16.69,19.84,24.33,26.11,25.17,20.02,20.55
ALLSKY_SFC_SW_DWN,2011,19.62,20.74,19.8,20.87,19.11,18.34,18.68,21.59,23.45,23.6,23.65,23.0,21.03
ALLSKY_SFC_SW_DWN,2012,16.77,22.27,18.7,21.19,19.95,17.73,18.94,19.84,22.69,25.7,24.17,20.86,20.72
ALLSKY_SFC_SW_DWN,2013,18.23,19.43,21.89,21.92,19.85,18.41,18.81,20.57,23.55,23.99,24.59,22.36,21.14
ALLSKY_SFC_SW_DWN,2014,16.75,18.05,21.84,20.0,19.97,18.17,17.92,19.62,23.32,24.72,25.13,22.81,20.7
ALLSKY_SFC_SW_DWN,2015,17.71,19.29,21.55,21.28,19.8,18.56,18.37,21.5,23.39,24.54,25.28,21.98,21.11
ALLSKY_SFC_SW_DWN,2016,22.43,21.36,21.33,19.63,19.89,18.58,17.3,20.45,22.95,25.4,25.24,21.68,21.35
ALLSKY_SFC_SW_DWN,2017,17.37,20.77,20.58,19.5,18.39,17.56,19.31,20.56,23.76,25.35,22.78,21.3,20.6
ALLSKY_SFC_SW_DWN,2018,22.39,20.37,20.94,19.22,18.42,18.14,18.37,21.2,23.63,25.15,22.96,19.06,20.82
ALLSKY_SFC_SW_DWN,2019,18.77,19.97,21.27,20.05,19.57,17.81,19.31,21.37,22.8,24.96,22.22,21.36,20.8
ALLSKY_SFC_SW_DWN,2020,17.43,18.28,21.97,22.49,20.25,17.9,17.98,20.15,23.22,24.14,26.14,20.66,20.88
ALLSKY_SFC_SW_DWN,2021,19.16,18.62,17.11,20.39,19.85,17.31,18.24,21.26,22.48,24.21,26.07,25.66,20.87
ALLSKY_SFC_SW_DWN,2022,17.1,17.05,20.3,19.28,20.06,16.57,16.89,19.07,22.09,25.86,24.07,17.78,19.69
ALLSKY_SFC_SW_DWN,2023,17.85,18.24,17.5,18.98,20.43,18.81,17.64,19.81,22.65,24.52,23.98,21.53,20.17
