# Area: Malta
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  35.94   Longitude 14.38 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 4.38 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,9.21,11.61,16.92,20.62,23.0,25.73,25.22,22.72,19.1,11.54,9.81,7.41,16.92
ALLSKY_SFC_SW_DWN,1985,8.53,11.81,16.96,18.69,23.87,26.69,26.28,24.26,19.13,14.87,9.54,7.89,17.41
ALLSKY_SFC_SW_DWN,1986,9.28,12.44,16.02,20.92,24.47,25.32,24.68,23.37,18.43,13.9,8.56,7.17,17.07
ALLSKY_SFC_SW_DWN,1987,8.9,11.44,16.14,20.69,22.78,26.0,25.81,24.1,19.66,14.3,9.5,7.96,17.3
ALLSKY_SFC_SW_DWN,1988,8.64,12.92,17.51,21.0,22.98,22.41,25.8,24.3,17.08,14.49,8.18,7.03,16.88
ALLSKY_SFC_SW_DWN,1989,9.39,12.17,18.28,21.79,24.47,25.74,25.35,24.09,19.23,13.88,10.21,8.57,17.8
ALLSKY_SFC_SW_DWN,1990,8.14,14.23,17.3,20.13,23.43,25.47,26.71,24.26,19.55,14.03,9.67,7.3,17.53
ALLSKY_SFC_SW_DWN,1991,8.12,11.94,16.57,21.85,24.07,25.76,26.94,24.64,18.83,13.26,10.5,7.1,17.49
ALLSKY_SFC_SW_DWN,1992,8.83,12.13,15.3,21.24,20.47,24.57,25.91,24.1,20.43,12.25,10.19,7.95,16.95
ALLSKY_SFC_SW_DWN,1993,8.91,11.95,16.59,22.68,25.64,26.69,26.62,24.84,19.9,13.77,8.81,8.1,17.9
ALLSKY_SFC_SW_DWN,1994,9.26,12.69,18.65,20.42,25.8,27.79,26.19,24.44,19.4,12.33,9.8,8.38,17.96
ALLSKY_SFC_SW_DWN,1995,8.83,13.85,17.26,20.23,25.77,26.36,26.78,23.4,17.88,14.42,9.82,7.49,17.7
ALLSKY_SFC_SW_DWN,1996,9.08,10.49,16.97,21.59,23.23,25.05,26.75,23.84,18.16,15.13,10.23,8.4,17.43
ALLSKY_SFC_SW_DWN,1997,9.61,13.91,18.61,20.49,26.49,26.66,26.86,24.46,18.65,14.31,9.19,7.53,18.09
ALLSKY_SFC_SW_DWN,1998,8.86,13.64,16.32,21.45,26.31,26.78,27.95,24.94,19.17,14.9,9.17,7.75,18.13
ALLSKY_SFC_SW_DWN,1999,9.05,12.94,16.3,22.85,25.89,26.93,27.74,23.79,19.56,15.15,7.92,7.53,18.0
ALLSKY_SFC_SW_DWN,2000,9.15,13.53,17.76,22.64,23.22,28.03,28.09,25.49,19.29,13.36,11.04,8.98,18.39
ALLSKY_SFC_SW_DWN,2001,9.54,13.13,17.13,21.69,23.21,28.83,27.33,24.65,19.74,15.25,9.49,7.88,18.18
ALLSKY_SFC_SW_DWN,2002,9.47,12.84,15.94,21.15,24.48,27.28,26.26,24.1,19.08,14.78,9.29,7.9,17.74
ALLSKY_SFC_SW_DWN,2003,9.05,10.79,17.45,21.4,25.35,27.43,27.35,24.49,17.83,12.98,9.58,7.45,17.64
ALLSKY_SFC_SW_DWN,2004,9.63,12.52,14.37,21.13,26.5,28.17,28.33,24.82,19.61,15.1,9.22,7.65,18.1
ALLSKY_SFC_SW_DWN,2005,9.48,12.27,16.97,20.31,26.18,25.38,27.74,23.36,18.61,14.16,10.05,7.34,17.69
ALLSKY_SFC_SW_DWN,2006,7.65,12.34,18.45,21.25,25.88,27.73,26.98,24.55,19.77,14.83,11.07,7.49,18.19
ALLSKY_SFC_SW_DWN,2007,9.76,12.28,16.54,19.39,26.36,26.94,28.32,24.87,19.8,12.87,10.38,7.49,17.95
ALLSKY_SFC_SW_DWN,2008,9.64,12.73,17.38,22.13,24.6,27.63,27.65,25.58,18.96,13.02,9.26,8.43,18.1
ALLSKY_SFC_SW_DWN,2009,8.44,12.67,17.26,20.45,26.55,28.39,28.43,24.55,18.34,14.83,10.65,8.18,18.26
ALLSKY_SFC_SW_DWN,2010,8.96,12.86,16.63,21.16,24.39,26.76,27.91,25.68,19.44,13.22,10.87,8.09,18.02
ALLSKY_SFC_SW_DWN,2011,9.79,11.87,17.6,21.69,25.16,27.47,27.36,25.43,20.13,13.84,9.27,8.56,18.22
ALLSKY_SFC_SW_DWN,2012,8.79,11.88,17.22,22.77,26.71,29.52,28.01,25.26,20.22,14.16,10.0,8.66,18.61
ALLSKY_SFC_SW_DWN,2013,9.42,13.49,17.55,21.46,24.99,28.51,27.7,23.62,18.82,14.46,9.38,8.03,18.14
ALLSKY_SFC_SW_DWN,2014,9.05,13.11,17.13,21.9,26.05,27.5,27.23,25.4,19.62,14.65,9.95,7.94,18.32
ALLSKY_SFC_SW_DWN,2015,8.73,11.53,15.63,23.32,26.63,28.25,28.07,23.74,19.67,12.99,10.68,8.84,18.2
ALLSKY_SFC_SW_DWN,2016,10.22,13.17,18.29,22.2,24.12,26.15,28.18,25.17,18.34,13.52,9.22,7.8,18.05
ALLSKY_SFC_SW_DWN,2017,8.96,13.83,18.39,20.99,26.12,28.57,28.78,25.28,20.09,14.15,9.63,8.65,18.65
ALLSKY_SFC_SW_DWN,2018,9.88,10.98,18.06,21.48,24.43,27.72,27.59,23.45,19.11,13.03,9.98,8.9,17.92
ALLSKY_SFC_SW_DWN,2019,9.18,12.9,17.55,20.32,24.72,28.14,28.08,25.01,19.16,13.95,10.08,8.46,18.16
ALLSKY_SFC_SW_DWN,2020,9.57,14.54,15.87,21.57,25.92,28.72,28.68,25.4,18.05,14.17,10.51,8.28,18.45
ALLSKY_SFC_SW_DWN,2021,9.21,14.55,18.66,20.66,25.68,26.07,27.93,24.55,18.88,12.75,9.3,8.6,18.09
ALLSKY_SFC_SW_DWN,2022,9.73,13.93,15.88,20.16,26.56,28.6,28.24,24.76,19.43,15.87,10.86,9.48,18.65
ALLSKY_SFC_SW_DWN,2023,9.75,12.51,19.05,22.2,21.6,25.28,27.92,24.43,19.45,15.7,10.98,7.84,18.09
