# Area: Nauru
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -0.55   Longitude 166.92 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 0.07 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,23.18,24.71,24.03,22.91,22.22,19.72,19.74,22.55,24.28,22.8,21.04,18.53,22.13
ALLSKY_SFC_SW_DWN,1985,19.42,22.34,20.28,23.11,22.65,20.49,20.47,23.16,23.89,24.28,21.83,19.64,21.79
ALLSKY_SFC_SW_DWN,1986,19.53,22.69,24.19,21.08,21.09,19.66,19.92,22.02,21.17,20.13,17.85,15.46,20.39
ALLSKY_SFC_SW_DWN,1987,19.3,17.48,21.04,18.8,17.57,16.91,17.37,18.07,22.53,22.59,21.38,16.55,19.14
ALLSKY_SFC_SW_DWN,1988,18.26,18.39,22.97,21.73,22.35,20.62,21.93,23.67,24.68,24.7,23.72,23.05,22.19
ALLSKY_SFC_SW_DWN,1989,22.73,23.9,23.43,23.15,20.8,21.15,21.18,22.71,24.21,24.06,19.95,19.71,22.24
ALLSKY_SFC_SW_DWN,1990,17.62,20.28,20.04,19.34,20.24,20.26,19.19,20.37,21.69,22.94,19.48,18.63,20.0
ALLSKY_SFC_SW_DWN,1991,17.9,20.91,19.15,20.74,20.74,19.23,20.54,19.73,20.31,20.72,15.29,18.21,19.45
ALLSKY_SFC_SW_DWN,1992,18.05,18.7,19.54,18.57,16.68,19.21,19.62,19.9,20.96,20.52,18.64,16.64,18.92
ALLSKY_SFC_SW_DWN,1993,18.71,17.91,18.74,17.57,17.71,17.78,19.6,19.83,20.94,18.37,21.48,17.71,18.86
ALLSKY_SFC_SW_DWN,1994,19.81,22.69,22.79,21.65,21.88,20.53,19.04,21.91,20.2,20.91,21.04,16.27,20.71
ALLSKY_SFC_SW_DWN,1995,19.75,19.73,22.06,19.85,22.26,21.33,22.47,24.47,24.45,25.21,23.08,22.63,22.3
ALLSKY_SFC_SW_DWN,1996,23.66,25.08,23.94,23.96,22.21,21.41,22.16,23.62,24.81,23.9,23.25,21.01,23.24
ALLSKY_SFC_SW_DWN,1997,19.41,20.77,18.17,16.8,17.89,18.29,17.28,20.35,21.68,20.62,22.3,16.76,19.17
ALLSKY_SFC_SW_DWN,1998,19.9,22.65,24.13,23.28,22.64,20.67,21.77,23.47,24.77,24.65,24.15,22.61,22.89
ALLSKY_SFC_SW_DWN,1999,23.23,23.96,24.46,23.08,22.55,21.7,20.95,21.73,25.8,24.74,24.73,24.66,23.46
ALLSKY_SFC_SW_DWN,2000,24.46,24.94,24.41,23.82,22.17,20.75,21.44,22.44,24.25,25.15,22.99,22.72,23.29
ALLSKY_SFC_SW_DWN,2001,23.85,22.06,24.4,23.45,21.08,21.36,20.07,19.65,25.05,24.48,22.89,14.3,21.87
ALLSKY_SFC_SW_DWN,2002,17.57,18.02,18.31,20.34,19.98,17.83,18.35,19.7,19.1,21.39,18.89,20.38,19.17
ALLSKY_SFC_SW_DWN,2003,16.73,19.55,19.21,18.83,21.76,21.37,19.43,21.87,22.74,24.03,22.53,19.64,20.64
ALLSKY_SFC_SW_DWN,2004,17.66,21.7,18.83,19.05,20.07,15.44,21.03,20.29,22.11,21.87,17.87,18.72,19.55
ALLSKY_SFC_SW_DWN,2005,18.49,17.37,20.25,19.56,19.72,19.85,18.88,21.52,21.61,22.22,22.64,21.56,20.32
ALLSKY_SFC_SW_DWN,2006,22.54,20.6,24.65,23.67,22.83,20.12,19.73,20.36,22.22,17.51,20.15,18.33,21.06
ALLSKY_SFC_SW_DWN,2007,17.14,18.77,23.47,20.98,20.01,21.27,21.89,23.49,24.07,25.58,20.62,23.09,21.72
ALLSKY_SFC_SW_DWN,2008,22.38,25.61,25.94,24.51,23.41,19.76,21.76,23.15,24.34,25.44,23.77,23.02,23.58
ALLSKY_SFC_SW_DWN,2009,22.76,23.64,25.17,22.38,22.06,20.36,16.41,21.62,19.59,20.09,21.01,13.34,20.68
ALLSKY_SFC_SW_DWN,2010,16.82,18.21,18.95,19.81,21.51,22.32,22.42,23.75,25.68,25.58,24.72,23.54,21.96
ALLSKY_SFC_SW_DWN,2011,24.38,25.24,24.88,23.34,20.94,19.58,19.39,21.75,21.49,25.09,24.63,23.2,22.81
ALLSKY_SFC_SW_DWN,2012,23.82,24.73,23.22,20.08,20.87,20.23,18.12,21.12,20.72,21.77,20.78,20.08,21.28
ALLSKY_SFC_SW_DWN,2013,19.15,20.78,22.31,22.36,22.61,20.39,21.26,23.59,24.77,24.5,23.5,22.04,22.28
ALLSKY_SFC_SW_DWN,2014,18.67,18.72,20.45,17.8,20.97,17.5,18.94,21.36,24.15,21.63,22.24,19.38,20.16
ALLSKY_SFC_SW_DWN,2015,19.26,18.66,18.31,19.73,17.22,17.18,20.71,18.64,18.06,20.99,18.73,16.45,18.66
ALLSKY_SFC_SW_DWN,2016,18.1,18.44,16.83,20.77,21.77,21.79,21.84,23.7,24.45,25.08,24.82,23.55,21.77
ALLSKY_SFC_SW_DWN,2017,20.7,23.58,24.78,22.39,21.35,22.28,19.64,23.25,24.2,24.85,23.65,19.85,22.53
ALLSKY_SFC_SW_DWN,2018,23.48,21.22,20.24,22.68,22.34,22.02,20.7,21.69,22.46,23.63,17.95,19.71,21.51
ALLSKY_SFC_SW_DWN,2019,18.02,17.52,16.73,16.38,17.51,18.46,20.07,20.6,22.9,23.53,19.18,18.43,19.12
ALLSKY_SFC_SW_DWN,2020,18.78,18.84,19.14,22.48,23.06,22.97,22.75,23.8,25.08,25.29,24.33,24.11,22.56
ALLSKY_SFC_SW_DWN,2021,23.41,23.27,25.61,21.93,20.1,21.07,21.31,24.1,24.92,25.55,24.96,22.89,23.26
ALLSKY_SFC_SW_DWN,2022,22.48,22.63,24.96,24.52,23.05,22.0,21.42,23.87,25.25,24.97,24.81,23.64,23.64
ALLSKY_SFC_SW_DWN,2023,22.96,23.78,24.5,22.94,19.69,16.43,17.41,20.4,21.1,20.31,18.79,15.64,20.31
