# Area: Oman
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  21.51   Longitude 55.92 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 72.76 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,16.42,18.28,22.56,25.62,26.03,26.47,26.52,24.15,23.33,20.68,17.95,14.48,21.88
ALLSKY_SFC_SW_DWN,1985,17.18,20.47,22.6,26.81,27.23,26.74,25.5,24.9,24.35,21.33,18.82,16.93,22.74
ALLSKY_SFC_SW_DWN,1986,17.28,19.66,22.91,23.72,27.59,26.23,26.26,24.67,22.73,21.24,17.57,14.7,22.06
ALLSKY_SFC_SW_DWN,1987,15.63,18.57,21.04,24.9,26.26,25.63,25.44,24.1,23.36,20.46,17.57,14.07,21.43
ALLSKY_SFC_SW_DWN,1988,16.49,17.84,22.46,24.21,27.04,26.13,24.31,24.99,22.69,20.86,18.51,15.91,21.8
ALLSKY_SFC_SW_DWN,1989,17.53,19.6,21.16,24.43,27.58,25.79,25.36,25.2,23.2,21.15,18.12,16.0,22.11
ALLSKY_SFC_SW_DWN,1990,16.73,18.76,23.35,24.62,27.79,26.5,25.51,24.43,23.0,21.23,18.21,15.88,22.19
ALLSKY_SFC_SW_DWN,1991,17.18,18.51,21.91,26.59,26.46,26.02,25.11,24.58,23.85,21.92,18.98,17.53,22.4
ALLSKY_SFC_SW_DWN,1992,15.37,19.4,21.68,25.05,28.14,27.57,26.02,24.9,23.28,20.4,18.53,16.13,22.21
ALLSKY_SFC_SW_DWN,1993,15.75,18.75,23.8,24.24,27.76,28.27,25.83,25.24,24.12,22.05,19.21,16.6,22.65
ALLSKY_SFC_SW_DWN,1994,17.76,20.22,23.58,26.43,29.02,27.88,25.57,25.08,23.92,22.21,19.76,16.17,23.14
ALLSKY_SFC_SW_DWN,1995,17.87,20.99,21.48,24.89,28.25,27.4,24.74,24.57,23.95,21.97,18.99,15.61,22.56
ALLSKY_SFC_SW_DWN,1996,17.12,21.01,22.17,26.27,27.53,26.78,25.84,25.62,24.26,21.29,18.24,15.22,22.61
ALLSKY_SFC_SW_DWN,1997,16.43,21.58,20.88,26.64,28.26,27.76,26.21,25.39,24.01,22.21,17.12,15.09,22.63
ALLSKY_SFC_SW_DWN,1998,16.43,20.27,24.48,26.96,29.02,27.76,25.44,25.42,24.57,21.7,19.03,16.37,23.13
ALLSKY_SFC_SW_DWN,1999,19.17,21.51,24.09,27.38,28.57,27.43,25.48,25.06,24.35,21.91,19.15,17.48,23.47
ALLSKY_SFC_SW_DWN,2000,17.59,23.16,24.57,27.06,27.72,28.57,25.35,25.29,23.74,21.4,18.75,18.09,23.43
ALLSKY_SFC_SW_DWN,2001,18.91,21.07,23.46,27.53,27.62,26.45,23.69,25.15,23.99,21.74,19.36,17.0,23.0
ALLSKY_SFC_SW_DWN,2002,18.2,21.38,23.22,26.7,27.79,26.96,26.23,25.28,24.59,22.33,18.88,16.47,23.17
ALLSKY_SFC_SW_DWN,2003,18.07,20.78,23.68,26.56,27.37,27.86,23.43,24.67,23.84,22.31,18.77,16.87,22.85
ALLSKY_SFC_SW_DWN,2004,17.55,21.82,25.36,25.8,27.97,27.86,26.61,25.1,24.0,22.46,18.96,16.34,23.32
ALLSKY_SFC_SW_DWN,2005,17.57,20.64,23.6,26.11,27.69,27.96,25.4,25.39,24.19,22.39,18.75,17.42,23.1
ALLSKY_SFC_SW_DWN,2006,17.95,20.35,24.17,26.52,28.21,27.54,23.96,23.72,24.24,22.09,18.7,16.42,22.83
ALLSKY_SFC_SW_DWN,2007,18.16,20.54,23.56,26.72,27.67,25.93,26.1,25.2,24.57,22.84,18.87,16.97,23.1
ALLSKY_SFC_SW_DWN,2008,16.74,21.74,25.63,26.64,27.51,25.59,25.36,24.42,23.88,21.84,19.06,17.94,23.03
ALLSKY_SFC_SW_DWN,2009,18.09,21.16,24.05,26.52,27.89,28.04,25.08,24.83,24.59,22.2,18.74,16.38,23.13
ALLSKY_SFC_SW_DWN,2010,18.8,20.95,24.86,26.14,26.97,27.11,24.49,24.81,24.29,21.63,18.92,17.52,23.05
ALLSKY_SFC_SW_DWN,2011,17.45,20.94,24.39,25.72,27.01,26.7,24.67,23.8,23.77,21.88,18.5,17.58,22.7
ALLSKY_SFC_SW_DWN,2012,18.39,20.86,24.4,25.25,27.01,27.57,24.69,24.8,23.48,22.3,18.59,16.74,22.84
ALLSKY_SFC_SW_DWN,2013,18.25,21.58,24.44,23.64,27.13,26.37,24.39,23.49,24.12,21.89,18.55,17.52,22.62
ALLSKY_SFC_SW_DWN,2014,17.79,21.14,23.04,26.6,27.4,27.57,25.97,25.58,23.74,21.64,18.74,17.5,23.06
ALLSKY_SFC_SW_DWN,2015,18.53,21.42,23.56,26.75,27.02,26.75,25.24,25.72,24.31,21.49,18.45,16.85,23.01
ALLSKY_SFC_SW_DWN,2016,18.03,21.36,22.83,24.89,28.01,27.58,25.17,24.68,24.32,22.08,18.84,17.23,22.92
ALLSKY_SFC_SW_DWN,2017,18.05,19.46,23.16,27.13,26.82,27.34,23.49,24.99,23.96,22.36,18.87,17.21,22.74
ALLSKY_SFC_SW_DWN,2018,18.55,20.76,25.38,25.46,26.6,27.26,24.47,24.32,24.12,20.36,18.27,17.35,22.75
ALLSKY_SFC_SW_DWN,2019,17.77,20.18,23.08,24.93,26.35,27.49,25.91,24.76,23.52,21.69,18.01,16.14,22.49
ALLSKY_SFC_SW_DWN,2020,17.33,21.11,22.1,25.54,27.26,27.37,24.82,23.39,25.38,22.91,18.85,17.42,22.78
ALLSKY_SFC_SW_DWN,2021,18.9,21.09,24.71,26.12,27.19,27.48,23.87,25.87,22.7,21.51,19.0,16.52,22.92
ALLSKY_SFC_SW_DWN,2022,17.18,21.59,24.9,26.25,27.24,26.31,21.29,23.34,23.59,22.1,18.25,16.43,22.37
ALLSKY_SFC_SW_DWN,2023,16.8,21.68,22.65,23.8,27.09,26.52,23.63,24.78,23.01,20.38,17.77,16.99,22.09
