# Area: Portugal
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  39.4   Longitude -8.22 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 231.4 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,6.9,11.96,13.71,18.35,19.88,22.31,25.97,22.38,19.16,12.97,7.74,6.78,15.68
ALLSKY_SFC_SW_DWN,1985,7.53,7.22,14.84,17.51,20.49,24.05,25.13,24.37,19.1,14.67,8.07,6.7,15.86
ALLSKY_SFC_SW_DWN,1986,7.78,8.12,14.83,18.03,21.95,25.66,23.64,22.49,15.75,12.57,9.03,7.14,15.63
ALLSKY_SFC_SW_DWN,1987,6.81,9.08,15.17,17.34,22.99,23.42,23.67,21.72,17.04,9.64,8.05,5.55,15.07
ALLSKY_SFC_SW_DWN,1988,6.51,10.63,16.69,18.33,20.34,20.96,24.04,23.26,19.46,12.12,8.07,8.35,15.75
ALLSKY_SFC_SW_DWN,1989,9.14,10.54,16.26,16.07,21.68,25.75,26.56,21.26,19.12,12.31,6.89,5.02,15.92
ALLSKY_SFC_SW_DWN,1990,7.49,11.87,15.98,18.84,23.84,25.14,25.77,24.12,17.49,10.82,9.12,6.56,16.44
ALLSKY_SFC_SW_DWN,1991,8.08,10.0,13.13,19.89,25.82,25.9,26.13,22.84,17.7,12.93,8.94,7.78,16.63
ALLSKY_SFC_SW_DWN,1992,9.57,11.65,17.1,21.75,23.33,23.14,27.19,23.5,19.42,12.05,9.27,6.89,17.09
ALLSKY_SFC_SW_DWN,1993,8.72,13.05,15.26,18.55,18.65,24.05,27.59,23.19,15.77,10.7,8.41,6.88,15.92
ALLSKY_SFC_SW_DWN,1994,8.44,9.41,17.8,20.87,21.07,27.62,26.39,24.49,18.59,12.02,8.7,6.89,16.89
ALLSKY_SFC_SW_DWN,1995,7.93,10.13,16.78,20.85,22.7,24.68,25.09,23.8,17.99,13.25,6.85,5.63,16.34
ALLSKY_SFC_SW_DWN,1996,5.49,10.22,14.13,20.21,21.67,27.3,26.59,23.55,17.84,13.92,8.57,5.43,16.25
ALLSKY_SFC_SW_DWN,1997,7.24,11.27,19.42,19.92,18.87,23.17,25.96,22.89,18.77,12.06,6.8,5.66,16.03
ALLSKY_SFC_SW_DWN,1998,7.15,11.84,17.56,17.91,22.43,28.01,27.57,24.3,16.55,13.89,9.51,7.59,17.06
ALLSKY_SFC_SW_DWN,1999,8.39,12.82,14.73,20.42,21.56,26.68,27.06,23.24,16.45,10.98,10.22,6.47,16.59
ALLSKY_SFC_SW_DWN,2000,9.53,12.27,16.54,13.89,20.7,26.23,25.68,24.39,19.0,12.54,6.56,4.66,16.02
ALLSKY_SFC_SW_DWN,2001,6.32,11.27,10.92,20.65,22.77,28.57,25.19,23.33,17.92,10.12,10.09,7.03,16.19
ALLSKY_SFC_SW_DWN,2002,7.25,11.95,14.88,20.76,22.63,25.6,27.36,24.59,14.38,10.85,7.08,5.61,16.1
ALLSKY_SFC_SW_DWN,2003,8.25,9.57,13.82,17.79,27.07,25.67,26.43,22.65,18.67,11.84,7.26,6.37,16.33
ALLSKY_SFC_SW_DWN,2004,6.96,10.6,15.77,21.17,22.55,27.28,27.16,22.76,18.82,11.42,9.98,8.21,16.9
ALLSKY_SFC_SW_DWN,2005,9.69,13.58,15.03,19.88,24.09,26.1,27.53,24.77,20.16,11.89,8.25,7.47,17.39
ALLSKY_SFC_SW_DWN,2006,8.7,11.86,12.79,20.31,26.14,24.65,26.39,25.37,17.72,11.21,7.61,7.4,16.71
ALLSKY_SFC_SW_DWN,2007,8.01,9.57,16.69,20.08,22.11,25.36,27.69,24.44,18.1,14.55,10.82,7.62,17.13
ALLSKY_SFC_SW_DWN,2008,7.78,10.6,15.41,19.32,19.23,27.91,27.06,24.06,18.11,13.43,9.73,6.69,16.62
ALLSKY_SFC_SW_DWN,2009,6.59,12.31,18.23,19.33,24.26,23.43,27.49,24.45,19.33,13.09,7.29,5.77,16.83
ALLSKY_SFC_SW_DWN,2010,6.46,8.8,14.16,20.42,24.54,26.07,27.91,24.19,19.36,12.65,8.63,5.82,16.63
ALLSKY_SFC_SW_DWN,2011,7.25,11.38,14.48,20.15,23.42,27.7,27.01,22.11,19.37,14.57,8.01,7.48,16.94
ALLSKY_SFC_SW_DWN,2012,9.64,14.66,16.9,16.0,22.77,25.01,28.29,24.83,19.04,12.27,7.83,6.4,16.98
ALLSKY_SFC_SW_DWN,2013,6.74,11.46,12.14,21.13,24.6,25.67,25.7,25.66,19.12,11.39,9.53,7.2,16.71
ALLSKY_SFC_SW_DWN,2014,5.87,8.6,14.87,17.97,25.24,25.15,25.69,24.79,16.5,11.7,6.73,8.03,15.98
ALLSKY_SFC_SW_DWN,2015,8.51,10.99,16.99,18.7,25.95,25.95,27.0,23.54,18.77,11.18,9.78,6.33,17.01
ALLSKY_SFC_SW_DWN,2016,6.24,10.41,15.09,19.05,20.48,27.66,27.96,25.01,20.51,13.13,8.75,7.92,16.86
ALLSKY_SFC_SW_DWN,2017,8.37,10.59,15.23,22.84,23.31,26.85,26.58,24.93,20.74,14.71,10.02,7.34,17.66
ALLSKY_SFC_SW_DWN,2018,8.22,11.86,13.29,17.51,22.03,21.98,24.14,24.09,19.41,13.68,7.4,7.08,15.92
ALLSKY_SFC_SW_DWN,2019,8.6,12.48,18.38,18.68,26.16,24.75,24.46,23.53,19.5,12.38,7.11,6.62,16.92
ALLSKY_SFC_SW_DWN,2020,7.32,11.71,15.24,15.73,23.69,25.66,28.59,24.17,18.2,12.76,7.98,6.49,16.48
ALLSKY_SFC_SW_DWN,2021,7.55,9.33,16.89,17.68,24.3,25.72,26.73,24.85,17.86,13.37,10.31,6.83,16.83
ALLSKY_SFC_SW_DWN,2022,9.37,11.78,12.15,20.55,23.52,24.45,27.42,24.47,17.85,11.56,7.61,5.4,16.37
ALLSKY_SFC_SW_DWN,2023,8.74,12.35,15.78,22.21,23.17,24.8,28.05,25.28,17.17,11.48,7.99,7.11,17.04
