# Area: Republic of Moldova
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  47.01   Longitude 28.86 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 150.14 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,3.04,7.73,10.1,14.88,18.49,20.17,19.07,17.83,13.91,8.63,4.56,2.77,11.77
ALLSKY_SFC_SW_DWN,1985,4.72,8.89,13.48,13.96,19.42,19.75,21.37,18.64,13.6,8.96,5.46,2.99,12.63
ALLSKY_SFC_SW_DWN,1986,3.72,8.1,11.98,16.23,22.47,21.27,19.28,19.84,15.28,8.16,4.2,2.98,12.81
ALLSKY_SFC_SW_DWN,1987,3.95,8.13,12.38,13.11,16.95,20.83,21.71,16.14,14.82,8.55,3.65,3.34,11.98
ALLSKY_SFC_SW_DWN,1988,3.62,7.31,10.62,13.93,19.18,20.23,21.24,19.61,11.85,9.92,5.89,3.5,12.26
ALLSKY_SFC_SW_DWN,1989,3.17,6.04,10.45,15.48,19.71,18.94,22.16,17.85,10.71,8.3,4.95,3.01,11.77
ALLSKY_SFC_SW_DWN,1990,3.2,7.23,12.54,14.52,21.66,20.04,21.53,19.89,12.87,9.02,3.79,2.94,12.48
ALLSKY_SFC_SW_DWN,1991,2.72,7.59,8.63,12.95,16.13,20.58,21.46,17.47,13.86,8.31,4.36,3.44,11.47
ALLSKY_SFC_SW_DWN,1992,3.93,6.52,9.74,15.37,20.42,19.76,22.8,20.92,14.78,7.54,4.43,4.12,12.55
ALLSKY_SFC_SW_DWN,1993,3.76,6.37,9.97,13.16,20.25,21.94,21.85,19.53,13.2,8.24,6.03,2.85,12.3
ALLSKY_SFC_SW_DWN,1994,3.37,6.22,10.84,15.92,20.98,22.77,23.39,18.39,15.97,9.58,5.31,3.02,13.01
ALLSKY_SFC_SW_DWN,1995,3.98,5.64,8.35,13.22,18.46,21.47,22.93,18.87,12.18,9.89,4.93,3.25,11.97
ALLSKY_SFC_SW_DWN,1996,5.3,8.06,13.54,15.81,21.29,23.64,22.78,17.01,9.51,8.42,4.24,2.0,12.65
ALLSKY_SFC_SW_DWN,1997,5.02,7.31,11.35,14.24,21.83,20.82,19.23,16.22,13.44,9.28,5.0,2.72,12.23
ALLSKY_SFC_SW_DWN,1998,2.92,6.58,10.23,15.39,19.92,21.0,20.89,20.18,15.38,7.89,5.84,4.23,12.57
ALLSKY_SFC_SW_DWN,1999,4.16,7.55,10.77,13.82,20.76,23.69,23.06,18.47,14.18,7.9,4.76,2.62,12.67
ALLSKY_SFC_SW_DWN,2000,5.05,6.71,10.2,14.68,23.91,23.12,20.43,19.92,10.42,9.54,3.23,2.37,12.49
ALLSKY_SFC_SW_DWN,2001,3.9,6.24,10.48,16.8,21.19,18.35,22.8,19.89,12.0,9.33,4.58,4.05,12.51
ALLSKY_SFC_SW_DWN,2002,4.5,7.76,12.12,14.97,22.99,21.44,20.88,19.14,11.4,7.57,3.84,3.81,12.57
ALLSKY_SFC_SW_DWN,2003,3.79,7.22,11.29,16.38,24.7,23.88,19.57,20.33,14.15,7.94,3.45,3.12,13.02
ALLSKY_SFC_SW_DWN,2004,3.17,5.62,10.22,18.07,18.49,23.43,20.58,18.4,13.46,8.96,3.99,3.31,12.32
ALLSKY_SFC_SW_DWN,2005,4.0,5.63,12.08,15.83,20.72,20.45,21.93,18.08,15.06,9.01,4.06,2.9,12.52
ALLSKY_SFC_SW_DWN,2006,4.11,8.29,9.41,15.43,19.0,22.15,23.57,18.99,13.54,9.45,4.34,3.16,12.64
ALLSKY_SFC_SW_DWN,2007,4.36,5.71,12.95,16.93,23.15,24.85,23.6,17.87,14.5,7.85,4.82,1.8,13.24
ALLSKY_SFC_SW_DWN,2008,3.61,7.22,10.96,12.86,20.39,23.18,21.12,21.35,11.32,9.18,4.57,2.48,12.38
ALLSKY_SFC_SW_DWN,2009,3.7,5.44,9.26,18.84,21.28,23.01,22.95,20.2,14.5,7.59,4.18,2.38,12.81
ALLSKY_SFC_SW_DWN,2010,3.68,6.99,11.9,16.18,20.17,21.34,22.41,19.65,13.12,8.07,5.08,3.55,12.71
ALLSKY_SFC_SW_DWN,2011,3.5,6.45,12.49,15.88,21.08,21.87,22.49,21.49,15.57,9.7,4.83,2.98,13.24
ALLSKY_SFC_SW_DWN,2012,4.4,8.51,11.53,16.84,20.54,25.0,24.83,18.81,15.96,8.31,4.19,2.89,13.49
ALLSKY_SFC_SW_DWN,2013,3.97,5.26,9.97,16.94,22.95,23.02,21.9,19.97,11.01,7.73,4.67,3.26,12.6
ALLSKY_SFC_SW_DWN,2014,3.13,5.93,12.25,15.47,19.8,21.71,21.36,20.12,16.54,9.81,4.02,3.11,12.81
ALLSKY_SFC_SW_DWN,2015,3.31,6.7,10.88,16.81,22.16,25.35,23.03,20.01,14.22,9.49,4.41,4.05,13.4
ALLSKY_SFC_SW_DWN,2016,4.04,6.46,11.13,16.94,19.48,21.57,23.8,19.98,14.83,7.81,4.04,3.4,12.81
ALLSKY_SFC_SW_DWN,2017,4.62,6.79,11.76,16.76,22.36,24.32,22.65,20.34,14.9,7.44,3.6,2.63,13.21
ALLSKY_SFC_SW_DWN,2018,4.22,6.32,10.15,19.19,23.43,21.45,21.19,22.61,13.55,10.74,3.72,2.77,13.32
ALLSKY_SFC_SW_DWN,2019,3.37,6.01,12.13,16.23,18.53,24.28,21.93,20.68,15.21,8.94,4.32,3.4,12.95
ALLSKY_SFC_SW_DWN,2020,4.56,7.79,12.92,20.11,16.17,22.53,23.21,22.05,16.35,7.98,4.05,2.21,13.33
ALLSKY_SFC_SW_DWN,2021,3.88,6.81,11.47,14.97,18.61,20.85,22.48,19.6,14.11,10.33,5.27,2.41,12.6
ALLSKY_SFC_SW_DWN,2022,4.09,7.87,12.27,14.64,22.2,23.11,22.56,17.37,11.88,10.3,3.89,3.04,12.8
ALLSKY_SFC_SW_DWN,2023,3.27,6.99,11.38,10.96,20.97,22.33,21.9,20.68,16.14,10.05,4.56,3.04,12.73
