# Area: Réunion
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -20.88   Longitude 55.45 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 532.93 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,22.92,23.38,20.68,16.77,15.96,13.31,14.12,17.34,20.13,23.0,24.4,25.69,19.8
ALLSKY_SFC_SW_DWN,1985,23.34,19.94,21.63,16.93,15.16,13.9,13.64,17.31,20.21,23.89,24.15,22.84,19.41
ALLSKY_SFC_SW_DWN,1986,25.06,19.34,20.75,17.24,14.29,13.72,14.88,16.41,20.58,22.5,25.25,24.05,19.51
ALLSKY_SFC_SW_DWN,1987,21.71,19.03,18.56,16.39,13.82,12.71,14.42,17.23,20.62,22.89,25.45,26.87,19.15
ALLSKY_SFC_SW_DWN,1988,23.78,23.45,19.76,18.24,14.98,14.22,14.55,16.98,20.45,24.87,25.85,22.7,19.97
ALLSKY_SFC_SW_DWN,1989,24.03,20.93,19.36,19.31,14.92,13.93,14.03,16.51,20.71,23.95,26.27,21.28,19.59
ALLSKY_SFC_SW_DWN,1990,24.63,23.16,21.72,17.06,15.66,14.13,14.52,17.36,20.95,24.44,25.57,25.04,20.34
ALLSKY_SFC_SW_DWN,1991,25.47,22.04,18.73,15.47,13.85,12.59,14.16,16.6,21.23,24.06,26.69,24.53,19.6
ALLSKY_SFC_SW_DWN,1992,23.31,21.68,19.87,17.0,14.41,12.54,13.38,17.01,21.13,25.11,26.22,24.81,19.7
ALLSKY_SFC_SW_DWN,1993,24.02,18.77,19.05,16.48,14.73,13.27,13.78,16.42,20.22,23.49,25.98,26.55,19.41
ALLSKY_SFC_SW_DWN,1994,23.42,21.75,18.57,19.24,15.06,13.57,13.94,16.85,21.03,23.11,26.36,26.13,19.9
ALLSKY_SFC_SW_DWN,1995,22.9,22.0,19.98,16.8,14.05,13.72,14.38,16.5,20.34,24.62,26.26,18.71,19.16
ALLSKY_SFC_SW_DWN,1996,21.32,22.51,21.95,17.17,14.95,14.05,13.67,17.03,21.32,24.62,27.46,23.73,19.97
ALLSKY_SFC_SW_DWN,1997,22.75,23.71,21.57,18.01,13.13,13.66,13.85,17.73,20.6,20.59,24.67,23.98,19.49
ALLSKY_SFC_SW_DWN,1998,23.37,16.8,22.41,16.92,16.56,12.83,14.97,16.78,21.52,25.4,26.73,25.69,20.03
ALLSKY_SFC_SW_DWN,1999,26.39,25.7,21.95,20.49,16.9,14.75,15.41,18.51,21.36,25.53,25.99,26.09,21.57
ALLSKY_SFC_SW_DWN,2000,22.91,24.01,23.11,19.42,15.73,14.77,15.38,17.91,21.37,23.96,26.85,26.57,20.99
ALLSKY_SFC_SW_DWN,2001,23.3,24.6,21.8,19.1,16.95,14.21,15.26,18.2,22.27,23.66,27.41,25.92,21.03
ALLSKY_SFC_SW_DWN,2002,24.47,25.79,21.23,18.84,14.06,14.25,14.43,17.66,21.79,24.31,26.0,24.34,20.56
ALLSKY_SFC_SW_DWN,2003,23.02,23.39,22.29,16.22,14.65,14.83,14.93,17.97,21.05,24.57,25.77,26.8,20.44
ALLSKY_SFC_SW_DWN,2004,24.02,24.44,21.68,18.54,15.04,15.06,14.63,17.64,20.84,24.2,26.33,21.99,20.35
ALLSKY_SFC_SW_DWN,2005,24.69,21.98,19.04,19.66,15.09,14.5,15.36,18.3,21.05,24.95,25.35,27.41,20.61
ALLSKY_SFC_SW_DWN,2006,25.26,23.99,20.6,19.09,15.58,14.62,15.06,18.32,21.6,25.0,24.49,26.63,20.84
ALLSKY_SFC_SW_DWN,2007,21.69,21.1,22.98,19.01,16.67,14.02,14.68,18.11,21.91,23.85,27.87,26.39,20.69
ALLSKY_SFC_SW_DWN,2008,24.0,22.42,21.78,20.16,15.7,14.55,16.1,18.5,21.29,25.23,26.22,27.59,21.13
ALLSKY_SFC_SW_DWN,2009,26.44,24.86,20.59,16.76,15.66,14.2,15.19,18.21,22.09,25.14,24.84,27.04,20.9
ALLSKY_SFC_SW_DWN,2010,23.92,23.21,18.65,20.3,16.38,14.4,15.03,17.19,20.38,24.74,27.17,28.38,20.79
ALLSKY_SFC_SW_DWN,2011,24.61,23.86,22.39,18.5,15.85,14.51,14.82,17.93,22.18,23.58,27.06,26.85,20.99
ALLSKY_SFC_SW_DWN,2012,26.0,24.84,20.21,18.67,15.54,14.22,15.22,18.27,21.43,24.6,26.51,26.51,20.99
ALLSKY_SFC_SW_DWN,2013,23.6,22.16,21.64,18.93,16.13,14.75,16.02,18.57,23.01,23.93,26.6,26.49,20.98
ALLSKY_SFC_SW_DWN,2014,23.49,24.17,23.37,19.67,16.55,15.04,15.4,18.58,22.49,24.94,27.41,25.03,21.32
ALLSKY_SFC_SW_DWN,2015,21.97,23.03,21.1,19.76,16.11,13.16,15.46,16.55,21.49,23.68,25.68,26.07,20.32
ALLSKY_SFC_SW_DWN,2016,26.31,21.91,21.24,19.21,16.3,14.52,15.11,17.77,22.25,25.29,25.88,28.23,21.17
ALLSKY_SFC_SW_DWN,2017,28.05,24.13,20.36,17.58,15.71,14.29,15.22,17.89,21.12,25.41,24.32,27.21,20.93
ALLSKY_SFC_SW_DWN,2018,22.36,23.16,20.06,18.22,16.65,14.34,15.76,18.23,22.26,24.3,26.23,28.19,20.8
ALLSKY_SFC_SW_DWN,2019,25.7,25.55,24.03,18.84,15.97,13.42,15.08,18.03,21.32,24.59,24.28,27.41,21.17
ALLSKY_SFC_SW_DWN,2020,21.61,24.2,20.29,19.34,16.09,14.76,14.41,18.77,21.19,23.57,27.36,27.04,20.7
ALLSKY_SFC_SW_DWN,2021,27.56,25.22,22.51,15.31,16.57,14.29,15.06,17.88,22.42,24.17,26.89,26.1,21.15
ALLSKY_SFC_SW_DWN,2022,23.05,21.2,21.84,17.87,16.79,13.95,14.82,18.11,21.5,25.37,27.66,27.16,20.78
ALLSKY_SFC_SW_DWN,2023,23.62,25.98,21.93,17.79,15.87,14.11,15.35,17.45,21.78,24.18,23.9,24.53,20.51
