# Area: Saint Vincent and the Grenadines
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  13.25   Longitude -61.2 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 12.53 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,17.19,19.81,21.18,21.55,20.86,20.07,18.07,20.31,18.54,16.78,14.54,16.31,18.76
ALLSKY_SFC_SW_DWN,1985,16.46,17.86,20.06,19.81,20.07,17.22,18.53,20.65,18.96,17.13,16.4,16.12,18.28
ALLSKY_SFC_SW_DWN,1986,16.98,19.03,20.9,19.71,17.7,17.98,18.57,18.68,18.79,18.87,16.14,16.35,18.31
ALLSKY_SFC_SW_DWN,1987,16.21,19.15,20.47,22.02,19.48,17.98,18.47,20.37,19.56,19.13,16.86,16.76,18.87
ALLSKY_SFC_SW_DWN,1988,17.45,18.03,20.89,21.74,23.03,20.49,19.97,19.1,17.53,15.55,16.58,16.21,18.88
ALLSKY_SFC_SW_DWN,1989,17.85,19.55,19.76,21.34,21.68,17.68,18.75,21.07,17.96,20.09,16.13,16.69,19.05
ALLSKY_SFC_SW_DWN,1990,16.97,18.88,20.3,20.97,20.02,17.81,19.56,19.97,20.65,16.2,17.48,17.7,18.87
ALLSKY_SFC_SW_DWN,1991,16.78,19.56,21.3,21.35,21.2,19.53,18.58,20.98,19.43,19.88,15.16,15.89,19.14
ALLSKY_SFC_SW_DWN,1992,16.52,18.21,20.79,21.22,18.77,14.47,18.47,18.7,18.66,21.19,14.87,16.69,18.22
ALLSKY_SFC_SW_DWN,1993,18.26,20.63,22.54,23.4,21.57,20.13,21.81,21.27,20.9,19.97,18.82,17.96,20.6
ALLSKY_SFC_SW_DWN,1994,18.26,20.33,22.24,24.03,23.3,21.43,21.98,21.53,20.35,19.95,17.27,17.09,20.65
ALLSKY_SFC_SW_DWN,1995,16.89,17.63,18.53,19.85,24.24,20.34,22.97,20.84,21.4,19.78,18.43,18.21,19.94
ALLSKY_SFC_SW_DWN,1996,18.75,20.95,22.45,22.75,22.2,19.93,20.0,21.74,19.58,17.97,17.38,16.62,20.02
ALLSKY_SFC_SW_DWN,1997,18.58,20.12,23.15,23.82,24.06,21.34,21.1,21.78,21.33,19.78,19.46,16.76,20.94
ALLSKY_SFC_SW_DWN,1998,18.77,21.27,21.47,23.27,21.72,18.87,22.15,22.53,22.17,17.58,18.76,16.42,20.4
ALLSKY_SFC_SW_DWN,1999,18.93,21.28,23.09,22.57,24.56,21.4,22.25,22.92,21.78,19.81,16.3,16.91,20.99
ALLSKY_SFC_SW_DWN,2000,18.47,19.93,21.42,23.71,22.36,19.78,22.86,22.99,22.26,20.74,16.18,17.97,20.73
ALLSKY_SFC_SW_DWN,2001,18.83,20.41,23.79,23.65,23.33,22.23,21.14,22.69,22.6,17.85,20.11,16.51,21.09
ALLSKY_SFC_SW_DWN,2002,18.68,20.88,22.99,23.24,22.21,22.31,22.02,23.12,20.64,19.61,18.01,18.92,21.05
ALLSKY_SFC_SW_DWN,2003,18.89,20.96,23.87,23.59,22.35,20.43,21.25,22.44,22.06,20.35,17.36,17.5,20.92
ALLSKY_SFC_SW_DWN,2004,19.0,21.09,22.77,22.51,19.92,20.28,20.75,22.5,21.91,19.76,16.23,18.48,20.43
ALLSKY_SFC_SW_DWN,2005,16.93,20.96,23.17,23.76,23.16,18.84,20.26,23.45,22.01,18.12,16.86,17.98,20.45
ALLSKY_SFC_SW_DWN,2006,18.28,20.95,23.02,23.94,24.68,21.33,21.46,22.35,21.96,20.2,19.69,16.82,21.22
ALLSKY_SFC_SW_DWN,2007,18.61,20.87,20.73,23.79,24.37,22.74,22.1,21.38,22.05,18.54,18.88,17.41,20.95
ALLSKY_SFC_SW_DWN,2008,18.95,20.83,22.16,22.79,24.13,21.2,22.5,22.66,20.35,18.72,17.7,18.53,20.88
ALLSKY_SFC_SW_DWN,2009,18.37,20.82,22.39,23.66,22.47,22.17,20.16,22.45,21.58,21.23,19.52,18.99,21.15
ALLSKY_SFC_SW_DWN,2010,19.05,21.75,23.33,21.97,22.82,21.21,20.86,22.5,19.88,18.38,17.76,16.99,20.54
ALLSKY_SFC_SW_DWN,2011,18.41,20.39,22.65,20.87,21.08,20.22,21.12,20.52,21.36,20.44,17.19,16.65,20.08
ALLSKY_SFC_SW_DWN,2012,19.58,21.13,19.91,23.2,20.16,22.17,22.26,20.34,22.77,20.01,19.61,17.47,20.7
ALLSKY_SFC_SW_DWN,2013,19.04,21.69,23.36,22.69,22.06,20.35,23.07,22.13,21.71,19.3,19.29,16.76,20.95
ALLSKY_SFC_SW_DWN,2014,19.33,20.96,23.43,24.14,23.18,21.46,22.01,20.72,21.54,20.44,18.09,19.01,21.19
ALLSKY_SFC_SW_DWN,2015,19.31,21.14,23.05,23.09,22.66,21.47,21.29,22.81,22.65,19.61,17.23,17.58,20.99
ALLSKY_SFC_SW_DWN,2016,18.34,21.33,23.11,23.14,21.09,21.23,22.28,23.43,21.21,20.58,15.21,17.49,20.71
ALLSKY_SFC_SW_DWN,2017,18.67,21.06,22.76,23.61,22.06,18.59,23.0,22.17,19.54,19.1,19.04,18.15,20.65
ALLSKY_SFC_SW_DWN,2018,18.24,21.35,22.57,22.91,23.91,22.14,21.78,23.0,21.83,19.98,18.03,18.45,21.18
ALLSKY_SFC_SW_DWN,2019,19.75,21.68,22.84,24.04,23.01,20.33,22.61,22.54,22.18,20.41,19.31,18.45,21.43
ALLSKY_SFC_SW_DWN,2020,19.25,20.53,24.03,24.81,23.28,21.23,22.46,22.13,22.57,18.26,17.52,19.17,21.27
ALLSKY_SFC_SW_DWN,2021,18.55,20.93,22.63,22.51,23.45,20.3,22.05,21.78,23.46,19.89,19.74,18.74,21.17
ALLSKY_SFC_SW_DWN,2022,19.34,21.13,23.07,23.09,21.6,21.08,21.92,22.06,21.22,18.94,17.28,18.25,20.74
ALLSKY_SFC_SW_DWN,2023,18.58,21.68,24.2,23.42,23.78,22.42,20.59,20.96,23.53,19.53,18.57,17.26,21.2
