# Area: South Sudan
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  4.86   Longitude 31.57 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 496.2 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,22.1,22.24,21.36,19.38,21.17,20.35,17.35,18.97,21.04,22.18,18.98,21.66,20.56
ALLSKY_SFC_SW_DWN,1985,22.33,24.69,21.22,20.52,20.32,18.55,18.44,19.92,21.24,22.08,21.07,22.25,21.03
ALLSKY_SFC_SW_DWN,1986,23.64,19.9,19.34,20.18,20.68,19.66,17.48,20.43,21.09,21.36,20.95,21.18,20.5
ALLSKY_SFC_SW_DWN,1987,22.21,21.21,20.9,20.71,18.32,18.84,21.13,20.11,21.28,21.18,20.27,21.63,20.65
ALLSKY_SFC_SW_DWN,1988,20.49,22.66,22.69,20.88,21.46,21.14,17.06,19.37,19.03,20.63,21.39,20.95,20.63
ALLSKY_SFC_SW_DWN,1989,23.32,22.36,20.36,21.36,20.88,18.17,17.24,21.54,21.46,22.25,20.23,20.97,20.84
ALLSKY_SFC_SW_DWN,1990,21.51,19.69,20.65,21.48,20.79,21.26,18.3,19.77,21.93,21.64,21.87,19.97,20.74
ALLSKY_SFC_SW_DWN,1991,20.74,22.05,21.97,20.57,19.18,20.04,17.9,19.47,21.58,21.41,21.97,22.18,20.74
ALLSKY_SFC_SW_DWN,1992,22.74,23.26,23.02,20.71,21.05,18.58,18.14,17.63,21.66,18.92,21.73,20.35,20.63
ALLSKY_SFC_SW_DWN,1993,20.44,22.17,22.17,20.69,19.42,19.15,19.59,20.8,22.12,22.49,21.14,21.62,20.98
ALLSKY_SFC_SW_DWN,1994,22.5,24.31,20.95,20.02,21.82,19.36,18.44,18.89,22.27,21.54,19.3,21.74,20.91
ALLSKY_SFC_SW_DWN,1995,23.1,22.79,22.72,18.76,21.6,19.77,17.92,19.82,20.97,21.16,20.65,20.48,20.8
ALLSKY_SFC_SW_DWN,1996,20.47,19.99,18.72,19.59,20.33,17.79,17.57,19.96,20.73,21.51,19.36,21.4,19.79
ALLSKY_SFC_SW_DWN,1997,22.08,25.51,22.94,19.43,20.76,20.43,19.03,20.83,23.69,20.17,17.55,17.93,20.83
ALLSKY_SFC_SW_DWN,1998,21.2,22.74,23.08,22.04,21.6,17.94,16.81,19.19,20.82,19.32,21.3,22.06,20.66
ALLSKY_SFC_SW_DWN,1999,22.23,22.61,20.8,19.34,20.67,20.04,18.27,19.61,20.35,18.85,19.67,20.52,20.23
ALLSKY_SFC_SW_DWN,2000,23.21,24.6,22.76,19.75,21.68,19.82,17.73,18.94,21.09,19.0,20.47,21.06,20.83
ALLSKY_SFC_SW_DWN,2001,22.07,22.79,19.63,19.94,21.16,18.45,18.12,18.72,20.57,20.13,19.75,21.4,20.21
ALLSKY_SFC_SW_DWN,2002,21.28,23.73,19.5,20.99,20.05,19.11,19.66,19.34,23.07,20.87,19.32,19.79,20.53
ALLSKY_SFC_SW_DWN,2003,21.55,22.87,21.4,20.16,21.14,17.98,17.13,19.05,22.15,21.29,19.03,21.96,20.46
ALLSKY_SFC_SW_DWN,2004,20.38,22.78,21.48,19.39,19.86,19.12,18.2,19.13,21.24,21.73,19.86,20.64,20.31
ALLSKY_SFC_SW_DWN,2005,22.88,21.76,20.9,19.58,19.11,18.29,18.59,19.73,20.35,20.65,21.09,22.18,20.42
ALLSKY_SFC_SW_DWN,2006,22.11,22.08,20.24,20.15,18.04,19.67,17.88,18.48,20.19,20.83,19.16,19.72,19.86
ALLSKY_SFC_SW_DWN,2007,22.13,21.23,21.12,20.29,21.73,17.72,17.43,18.93,19.84,22.16,20.33,21.0,20.33
ALLSKY_SFC_SW_DWN,2008,21.44,21.7,21.06,21.17,20.89,19.61,17.64,18.81,21.1,20.01,20.89,21.51,20.48
ALLSKY_SFC_SW_DWN,2009,21.05,21.45,21.17,18.69,20.54,20.46,19.65,20.65,20.08,20.37,20.82,18.34,20.27
ALLSKY_SFC_SW_DWN,2010,22.09,18.8,20.83,20.59,19.75,18.95,16.68,18.5,19.95,20.19,21.09,20.22,19.81
ALLSKY_SFC_SW_DWN,2011,22.29,22.58,21.56,22.06,20.4,17.11,18.02,18.18,19.64,20.13,19.22,21.44,20.21
ALLSKY_SFC_SW_DWN,2012,22.99,22.41,21.81,19.58,20.59,17.88,17.05,18.0,19.9,21.09,20.29,19.83,20.11
ALLSKY_SFC_SW_DWN,2013,20.78,22.77,19.23,19.14,20.95,18.39,17.13,19.53,19.95,20.73,20.38,22.09,20.07
ALLSKY_SFC_SW_DWN,2014,22.03,22.34,20.81,21.16,19.91,18.71,18.28,19.0,20.27,19.29,20.68,21.84,20.35
ALLSKY_SFC_SW_DWN,2015,23.15,21.89,21.56,19.86,21.56,18.64,19.95,21.46,22.16,18.57,18.93,21.6,20.78
ALLSKY_SFC_SW_DWN,2016,21.51,23.56,20.83,19.27,21.14,18.7,17.7,20.72,20.78,21.45,20.6,21.85,20.67
ALLSKY_SFC_SW_DWN,2017,23.53,20.96,21.14,20.26,21.04,19.93,16.04,18.78,19.68,21.25,21.05,23.09,20.56
ALLSKY_SFC_SW_DWN,2018,23.13,20.97,20.23,18.94,19.01,18.66,19.49,19.72,21.94,20.74,20.25,20.71,20.31
ALLSKY_SFC_SW_DWN,2019,22.83,22.74,22.41,20.44,19.8,17.26,18.07,18.01,20.34,18.51,19.68,20.24,20.01
ALLSKY_SFC_SW_DWN,2020,21.95,21.75,20.87,19.52,19.36,19.21,15.13,17.9,20.69,19.81,19.52,21.88,19.79
ALLSKY_SFC_SW_DWN,2021,21.22,22.21,22.13,20.6,19.31,18.94,15.82,20.71,18.72,20.89,20.6,20.78,20.15
ALLSKY_SFC_SW_DWN,2022,20.61,22.42,21.59,18.13,20.08,18.69,16.48,16.94,20.5,19.93,18.57,20.03,19.48
ALLSKY_SFC_SW_DWN,2023,22.3,22.91,18.22,19.46,21.69,18.79,18.87,21.02,20.09,20.61,18.71,20.7,20.27
