# Area: Switzerland
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  46.82   Longitude 8.23 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 938.0 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,4.61,9.13,13.47,15.96,15.93,21.12,20.74,16.01,12.29,8.66,6.03,4.68,12.39
ALLSKY_SFC_SW_DWN,1985,5.3,7.88,10.4,14.68,17.01,19.35,20.26,18.0,14.96,10.65,5.63,4.76,12.43
ALLSKY_SFC_SW_DWN,1986,4.91,9.69,12.99,12.59,17.13,21.87,20.88,17.49,13.87,10.41,6.38,4.54,12.74
ALLSKY_SFC_SW_DWN,1987,5.35,8.14,12.56,15.28,16.28,17.37,18.12,16.01,13.93,8.39,5.81,4.94,11.87
ALLSKY_SFC_SW_DWN,1988,5.12,8.39,10.7,16.01,18.04,20.89,20.19,17.85,12.85,7.67,6.1,3.91,12.31
ALLSKY_SFC_SW_DWN,1989,7.11,8.68,12.1,12.2,19.17,20.33,17.94,17.84,12.75,9.64,6.26,5.11,12.45
ALLSKY_SFC_SW_DWN,1990,6.26,7.22,12.01,13.68,18.33,16.8,20.96,18.13,12.95,8.59,5.45,4.42,12.11
ALLSKY_SFC_SW_DWN,1991,5.9,9.28,10.94,14.76,16.64,18.92,21.04,19.66,13.55,8.93,5.71,5.18,12.56
ALLSKY_SFC_SW_DWN,1992,6.58,8.73,11.02,14.23,18.5,16.49,19.85,19.37,12.96,7.22,5.43,5.2,12.15
ALLSKY_SFC_SW_DWN,1993,6.28,9.72,12.72,14.61,17.85,19.43,18.58,17.7,11.31,8.06,6.4,4.18,12.25
ALLSKY_SFC_SW_DWN,1994,5.28,8.19,11.83,15.03,16.98,21.47,22.2,17.9,12.44,10.35,6.05,4.8,12.74
ALLSKY_SFC_SW_DWN,1995,5.15,7.08,11.61,14.33,17.1,19.24,22.05,17.07,12.4,11.19,5.87,4.42,12.33
ALLSKY_SFC_SW_DWN,1996,6.63,8.69,13.36,15.97,15.76,20.75,19.64,16.37,13.23,8.72,4.66,4.37,12.35
ALLSKY_SFC_SW_DWN,1997,6.63,9.28,12.99,17.1,18.86,17.11,18.83,19.33,16.16,10.13,5.64,3.98,13.02
ALLSKY_SFC_SW_DWN,1998,5.81,10.39,12.75,14.54,19.23,20.31,20.64,19.22,12.86,7.9,5.41,4.29,12.79
ALLSKY_SFC_SW_DWN,1999,5.89,9.22,12.09,15.03,17.93,19.04,21.58,17.23,13.69,9.03,5.25,3.61,12.48
ALLSKY_SFC_SW_DWN,2000,6.38,8.94,12.74,13.23,17.24,20.25,19.76,17.88,13.77,7.25,3.61,4.09,12.11
ALLSKY_SFC_SW_DWN,2001,4.67,8.29,8.47,12.93,17.64,21.58,19.41,18.6,11.4,10.03,5.97,4.8,12.0
ALLSKY_SFC_SW_DWN,2002,6.4,7.28,12.29,14.88,15.43,21.65,18.56,16.0,11.95,8.79,3.89,3.69,11.76
ALLSKY_SFC_SW_DWN,2003,5.55,10.37,13.11,15.15,18.0,23.62,21.47,20.37,14.89,8.56,5.83,4.11,13.43
ALLSKY_SFC_SW_DWN,2004,4.66,8.72,12.43,14.41,18.26,19.87,19.14,16.51,14.44,7.81,5.43,4.7,12.2
ALLSKY_SFC_SW_DWN,2005,6.12,9.26,14.64,14.42,18.61,22.37,19.08,15.99,13.29,9.23,5.96,4.53,12.81
ALLSKY_SFC_SW_DWN,2006,5.96,8.19,13.82,14.64,16.76,21.87,22.76,15.21,14.5,9.69,5.94,4.8,12.87
ALLSKY_SFC_SW_DWN,2007,5.33,8.16,12.05,19.23,17.05,18.94,21.57,16.03,14.77,10.34,6.03,5.15,12.91
ALLSKY_SFC_SW_DWN,2008,5.41,10.45,10.88,12.23,16.99,18.81,20.31,17.93,12.17,8.92,5.39,3.77,11.94
ALLSKY_SFC_SW_DWN,2009,5.76,8.87,13.16,14.49,18.93,19.27,20.01,19.38,14.36,9.23,5.15,4.06,12.75
ALLSKY_SFC_SW_DWN,2010,5.73,8.72,13.74,19.27,14.67,18.26,21.74,16.26,13.8,8.94,5.02,4.18,12.54
ALLSKY_SFC_SW_DWN,2011,5.81,8.97,13.02,18.75,19.97,17.89,18.01,19.47,14.88,10.76,6.68,3.75,13.18
ALLSKY_SFC_SW_DWN,2012,5.14,9.95,15.79,12.7,18.51,19.36,19.9,19.11,13.35,8.73,5.6,4.31,12.72
ALLSKY_SFC_SW_DWN,2013,5.55,8.84,12.23,13.73,14.23,19.41,21.52,18.64,14.13,7.52,5.15,5.07,12.19
ALLSKY_SFC_SW_DWN,2014,4.75,7.48,15.01,15.89,17.13,20.06,16.54,15.0,13.44,8.8,5.23,4.03,11.97
ALLSKY_SFC_SW_DWN,2015,5.19,8.28,13.04,17.61,16.41,20.7,22.88,17.62,11.64,8.97,7.16,5.35,12.93
ALLSKY_SFC_SW_DWN,2016,4.83,7.67,14.05,13.14,15.86,18.26,20.89,19.08,14.99,8.83,4.62,5.56,12.34
ALLSKY_SFC_SW_DWN,2017,6.18,8.63,13.39,17.61,19.35,21.89,20.8,17.88,12.14,10.94,5.65,4.44,13.27
ALLSKY_SFC_SW_DWN,2018,4.92,8.57,10.91,16.86,15.94,21.99,21.83,17.94,15.4,9.61,4.82,4.57,12.79
ALLSKY_SFC_SW_DWN,2019,5.91,10.67,15.42,13.59,16.0,22.15,20.59,17.36,14.15,9.03,4.18,4.17,12.78
ALLSKY_SFC_SW_DWN,2020,6.47,9.11,14.08,19.17,19.8,18.44,22.23,17.78,14.21,7.9,7.16,3.4,13.32
ALLSKY_SFC_SW_DWN,2021,4.95,9.29,15.59,16.36,17.39,20.43,17.53,17.58,14.35,10.09,5.9,4.87,12.88
ALLSKY_SFC_SW_DWN,2022,6.58,10.12,14.46,16.78,18.24,21.49,23.98,19.51,13.24,9.83,5.6,3.75,13.65
ALLSKY_SFC_SW_DWN,2023,5.11,10.4,11.77,14.43,16.26,21.53,20.68,17.9,15.45,9.98,5.66,4.0,12.77
