# Area: Uganda
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  1.37   Longitude 32.29 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1053.97 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1981,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1982,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1983,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
ALLSKY_SFC_SW_DWN,1984,20.84,21.56,23.91,21.98,20.75,18.51,18.16,18.56,22.54,22.52,21.62,21.35,21.02
ALLSKY_SFC_SW_DWN,1985,22.43,23.68,23.32,20.82,19.52,18.56,17.85,19.74,21.8,22.11,21.84,21.57,21.09
ALLSKY_SFC_SW_DWN,1986,21.69,20.75,21.83,19.11,21.22,17.96,17.99,19.43,20.49,20.33,21.59,20.73,20.26
ALLSKY_SFC_SW_DWN,1987,19.56,20.97,21.37,21.31,18.77,17.41,19.73,18.54,21.41,21.02,20.32,22.55,20.24
ALLSKY_SFC_SW_DWN,1988,20.61,21.09,20.9,20.66,20.33,20.27,16.35,19.59,18.89,21.14,21.32,21.11,20.18
ALLSKY_SFC_SW_DWN,1989,22.8,22.68,20.71,21.78,19.2,18.73,17.94,19.58,21.4,21.54,20.33,19.86,20.53
ALLSKY_SFC_SW_DWN,1990,21.9,18.51,21.96,21.56,19.98,19.8,18.41,19.89,21.74,22.55,22.43,21.44,20.86
ALLSKY_SFC_SW_DWN,1991,21.03,21.73,23.07,20.79,18.76,18.66,17.86,18.8,23.09,21.24,22.62,22.05,20.79
ALLSKY_SFC_SW_DWN,1992,20.3,22.61,25.45,20.31,21.09,17.41,17.84,19.62,20.92,20.62,22.21,20.36,20.72
ALLSKY_SFC_SW_DWN,1993,20.95,21.89,23.88,21.49,19.46,18.79,18.88,20.42,22.95,22.84,22.02,21.36,21.24
ALLSKY_SFC_SW_DWN,1994,21.77,22.59,22.13,23.09,20.44,19.28,18.26,19.31,22.65,22.66,19.61,22.5,21.18
ALLSKY_SFC_SW_DWN,1995,22.24,20.94,22.77,22.06,20.88,20.02,16.41,20.22,20.59,20.92,21.39,21.73,20.84
ALLSKY_SFC_SW_DWN,1996,21.01,20.74,21.44,23.03,19.09,16.77,17.97,19.84,22.09,22.08,20.9,21.68,20.55
ALLSKY_SFC_SW_DWN,1997,21.03,24.63,23.12,20.11,21.52,18.45,17.24,19.76,24.09,20.11,17.31,19.24,20.52
ALLSKY_SFC_SW_DWN,1998,19.8,22.52,24.26,22.08,20.58,18.38,16.82,19.08,22.33,19.63,21.72,22.39,20.78
ALLSKY_SFC_SW_DWN,1999,22.28,25.81,21.07,21.06,20.87,19.11,17.62,18.69,20.99,20.79,21.33,21.3,20.87
ALLSKY_SFC_SW_DWN,2000,23.17,24.63,23.76,20.17,20.97,19.11,18.68,19.07,22.82,20.16,21.0,21.09,21.21
ALLSKY_SFC_SW_DWN,2001,20.32,23.84,21.07,22.01,20.58,18.14,18.01,18.64,21.02,21.39,20.35,22.22,20.61
ALLSKY_SFC_SW_DWN,2002,19.96,23.63,21.18,21.77,20.82,18.7,19.13,19.17,22.44,21.35,21.82,20.27,20.83
ALLSKY_SFC_SW_DWN,2003,22.42,23.92,23.26,20.84,20.96,18.04,17.07,17.87,21.82,22.66,22.02,22.33,21.08
ALLSKY_SFC_SW_DWN,2004,21.44,22.47,21.84,20.44,21.46,18.57,19.02,19.85,21.15,21.4,21.49,21.84,20.91
ALLSKY_SFC_SW_DWN,2005,22.26,23.75,21.99,21.8,18.64,18.7,18.37,20.2,20.89,21.12,22.88,22.94,21.11
ALLSKY_SFC_SW_DWN,2006,22.8,22.35,21.78,21.36,19.12,19.78,17.98,19.06,21.88,22.5,19.19,20.48,20.68
ALLSKY_SFC_SW_DWN,2007,21.92,21.16,23.01,20.7,21.15,17.43,16.21,18.67,19.46,22.6,21.95,22.35,20.55
ALLSKY_SFC_SW_DWN,2008,21.29,21.94,21.44,22.52,21.21,18.8,17.21,20.09,21.43,20.17,21.77,22.26,20.83
ALLSKY_SFC_SW_DWN,2009,21.9,22.6,22.51,21.89,20.34,20.79,18.83,20.27,21.4,21.07,21.19,19.82,21.04
ALLSKY_SFC_SW_DWN,2010,22.85,18.51,21.24,21.02,19.69,19.01,18.2,19.09,21.19,21.38,21.3,20.16,20.31
ALLSKY_SFC_SW_DWN,2011,22.46,24.42,21.5,23.13,19.99,17.98,18.88,18.97,20.41,20.38,19.34,22.17,20.78
ALLSKY_SFC_SW_DWN,2012,24.47,23.69,22.59,19.22,21.32,17.53,16.96,18.04,20.59,22.07,21.66,20.88,20.75
ALLSKY_SFC_SW_DWN,2013,22.16,22.9,21.01,21.77,21.56,18.2,18.41,18.83,21.33,20.6,21.42,20.96,20.75
ALLSKY_SFC_SW_DWN,2014,22.13,21.24,21.91,22.59,19.93,19.09,18.14,18.98,20.16,20.43,20.61,21.77,20.58
ALLSKY_SFC_SW_DWN,2015,24.54,23.43,22.82,21.5,20.38,18.68,20.03,20.16,21.63,20.82,19.77,20.87,21.21
ALLSKY_SFC_SW_DWN,2016,19.9,23.85,23.48,19.72,19.75,18.67,18.17,20.41,21.38,22.34,20.74,23.0,20.94
ALLSKY_SFC_SW_DWN,2017,24.26,22.68,23.74,22.39,20.34,19.46,17.03,19.49,20.48,22.04,21.73,23.39,21.41
ALLSKY_SFC_SW_DWN,2018,22.17,23.42,19.0,18.72,19.41,18.35,18.9,18.79,22.66,21.46,22.11,20.25,20.41
ALLSKY_SFC_SW_DWN,2019,23.07,24.05,24.25,22.74,21.28,16.58,16.87,19.02,20.66,19.82,20.12,19.85,20.67
ALLSKY_SFC_SW_DWN,2020,21.59,22.71,21.15,20.47,19.74,18.32,15.31,18.7,20.94,19.16,20.81,22.67,20.12
ALLSKY_SFC_SW_DWN,2021,20.81,21.36,22.27,21.35,19.58,18.89,16.6,20.02,20.33,21.38,21.26,20.59,20.36
ALLSKY_SFC_SW_DWN,2022,21.61,20.74,22.75,20.01,20.58,18.54,16.49,17.83,20.96,20.85,18.3,19.27,19.82
ALLSKY_SFC_SW_DWN,2023,23.05,23.14,19.66,19.97,20.98,17.14,18.14,20.27,19.75,20.73,18.42,20.08,20.1
