# Area: Algeria
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  28.03   Longitude 1.66 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 549.88 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,8.56,12.65,20.74,25.26,29.28,34.41,35.15,32.7,30.74,25.43,16.98,14.53,23.93
T2M,1982,11.92,14.11,18.23,21.89,27.08,33.69,35.11,34.24,30.91,24.36,16.12,10.18,23.2
T2M,1983,9.23,14.06,18.17,24.42,29.0,32.64,35.62,36.08,30.59,23.59,19.11,11.83,23.74
T2M,1984,10.42,12.57,17.92,24.25,26.58,33.06,33.14,34.13,31.08,22.25,17.16,11.95,22.89
T2M,1985,10.08,17.03,17.1,22.78,26.57,34.43,34.61,33.72,29.69,23.68,19.87,11.44,23.43
T2M,1986,10.22,14.37,16.15,22.66,28.72,31.82,34.53,33.86,30.17,24.5,14.96,10.74,22.77
T2M,1987,11.27,14.29,19.54,24.89,29.99,34.34,36.28,35.16,30.61,25.01,16.52,14.61,24.43
T2M,1988,12.33,15.91,16.75,24.63,29.24,34.21,36.07,34.9,28.96,24.59,18.21,9.83,23.82
T2M,1989,9.57,13.82,18.19,22.02,27.61,32.67,33.87,34.47,32.11,25.68,20.09,15.53,23.85
T2M,1990,10.21,15.06,19.53,23.02,26.99,34.29,34.66,33.53,32.46,27.81,18.26,11.47,23.98
T2M,1991,10.65,12.16,17.67,22.33,26.3,32.96,35.17,34.0,30.44,24.29,16.72,11.35,22.89
T2M,1992,9.83,14.49,16.03,21.26,25.9,31.2,34.47,33.83,29.7,25.24,16.77,13.29,22.69
T2M,1993,10.41,13.5,17.42,23.44,27.99,35.63,35.96,34.31,30.92,25.77,18.31,12.63,23.91
T2M,1994,11.0,14.33,18.38,21.81,29.31,34.36,34.61,34.58,30.9,24.31,18.36,12.3,23.74
T2M,1995,10.38,15.36,17.87,21.9,29.82,32.73,35.73,35.62,31.68,23.27,18.92,14.16,24.0
T2M,1996,14.38,14.17,18.45,23.17,28.18,31.81,35.31,36.15,31.02,23.74,17.57,13.78,24.01
T2M,1997,13.12,15.29,17.36,21.8,28.56,34.92,36.5,34.57,30.72,23.83,18.36,13.56,24.09
T2M,1998,13.36,15.77,17.95,25.75,27.51,33.02,35.96,35.25,33.52,24.6,17.93,11.25,24.36
T2M,1999,11.24,11.06,18.82,25.08,30.83,35.17,36.62,36.36,33.53,26.93,17.22,10.75,24.54
T2M,2000,9.84,13.45,19.38,24.75,28.88,32.63,36.2,34.0,31.25,22.56,18.34,14.08,23.8
T2M,2001,12.68,14.0,22.62,22.59,28.41,34.11,36.74,35.11,33.88,27.61,19.41,14.28,25.19
T2M,2002,12.11,15.43,20.08,22.52,28.9,33.25,37.88,36.59,32.29,25.2,17.69,14.82,24.79
T2M,2003,11.63,13.17,18.72,23.71,29.98,33.68,36.82,34.05,31.15,28.37,18.33,12.69,24.42
T2M,2004,12.8,15.93,19.57,22.34,25.72,33.45,35.14,36.03,29.7,27.47,16.85,12.58,23.99
T2M,2005,9.68,11.85,19.71,24.92,31.11,33.28,37.36,35.71,31.6,26.64,18.9,12.24,24.49
T2M,2006,9.63,13.61,20.42,27.38,29.94,33.74,35.53,36.08,30.48,26.06,18.97,12.58,24.59
T2M,2007,13.95,16.91,17.55,24.17,28.05,34.33,35.32,35.66,33.45,26.68,18.19,12.53,24.77
T2M,2008,11.34,16.28,20.02,23.91,28.63,33.96,36.66,35.36,33.1,24.61,15.19,10.69,24.16
T2M,2009,11.27,13.68,18.65,21.93,28.55,34.16,36.45,34.89,29.85,25.23,17.84,15.21,24.04
T2M,2010,14.49,19.33,21.91,26.41,28.19,34.2,36.34,35.81,31.63,25.04,17.75,16.02,25.62
