# Area: Angola
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -11.2   Longitude 17.87 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1211.57 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,20.57,20.17,20.91,19.84,18.16,17.58,18.68,23.36,25.67,23.82,22.25,21.38,21.04
T2M,1982,20.76,20.7,20.95,20.74,17.88,16.85,17.67,21.75,24.7,22.57,20.84,21.09,20.54
T2M,1983,20.81,21.55,21.59,20.54,20.49,20.08,20.73,22.16,26.05,24.54,21.15,19.86,21.63
T2M,1984,19.56,20.21,20.98,20.41,19.57,18.92,19.48,23.09,25.33,22.83,20.78,20.05,20.93
T2M,1985,20.49,19.64,20.7,19.75,18.56,16.22,18.08,22.09,25.08,23.55,21.75,20.63,20.55
T2M,1986,19.97,20.02,20.55,20.63,18.03,16.69,18.15,22.5,24.89,21.87,21.02,20.39,20.39
T2M,1987,20.99,20.7,21.19,20.35,18.98,15.87,18.44,23.24,25.03,23.76,22.14,21.26,21.0
T2M,1988,20.86,21.14,20.86,21.34,18.34,19.57,20.08,23.98,25.76,23.81,20.99,20.74,21.45
T2M,1989,19.71,20.07,20.6,20.28,18.14,17.58,18.51,22.95,26.19,24.35,23.72,22.39,21.21
T2M,1990,21.35,20.85,21.3,21.13,20.34,20.03,19.79,22.67,25.59,23.41,21.79,20.82,21.59
T2M,1991,20.77,21.25,21.42,20.53,20.51,20.17,20.54,23.53,26.04,22.26,20.96,20.59,21.55
T2M,1992,20.71,21.2,21.63,21.18,19.86,18.78,19.14,21.99,25.3,22.84,21.29,21.1,21.25
T2M,1993,20.76,20.9,20.46,21.15,19.08,17.37,18.89,22.35,24.97,23.46,21.46,21.48,21.03
T2M,1994,20.81,21.05,22.83,22.74,22.98,20.69,20.12,23.46,26.01,23.25,21.44,20.99,22.2
T2M,1995,20.97,20.65,21.21,21.07,20.6,19.07,19.71,24.32,25.18,24.38,22.02,20.63,21.66
T2M,1996,20.53,20.78,21.17,20.52,20.36,18.35,19.51,23.74,25.67,24.66,22.24,21.0,21.55
T2M,1997,20.79,20.99,21.5,20.5,18.72,20.55,19.83,23.23,25.39,23.4,23.3,21.76,21.66
T2M,1998,21.7,22.45,22.87,24.28,23.76,21.24,21.45,24.45,25.96,25.03,22.36,21.42,23.08
T2M,1999,21.37,22.15,22.37,23.51,24.02,21.95,21.51,23.85,25.68,23.25,21.71,21.52,22.74
T2M,2000,22.56,22.29,22.18,24.27,24.66,22.55,20.74,23.19,25.99,23.92,21.79,20.7,22.9
T2M,2001,20.5,20.83,21.11,21.38,20.47,19.76,20.21,23.73,25.66,25.27,21.5,21.43,21.83
T2M,2002,21.7,22.18,22.16,22.9,22.28,21.82,22.34,24.04,26.36,25.22,24.31,22.48,23.15
T2M,2003,22.59,22.2,23.83,23.11,23.87,22.73,20.99,24.22,26.98,27.18,23.84,21.99,23.63
T2M,2004,22.75,23.04,23.52,22.37,21.77,21.32,21.02,24.79,25.73,25.37,24.08,23.09,23.24
T2M,2005,21.94,22.87,23.89,25.68,25.12,22.09,21.79,25.45,27.25,24.98,23.65,23.4,24.01
T2M,2006,23.25,23.89,23.99,24.17,24.65,22.25,21.65,23.66,26.6,25.6,22.09,21.83,23.63
T2M,2007,22.22,22.09,22.78,23.43,22.44,21.62,20.88,23.98,25.27,22.62,21.25,20.3,22.4
T2M,2008,20.45,20.69,20.83,20.83,20.36,19.19,20.73,23.68,26.89,26.02,22.35,21.82,21.99
T2M,2009,21.84,21.7,21.84,22.88,23.53,23.06,21.26,23.6,25.92,22.78,21.29,20.97,22.55
