# Area: Azerbaijan
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  40.14   Longitude 47.58 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 95.51 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,5.57,5.37,7.93,11.42,16.76,23.48,28.45,26.36,22.97,16.98,9.53,7.79,15.28
T2M,1982,2.3,1.6,5.31,15.26,19.64,25.04,28.48,27.12,23.07,14.07,6.12,3.04,14.32
T2M,1983,1.58,5.25,6.81,15.4,21.39,25.21,30.83,27.92,21.86,15.85,10.54,4.52,15.65
T2M,1984,4.0,-0.51,6.27,14.26,18.37,24.92,30.97,27.75,23.97,16.19,9.85,0.7,14.77
T2M,1985,2.21,2.92,4.63,14.86,22.67,27.29,27.64,28.46,23.53,14.97,11.23,4.19,15.44
T2M,1986,4.47,3.52,4.63,14.84,19.08,25.47,29.21,29.46,24.42,15.53,7.74,3.58,15.23
T2M,1987,4.85,4.81,6.22,12.34,21.96,27.73,28.75,28.08,22.01,11.33,8.58,5.04,15.2
T2M,1988,2.97,3.52,8.29,15.26,19.06,27.33,30.18,27.35,22.87,16.84,9.73,6.39,15.85
T2M,1989,2.29,3.72,10.73,17.91,21.92,27.91,31.31,29.77,23.53,16.66,10.89,4.9,16.87
T2M,1990,1.82,5.19,9.52,13.6,19.05,26.9,29.86,27.77,24.81,15.92,12.11,4.62,15.98
T2M,1991,2.56,3.21,5.99,14.53,19.33,25.98,30.76,28.31,22.98,18.19,8.87,3.35,15.41
T2M,1992,1.86,3.11,6.94,12.94,18.03,25.25,27.78,26.49,21.85,15.94,9.25,3.21,14.42
T2M,1993,1.67,1.68,7.89,13.98,20.32,25.18,28.39,28.66,22.5,14.72,3.1,3.14,14.35
T2M,1994,3.86,1.21,7.81,14.96,20.83,24.56,28.39,28.64,24.08,17.64,10.15,2.77,15.49
T2M,1995,5.22,6.15,9.37,17.07,22.48,27.36,29.44,29.01,24.0,15.09,11.74,4.7,16.85
T2M,1996,2.44,4.71,6.5,12.51,22.4,26.11,30.94,29.22,24.92,17.17,10.16,8.05,16.3
T2M,1997,4.45,3.31,6.48,15.73,21.59,26.47,28.59,29.64,21.11,19.83,9.84,5.36,16.11
T2M,1998,2.62,3.68,9.1,18.31,21.78,29.85,30.36,30.86,24.58,18.56,12.29,6.83,17.47
T2M,1999,5.26,8.53,9.98,16.69,21.09,27.62,30.21,32.49,24.4,18.59,9.95,7.82,17.77
