# Area: Bhutan
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  27.51   Longitude 90.43 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 3134.16 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,-0.9,1.67,2.82,6.1,10.17,13.22,13.7,13.71,11.53,9.42,3.13,0.68,7.13
T2M,1982,1.02,-0.19,2.94,6.22,10.0,12.75,13.69,13.44,12.03,7.69,3.67,0.61,7.03
T2M,1983,-2.26,-2.65,1.87,4.51,9.23,12.97,14.1,13.49,12.34,7.83,3.52,0.25,6.32
T2M,1984,-1.59,0.54,3.75,6.78,10.1,13.55,13.18,13.43,10.93,9.32,2.79,1.02,7.0
T2M,1985,-1.18,-0.64,3.93,7.09,10.01,13.28,12.83,13.94,11.59,8.04,2.93,1.91,7.02
T2M,1986,0.34,0.63,2.5,5.71,8.96,12.82,13.58,13.44,11.18,6.59,3.96,0.41,6.71
T2M,1987,0.24,1.27,2.78,6.06,9.23,13.61,14.01,12.74,12.2,8.33,5.42,2.85,7.42
T2M,1988,1.0,1.87,3.16,7.47,10.85,13.26,14.16,13.55,12.27,8.75,3.99,2.12,7.72
T2M,1989,-0.87,-0.95,2.89,5.29,10.54,12.81,13.55,13.17,12.16,8.46,2.83,0.19,6.72
T2M,1990,1.77,0.05,1.88,5.48,10.49,13.84,13.58,13.48,11.99,8.0,4.35,1.69,7.26
T2M,1991,-1.58,0.87,3.3,5.79,10.26,13.14,13.97,13.18,11.94,7.82,2.74,0.73,6.88
T2M,1992,-0.09,-2.29,3.35,6.47,8.87,12.52,13.2,13.35,11.86,7.8,3.03,-0.02,6.53
T2M,1993,-1.29,1.29,1.95,5.82,9.94,12.76,14.03,13.58,11.39,8.72,4.68,2.04,7.11
T2M,1994,0.82,-0.64,3.22,5.76,10.27,13.65,14.35,13.76,12.5,7.97,2.95,0.2,7.11
T2M,1995,-2.22,-1.12,3.0,5.59,10.96,13.88,13.37,13.35,11.86,8.52,3.75,0.63,6.84
T2M,1996,-0.92,0.76,3.84,6.19,10.59,12.35,13.83,13.33,11.79,8.18,3.72,1.49,7.11
T2M,1997,-1.43,-2.53,2.63,4.75,8.66,12.72,14.17,13.43,11.18,6.97,3.79,0.55,6.29
T2M,1998,-0.65,0.74,2.16,6.9,11.46,13.95,14.22,13.59,12.47,9.88,5.44,1.53,7.68
T2M,1999,-0.24,3.5,3.94,8.43,11.24,13.39,13.78,13.28,12.18,8.71,5.06,1.04,7.87
T2M,2000,-0.76,-2.17,1.46,6.7,11.15,13.62,13.9,13.64,11.48,8.96,4.43,1.75,7.04
T2M,2001,0.07,1.43,2.67,6.35,10.38,13.26,14.52,13.72,12.15,8.35,4.89,1.22,7.45
T2M,2002,-0.72,1.73,3.51,6.78,10.18,13.13,13.99,13.3,11.36,7.57,4.16,1.39,7.23
T2M,2003,0.64,0.34,3.0,7.39,9.31,12.88,13.5,14.32,12.65,8.82,4.43,1.14,7.4
T2M,2004,-0.66,0.97,5.46,7.16,10.6,12.86,13.12,13.9,12.17,7.12,2.83,1.88,7.3
T2M,2005,-0.2,1.11,4.11,6.86,9.4,13.39,13.99,14.05,12.46,8.03,3.92,1.46,7.41
T2M,2006,2.22,3.73,3.16,6.09,10.81,13.14,14.76,13.92,12.05,8.03,3.47,2.04,7.81
T2M,2007,0.14,-0.06,3.79,8.12,11.46,13.03,13.94,14.02,11.93,9.29,4.31,1.64,7.68
T2M,2008,-0.05,-0.41,3.22,6.95,10.48,13.17,14.04,13.33,12.02,8.11,5.11,3.01,7.44
T2M,2009,2.0,2.37,3.24,7.7,9.89,13.02,14.51,13.74,12.22,8.71,4.34,1.2,7.77
