# Area: Cabo Verde
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  16.0   Longitude -24.01 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 0.0 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,22.3,20.99,22.16,21.87,22.04,22.68,24.14,25.7,26.39,25.78,25.01,23.96,23.6
T2M,1982,22.72,21.52,21.67,21.87,22.32,22.75,23.52,24.46,24.55,25.24,24.7,22.59,23.17
T2M,1983,21.62,21.67,22.4,22.23,21.99,22.72,23.66,24.35,25.3,25.72,25.11,23.74,23.38
T2M,1984,21.81,21.11,20.82,21.75,22.22,22.41,24.4,24.45,24.87,24.34,24.16,22.96,22.95
T2M,1985,21.53,20.81,20.81,20.87,21.14,22.74,24.31,25.39,26.24,25.82,24.81,23.19,23.15
T2M,1986,21.15,20.29,20.33,20.82,21.61,22.34,23.59,24.98,26.01,25.46,24.54,22.79,22.84
T2M,1987,21.89,21.4,22.25,22.72,22.7,23.41,23.89,25.17,26.17,25.89,25.42,24.04,23.76
T2M,1988,21.98,21.19,21.87,22.26,22.54,23.02,24.53,25.57,26.26,25.47,24.83,23.01,23.55
T2M,1989,21.77,21.17,20.91,20.93,21.89,23.12,24.27,26.27,26.08,25.77,24.6,23.75,23.39
T2M,1990,21.78,22.08,21.84,22.25,22.85,22.63,24.23,25.91,26.52,26.15,25.03,23.29,23.72
T2M,1991,21.88,21.04,20.71,21.33,21.86,22.5,23.46,24.95,25.87,25.26,24.92,23.36,23.11
T2M,1992,22.02,21.55,21.83,21.72,22.25,22.39,23.56,24.98,25.66,25.03,24.51,22.48,23.17
T2M,1993,21.19,21.08,21.41,21.48,21.95,22.35,23.68,25.24,25.39,25.05,23.53,22.45,22.91
T2M,1994,20.99,20.72,20.53,21.23,21.43,22.29,23.8,24.94,25.37,25.19,24.69,23.2,22.88
T2M,1995,22.11,21.76,21.05,21.52,22.52,23.59,24.63,26.57,26.27,26.6,26.21,23.97,23.91
T2M,1996,22.81,22.04,21.53,22.34,23.26,23.75,24.52,25.63,25.71,25.73,25.11,23.53,23.84
T2M,1997,22.55,22.86,22.34,22.58,22.96,23.49,23.96,24.89,25.91,25.82,25.0,22.93,23.78
T2M,1998,22.42,22.82,22.64,22.13,22.39,23.08,24.33,25.95,26.19,26.74,25.77,23.51,24.0
T2M,1999,21.67,20.76,20.39,21.04,21.83,22.82,24.01,25.77,26.38,25.72,24.53,23.44,23.21
T2M,2000,21.44,21.24,22.05,22.01,22.13,22.9,23.71,25.57,25.86,25.59,24.49,23.42,23.37
T2M,2001,22.47,21.75,22.0,21.87,22.11,22.97,24.42,25.89,26.51,26.22,25.31,24.5,23.85
T2M,2002,23.67,23.02,22.42,22.03,22.36,22.5,23.42,24.82,25.97,26.26,24.87,23.47,23.74
T2M,2003,22.41,21.0,21.24,21.83,22.5,23.21,24.55,26.37,26.69,26.58,25.09,24.11,23.82
T2M,2004,22.59,22.25,21.81,21.92,22.49,22.88,24.61,26.03,26.47,26.34,25.46,23.67,23.88
T2M,2005,22.43,20.98,22.11,22.68,23.06,23.83,25.08,25.99,26.72,26.52,25.31,24.34,24.11
T2M,2006,22.17,21.66,21.45,21.77,22.16,22.58,24.15,26.03,26.84,26.76,26.41,24.08,23.85
T2M,2007,22.58,21.91,21.72,21.72,22.34,23.06,24.56,25.7,26.34,25.78,24.71,23.02,23.63
T2M,2008,22.18,21.71,21.99,22.46,22.73,23.36,24.64,26.3,26.94,26.16,25.11,23.13,23.9
T2M,2009,21.24,20.25,20.58,21.15,21.76,23.05,25.05,26.66,27.17,26.8,25.73,24.29,23.67
