# Area: Costa Rica
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  9.75   Longitude -83.75 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1064.94 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,18.52,19.25,20.05,20.51,20.99,20.26,19.62,19.75,19.79,19.57,19.57,19.4,19.77
T2M,1982,18.61,19.02,19.36,20.13,20.81,20.61,19.66,19.81,19.89,19.29,19.64,19.45,19.69
T2M,1983,19.84,20.24,21.37,21.72,21.64,21.04,20.46,19.96,19.76,19.34,19.89,19.27,20.38
T2M,1984,18.75,19.53,20.35,20.86,21.03,19.78,19.43,19.78,19.61,19.67,18.91,19.01,19.73
T2M,1985,18.1,18.98,19.8,20.66,21.08,19.88,19.15,19.22,19.53,19.59,19.65,19.18,19.57
T2M,1986,18.62,19.1,19.65,21.16,21.32,20.16,19.35,19.42,19.72,19.42,19.51,19.23,19.72
T2M,1987,18.74,19.71,21.02,20.62,20.9,20.54,20.16,19.67,20.22,20.22,20.13,20.08,20.17
T2M,1988,19.61,19.87,20.28,21.21,21.61,20.47,19.9,19.96,19.84,19.7,19.7,19.32,20.12
T2M,1989,19.39,18.78,19.5,21.06,21.32,20.42,19.83,20.08,19.97,19.87,20.12,19.03,19.95
T2M,1990,19.55,19.24,20.08,21.12,21.31,20.65,19.91,20.19,19.93,20.01,20.01,19.36,20.12
T2M,1991,18.93,19.06,20.51,21.4,21.02,20.63,20.1,19.94,20.06,19.79,19.52,19.13,20.01
T2M,1992,19.24,19.85,20.52,21.61,21.39,21.55,19.84,19.93,20.06,19.79,19.87,19.66,20.27
T2M,1993,19.8,19.82,20.43,21.81,21.29,20.81,20.15,20.21,19.81,20.09,19.85,19.67,20.31
T2M,1994,19.28,19.74,20.48,21.12,21.73,21.05,20.44,20.39,20.64,20.18,19.99,19.63,20.39
T2M,1995,19.62,19.94,20.91,21.86,21.16,20.9,20.27,20.52,20.2,20.35,20.04,19.37,20.43
