# Area: Czechoslovakia
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  49.0   Longitude 20.0 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1033.53 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,-9.84,-7.34,-0.16,2.35,9.02,13.18,13.04,12.58,10.1,5.01,-2.89,-8.01,3.14
T2M,1982,-8.91,-8.25,-2.97,0.29,9.21,12.83,14.25,14.18,13.02,5.92,-0.11,-3.1,3.93
T2M,1983,-4.23,-8.31,-2.02,5.12,10.58,12.12,15.21,14.1,10.26,4.0,-2.42,-5.9,4.12
T2M,1984,-6.86,-7.37,-5.07,2.55,8.09,10.15,11.81,13.23,9.62,5.97,-0.12,-6.3,3.0
T2M,1985,-12.32,-12.32,-2.28,3.31,9.82,9.7,13.54,13.73,8.82,4.25,-4.47,-2.7,2.52
T2M,1986,-7.81,-11.1,-2.78,5.21,11.08,12.03,13.03,14.23,9.05,4.28,-0.08,-6.22,3.49
T2M,1987,-12.41,-5.35,-8.52,2.82,7.14,12.43,15.25,11.06,11.35,4.77,-0.5,-5.08,2.77
T2M,1988,-3.47,-4.62,-4.91,2.65,9.21,11.4,15.12,14.01,9.59,4.37,-6.06,-5.36,3.53
T2M,1989,-6.21,-3.78,0.74,5.48,8.74,10.77,13.61,13.63,10.28,4.97,-2.28,-4.57,4.33
T2M,1990,-3.78,-1.09,1.71,2.79,9.2,11.91,13.05,14.23,7.14,4.51,-0.04,-7.09,4.41
T2M,1991,-6.96,-9.26,0.02,1.93,5.48,11.67,15.27,13.5,10.12,2.86,-0.95,-7.76,3.06
T2M,1992,-6.3,-5.39,-2.88,3.07,8.07,12.86,14.9,17.92,9.06,2.5,-1.44,-7.34,3.78
T2M,1993,-6.17,-6.35,-3.84,3.34,11.5,11.74,12.46,13.83,8.44,5.45,-3.64,-4.14,3.62
T2M,1994,-3.84,-6.53,-0.23,3.72,8.32,11.77,16.51,15.07,11.93,2.61,-0.96,-4.24,4.58
T2M,1995,-8.1,-3.3,-3.42,2.35,7.64,12.14,16.05,13.49,8.3,6.35,-4.21,-7.43,3.36
T2M,1996,-8.55,-10.18,-6.78,2.88,10.19,12.95,11.98,13.19,5.89,4.33,1.24,-9.19,2.36
T2M,1997,-7.33,-5.24,-2.6,-1.22,9.12,12.43,13.1,14.13,8.87,1.57,-1.05,-5.19,3.1
T2M,1998,-5.07,-2.69,-4.56,4.58,8.71,13.61,13.9,13.98,8.81,4.74,-4.45,-8.63,3.61
T2M,1999,-5.15,-7.19,-1.61,4.62,8.35,13.41,15.18,12.82,11.85,3.89,-2.8,-7.01,3.92
T2M,2000,-9.2,-5.11,-3.26,5.47,10.83,13.27,12.37,15.23,8.74,7.71,3.06,-2.85,4.71
T2M,2001,-6.59,-5.63,-1.45,3.31,9.79,10.75,14.98,15.39,8.01,7.61,-3.84,-10.7,3.53
T2M,2002,-6.42,-2.41,-0.68,3.31,11.35,13.63,15.84,15.18,8.57,2.9,0.71,-7.47,4.58
T2M,2003,-9.04,-10.73,-3.05,2.0,12.03,14.72,15.1,15.77,9.72,1.5,1.18,-4.6,3.8
T2M,2004,-10.35,-6.37,-2.99,4.4,7.31,12.07,13.89,13.95,8.67,6.0,-0.78,-5.25,3.4
T2M,2005,-7.28,-8.96,-5.61,4.23,9.76,11.67,14.87,13.34,10.54,5.39,-1.42,-6.74,3.38
T2M,2006,-9.84,-8.61,-5.43,4.39,8.45,12.95,17.0,12.79,11.47,6.55,1.44,-1.9,4.17
T2M,2007,-2.38,-3.64,0.3,5.07,11.02,14.63,15.82,15.1,8.05,4.07,-3.26,-5.34,5.01
T2M,2008,-4.95,-3.86,-1.44,4.74,9.82,14.15,14.36,14.58,8.48,5.85,0.95,-4.34,4.89
T2M,2009,-8.1,-6.81,-3.09,6.58,9.45,11.85,15.52,14.98,11.87,3.56,0.85,-4.45,4.4
T2M,2010,-8.86,-6.23,-3.2,4.09,9.25,12.83,16.26,14.51,8.37,2.22,2.25,-8.72,3.61
T2M,2011,-6.39,-7.08,-0.84,5.76,9.66,13.31,13.98,15.45,12.2,4.06,-0.72,-4.21,4.66
T2M,2012,-7.52,-12.05,-2.25,4.62,10.59,14.17,16.43,15.74,11.59,5.21,1.53,-7.0,4.3
T2M,2013,-7.64,-6.05,-5.64,3.68,10.07,13.85,15.19,15.67,8.48,6.41,0.81,-4.46,4.25
T2M,2014,-3.49,-2.33,2.23,5.86,8.95,12.36,15.53,13.45,11.11,6.49,2.47,-3.48,5.81
T2M,2015,-5.01,-5.87,-1.46,2.75,9.09,13.11,16.51,17.81,10.9,4.58,1.8,-1.81,5.27
T2M,2016,-7.19,-1.8,-0.29,5.33,9.56,14.36,15.46,13.96,12.14,2.99,-1.34,-6.04,4.77
T2M,2017,-10.82,-3.53,1.19,3.01,9.89,14.28,14.74,16.12,9.32,5.12,-1.02,-5.04,4.48
T2M,2018,-4.33,-8.75,-4.87,8.33,12.25,14.02,15.22,16.66,11.34,7.01,0.98,-5.44,5.28
T2M,2019,-8.87,-3.95,-0.02,4.76,7.6,16.63,14.67,16.33,10.48,6.34,3.2,-2.95,5.39
T2M,2020,-5.4,-2.81,-1.07,4.13,6.62,13.69,14.59,15.92,11.89,5.52,0.67,-2.96,5.08
T2M,2021,-6.89,-5.25,-3.28,0.95,7.16,15.11,17.09,13.86,10.68,3.8,0.37,-6.0,4.01
T2M,2022,-6.24,-3.91,-3.41,2.38,10.43,15.32,16.16,17.0,9.37,7.71,1.72,-4.04,5.26
T2M,2023,-3.26,-5.17,-0.4,2.87,9.21,13.72,16.04,16.57,13.85,7.49,-0.64,-3.44,5.64
