# Area: Denmark
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  56.26   Longitude 9.5 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 36.83 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,-0.83,-0.21,2.17,5.17,11.91,13.48,15.25,14.92,13.39,7.4,4.13,-5.06,6.84
T2M,1982,-4.94,-0.95,3.11,6.0,10.43,14.27,16.88,16.11,13.09,9.44,5.64,1.81,7.62
T2M,1983,4.09,-1.63,3.13,6.35,10.21,13.83,16.8,16.16,12.54,8.99,3.59,1.12,8.0
T2M,1984,0.17,-0.25,0.58,6.15,11.34,13.71,15.32,16.5,11.51,10.16,5.33,1.85,7.72
T2M,1985,-6.05,-4.11,1.27,4.63,11.03,13.09,15.75,15.0,11.54,9.25,0.81,1.6,6.22
T2M,1986,-2.47,-5.51,1.23,4.18,10.71,14.61,15.2,14.3,10.33,8.93,6.45,1.44,6.69
T2M,1987,-6.21,-0.39,-1.8,6.36,9.13,11.65,14.87,14.21,11.68,8.72,4.85,2.18,6.3
T2M,1988,2.66,1.84,1.24,5.29,11.76,15.83,15.94,15.1,13.01,8.03,3.29,3.04,8.11
T2M,1989,4.42,4.12,5.26,5.69,10.82,14.37,16.37,14.67,13.17,9.78,3.94,1.48,8.7
T2M,1990,3.35,5.05,5.72,7.2,12.23,14.55,15.53,16.48,11.53,9.11,3.21,1.57,8.82
T2M,1991,1.42,-1.75,4.01,5.94,9.34,11.4,17.41,16.4,13.02,8.08,4.51,2.66,7.77
T2M,1992,2.32,3.0,3.7,5.5,12.49,16.72,16.91,15.38,12.91,5.92,4.56,1.95,8.46
T2M,1993,1.15,1.0,2.35,7.08,12.83,13.53,14.25,13.85,10.68,6.71,1.35,1.08,7.19
T2M,1994,1.67,-2.07,2.63,6.84,10.76,12.88,19.13,16.67,12.32,7.74,6.04,3.74,8.27
T2M,1995,-0.74,3.16,2.56,6.04,9.63,14.15,17.18,17.83,13.09,11.07,3.03,-2.97,7.86
T2M,1996,-2.77,-3.73,0.1,5.78,8.71,13.82,14.88,17.75,11.4,9.59,4.08,-1.58,6.53
T2M,1997,-1.79,2.27,3.22,5.42,9.67,15.14,17.54,20.13,13.1,7.34,3.63,1.2,8.11
T2M,1998,1.39,4.51,3.01,6.09,11.64,13.66,14.19,14.2,13.29,8.04,0.34,0.13,7.56
T2M,1999,1.26,0.87,3.03,7.22,10.21,13.23,16.94,16.17,15.51,8.66,4.81,1.42,8.32
T2M,2000,2.57,2.94,3.01,7.79,12.22,13.17,14.86,14.78,12.41,10.27,6.33,2.86,8.62
T2M,2001,0.17,-0.46,-0.04,4.95,10.72,12.43,16.99,16.43,12.26,11.33,4.35,-0.15,7.47
T2M,2002,2.43,3.49,3.42,6.86,12.26,14.69,16.44,18.94,13.77,6.29,3.03,-1.12,8.4
T2M,2003,-0.77,-2.08,2.96,6.5,10.73,15.4,17.58,17.0,13.44,5.93,5.51,2.9,7.98
T2M,2004,-2.19,1.21,2.84,7.44,11.0,13.01,14.69,17.39,13.22,8.58,4.66,3.39,7.96
T2M,2005,2.85,-0.84,0.91,6.67,10.17,13.56,16.69,15.16,13.49,10.28,5.57,1.64,8.07
T2M,2006,-2.01,-0.35,-1.13,5.4,10.65,14.49,18.95,16.71,15.4,11.3,7.08,6.03,8.59
T2M,2007,3.96,1.0,5.16,8.45,10.85,15.62,15.07,16.3,12.24,7.84,3.97,2.93,8.66
T2M,2008,3.18,3.88,2.86,6.75,12.23,14.1,16.95,16.05,12.45,9.03,4.79,1.56,8.67
T2M,2009,-0.3,-0.44,3.32,9.19,10.85,13.74,16.85,16.51,13.36,6.89,6.5,-0.45,8.04
T2M,2010,-5.84,-4.39,1.57,6.04,8.83,13.62,17.84,15.67,11.91,7.73,1.53,-5.15,5.84
T2M,2011,-0.24,-1.04,2.06,9.38,10.49,14.56,16.34,15.71,13.41,9.06,6.11,3.08,8.29
T2M,2012,1.03,-1.75,5.02,5.44,11.59,12.51,15.56,15.91,12.09,7.91,4.99,-1.62,7.43
T2M,2013,-0.86,-1.7,-1.73,4.67,11.68,13.71,16.97,16.3,12.71,9.99,4.66,4.66,7.65
T2M,2014,0.75,3.36,5.34,8.21,11.6,14.91,18.91,15.5,14.23,11.41,6.37,2.08,9.42
