# Area: Eswatini
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -26.52   Longitude 31.47 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 833.33 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,23.29,20.61,20.0,19.48,15.54,12.7,13.98,15.19,16.56,17.38,22.4,21.85,18.23
T2M,1982,22.59,21.71,21.7,18.22,16.48,13.84,14.57,16.51,18.66,19.77,20.56,23.56,19.01
T2M,1983,23.62,23.36,22.08,20.72,17.14,14.35,13.84,14.44,19.92,18.97,20.24,21.01,19.11
T2M,1984,21.0,20.57,20.55,17.8,16.7,13.03,13.81,15.2,18.84,20.28,19.63,22.42,18.32
T2M,1985,23.29,22.14,21.12,19.53,16.0,14.67,14.04,17.39,19.54,21.39,20.94,21.42,19.27
T2M,1986,21.68,20.51,21.24,19.34,16.69,14.02,14.69,17.99,18.92,20.37,20.37,21.71,18.96
T2M,1987,21.86,23.29,21.21,19.41,17.84,13.24,13.82,15.37,17.49,17.23,20.18,22.52,18.59
T2M,1988,23.11,23.28,21.68,19.18,16.85,13.88,14.18,17.18,18.78,18.76,19.04,20.4,18.85
T2M,1989,21.76,20.6,20.88,18.17,16.95,13.76,13.51,17.76,19.25,19.94,20.32,20.85,18.64
T2M,1990,22.1,21.19,21.5,19.71,16.09,14.3,15.21,15.27,18.33,20.55,21.73,22.13,19.0
T2M,1991,23.02,21.73,20.28,18.35,16.55,12.71,13.66,15.9,20.13,21.07,22.46,22.06,18.98
T2M,1992,23.62,24.61,22.63,21.51,17.73,14.88,14.39,15.26,21.28,21.87,21.71,23.14,20.2
T2M,1993,22.72,21.71,19.69,19.44,16.78,13.18,15.18,15.51,20.29,19.59,19.85,22.64,18.87
T2M,1994,22.04,21.74,21.75,19.45,16.67,13.97,13.15,15.51,19.55,17.63,22.4,22.72,18.86
T2M,1995,23.12,23.42,21.36,18.16,15.12,13.32,13.94,16.47,19.99,21.63,21.18,20.25,18.97
T2M,1996,21.35,20.93,19.09,17.08,15.81,13.23,11.49,14.37,19.8,21.5,21.21,22.62,18.2
T2M,1997,22.54,22.97,20.96,17.59,15.28,14.27,13.57,16.86,19.28,19.54,21.0,22.06,18.8
T2M,1998,23.68,23.69,23.71,20.81,17.6,15.82,15.24,16.74,19.36,19.8,21.37,21.47,19.92
T2M,1999,23.02,21.91,22.18,20.13,17.36,15.0,14.84,16.87,18.05,18.74,22.11,22.63,19.39
T2M,2000,20.75,21.18,21.2,17.3,14.74,14.74,13.77,16.66,19.2,20.18,20.22,22.54,18.53
T2M,2001,22.61,22.17,21.91,20.21,17.23,15.72,14.16,17.7,18.9,21.11,21.19,21.93,19.55
T2M,2002,23.86,22.81,22.77,20.62,17.09,13.92,14.14,17.06,18.41,21.04,20.62,22.57,19.56
T2M,2003,24.09,24.23,23.4,21.57,17.41,14.02,14.07,15.7,19.01,22.13,22.55,25.03,20.25
T2M,2004,23.43,22.4,21.24,19.44,16.91,14.02,13.03,17.57,17.88,21.19,23.49,23.15,19.47
T2M,2005,23.61,23.2,20.95,19.59,17.99,16.6,15.53,18.93,21.19,21.63,21.93,21.97,20.24
T2M,2006,22.52,22.45,19.06,18.25,14.21,13.07,15.39,14.58,18.6,22.18,22.02,24.1,18.85
T2M,2007,23.48,24.35,23.39,19.82,16.58,14.17,14.26,17.21,21.04,19.51,22.03,21.44,19.74
T2M,2008,22.09,23.14,21.88,17.95,17.16,14.61,14.67,17.69,19.41,21.89,22.32,23.35,19.67
T2M,2009,23.67,22.67,21.25,19.75,17.37,14.9,13.54,15.28,20.15,20.79,20.76,23.29,19.43
T2M,2010,23.04,23.22,22.31,18.72,17.39,13.81,14.27,16.27,20.55,21.38,21.95,22.49,19.6
T2M,2011,21.47,22.03,23.49,18.77,17.39,13.79,12.32,14.67,19.47,19.99,22.13,22.44,18.98
T2M,2012,22.33,23.24,22.05,18.51,18.35,15.09,14.56,16.92,16.86,19.51,21.23,22.45,19.25
T2M,2013,22.29,22.2,20.72,17.99,15.81,14.75,14.82,16.13,20.28,19.29,21.86,21.06,18.91
T2M,2014,22.97,23.12,20.98,18.17,17.46,15.11,14.42,17.04,20.13,19.16,21.05,22.32,19.3
T2M,2015,22.85,22.34,22.48,19.44,18.88,15.03,15.57,17.87,19.25,22.77,22.98,24.92,20.36
T2M,2016,23.16,24.06,23.11,21.18,16.82,15.63,14.13,16.76,20.46,20.47,20.69,22.84,19.92
T2M,2017,21.69,22.43,21.25,19.52,16.93,15.24,15.63,16.46,20.29,20.39,20.79,21.62,19.33
T2M,2018,22.17,22.23,21.69,19.67,16.83,14.87,14.06,17.52,20.67,18.96,20.93,24.6,19.5
T2M,2019,23.42,23.82,23.0,20.17,17.98,15.24,16.45,19.01,18.94,22.05,23.25,22.6,20.48
T2M,2020,23.52,22.65,21.89,19.34,16.46,13.52,13.54,16.43,18.7,20.84,23.78,24.84,19.62
T2M,2021,23.96,21.14,20.97,19.99,16.91,14.41,13.39,16.99,19.13,19.5,22.13,22.76,19.26
T2M,2022,22.18,23.28,21.44,18.2,15.8,12.86,14.5,15.8,20.27,23.33,21.88,22.27,19.3
T2M,2023,22.53,21.55,20.7,19.83,17.5,15.69,14.1,16.51,18.92,19.51,22.72,22.63,19.33
