# Area: Ghana
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  7.95   Longitude -1.02 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 164.3 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,24.13,27.62,27.29,28.07,26.48,26.02,24.7,24.76,24.7,25.7,25.94,27.05,26.02
T2M,1982,25.78,27.15,27.54,27.59,26.43,25.3,24.6,23.91,25.1,25.27,25.5,25.02,25.75
T2M,1983,23.01,28.93,31.15,29.64,27.79,25.84,25.4,25.39,25.18,27.63,28.31,27.81,27.16
T2M,1984,28.54,29.64,28.73,27.24,26.28,25.83,24.82,24.89,24.79,25.45,25.97,25.55,26.47
T2M,1985,26.25,27.79,28.91,27.33,26.52,25.46,24.2,24.18,24.51,25.58,25.73,24.31,25.88
T2M,1986,25.07,27.2,26.96,27.69,26.99,26.19,24.51,24.68,24.71,25.54,25.89,24.84,25.84
T2M,1987,28.06,29.62,29.77,30.64,29.89,27.51,26.39,25.13,25.29,26.01,26.66,26.02,27.57
T2M,1988,26.25,28.8,29.29,28.54,27.58,25.74,24.81,24.62,24.8,26.04,26.35,25.43,26.51
T2M,1989,24.95,28.02,29.09,29.24,28.51,25.92,24.79,24.47,25.17,25.52,26.56,25.37,26.45
T2M,1990,26.76,27.59,30.31,28.3,27.23,26.76,25.43,25.41,25.65,26.39,27.67,27.3,27.06
T2M,1991,28.5,31.19,30.13,28.58,26.54,26.14,24.81,24.39,25.45,25.18,26.08,24.98,26.8
T2M,1992,23.79,28.36,29.68,28.52,27.3,26.08,24.82,25.13,25.41,25.96,26.07,27.5,26.54
T2M,1993,26.3,29.88,28.35,27.97,27.24,26.12,25.08,24.97,25.21,25.9,26.66,26.31,26.64
T2M,1994,26.85,29.54,29.86,29.46,27.65,26.2,25.35,25.4,25.31,25.1,25.64,24.56,26.72
T2M,1995,26.07,28.88,30.06,28.68,27.54,26.42,25.16,25.02,25.39,25.72,25.76,25.87,26.7
T2M,1996,27.11,28.99,29.24,28.26,28.05,26.31,25.31,25.25,25.26,26.04,26.61,27.41,26.98
T2M,1997,28.54,27.66,29.19,26.68,26.43,25.69,24.86,25.14,25.6,26.26,26.5,25.89,26.53
T2M,1998,25.82,30.19,31.67,31.2,30.05,27.62,27.14,26.25,26.3,26.75,29.25,28.06,28.34
T2M,1999,29.1,28.77,29.09,28.84,28.18,27.24,25.29,25.27,25.18,25.63,26.49,24.97,26.99
T2M,2000,27.54,26.99,29.15,30.11,29.42,26.8,26.3,25.23,25.77,27.03,28.71,27.41,27.54
T2M,2001,27.41,28.76,31.27,29.4,28.3,26.57,25.51,25.46,25.29,27.37,28.7,29.1,27.76
T2M,2002,27.01,29.83,30.44,29.71,28.19,27.07,26.21,25.48,25.96,26.49,28.18,27.02,27.61
T2M,2003,28.27,30.54,30.65,29.28,29.63,25.82,25.87,25.65,25.42,26.23,26.55,25.34,27.42
T2M,2004,26.78,28.24,29.22,28.9,28.01,26.34,24.8,25.37,25.62,26.1,26.44,27.02,26.9
T2M,2005,24.21,30.02,29.73,29.09,27.35,26.3,26.04,26.16,26.28,26.12,27.67,27.35,27.17
T2M,2006,28.83,30.03,29.77,29.76,27.57,26.47,25.85,25.73,25.69,26.45,26.77,25.7,27.37
T2M,2007,24.93,30.12,30.31,28.31,27.53,26.42,25.84,25.02,25.5,25.72,26.63,25.68,26.81
T2M,2008,23.9,27.62,29.47,29.6,27.7,26.44,25.52,25.1,25.57,26.32,26.77,26.76,26.72
T2M,2009,27.11,29.94,30.1,27.64,27.25,26.36,25.62,25.43,25.76,26.42,26.27,27.34,27.09
T2M,2010,28.26,29.83,29.98,30.87,28.9,26.46,25.75,25.96,25.45,25.75,26.55,26.45,27.5
T2M,2011,25.6,28.53,28.23,28.72,27.88,27.18,25.47,25.59,25.82,25.96,27.38,25.37,26.79
T2M,2012,26.54,28.85,29.25,28.0,27.35,25.66,25.03,25.45,25.68,26.04,26.93,25.69,26.7
T2M,2013,26.23,28.59,29.17,28.86,28.5,27.74,26.45,27.36,27.01,27.5,28.79,27.91,27.83
T2M,2014,29.51,30.78,29.5,28.61,28.3,27.19,26.95,26.04,25.75,26.38,27.72,27.92,27.87
T2M,2015,26.63,29.56,29.53,28.19,28.65,27.3,26.75,26.46,26.41,26.7,27.45,24.2,27.3
T2M,2016,26.36,29.17,30.27,29.66,28.28,26.46,25.68,25.85,25.71,26.66,27.1,26.46,27.3
T2M,2017,26.88,28.7,30.42,29.38,28.48,26.21,25.52,25.74,26.02,26.49,26.82,26.8,27.28
T2M,2018,25.87,30.01,29.02,28.49,27.67,26.29,25.45,25.6,25.31,26.43,26.96,25.04,26.82
T2M,2019,26.68,28.64,29.89,29.47,27.65,26.8,25.89,25.81,25.76,25.52,27.11,25.61,27.05
T2M,2020,25.01,26.59,28.62,28.15,27.77,26.15,25.39,25.67,25.87,26.25,27.29,28.11,26.74
T2M,2021,28.78,30.36,28.88,29.57,28.53,26.6,25.67,25.54,25.81,26.53,26.74,26.13,27.41
T2M,2022,25.34,28.5,29.21,27.88,26.89,26.01,25.56,25.32,25.37,26.26,26.01,24.63,26.4
T2M,2023,25.69,28.41,29.16,28.46,28.52,26.54,25.94,25.99,26.33,26.57,27.18,25.1,26.98
