# Area: Guatemala
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  15.78   Longitude -90.23 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 265.89 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,21.04,23.33,26.58,27.18,28.61,26.17,24.81,24.83,24.46,24.07,22.41,22.89,24.71
T2M,1982,23.14,25.51,27.68,29.85,28.4,27.68,25.98,26.24,26.09,25.29,24.1,23.95,26.16
T2M,1983,24.45,25.98,28.27,30.42,29.9,27.59,26.49,27.64,27.6,26.07,26.08,25.05,27.13
T2M,1984,23.14,25.07,27.87,30.69,28.36,27.28,26.45,26.68,26.02,26.3,24.56,24.1,26.38
T2M,1985,23.07,24.89,27.05,27.44,29.09,27.77,27.13,27.16,27.02,27.08,25.87,24.72,26.53
T2M,1986,22.76,26.88,26.77,28.57,28.68,28.32,27.36,26.86,26.62,26.47,26.02,25.77,26.75
T2M,1987,24.05,26.52,28.96,27.93,29.37,28.01,27.4,26.53,26.93,26.2,26.02,24.89,26.9
T2M,1988,23.63,25.59,27.38,30.41,30.86,28.23,26.82,27.4,27.16,25.76,25.68,23.32,26.85
T2M,1989,24.02,24.42,26.87,27.6,28.33,27.55,27.07,27.47,26.78,25.45,25.9,22.2,26.14
T2M,1990,24.28,25.86,27.26,28.85,29.57,26.95,26.74,26.32,25.24,25.34,23.5,23.42,26.11
T2M,1991,23.97,24.29,28.81,30.6,28.84,26.81,24.8,25.11,24.47,23.88,22.4,21.98,25.5
T2M,1992,22.4,23.98,27.33,27.83,26.95,25.79,24.44,24.36,24.26,24.04,24.01,23.25,24.89
T2M,1993,22.28,23.92,24.97,27.55,27.73,26.61,24.4,24.5,24.49,24.62,22.66,21.72,24.62
T2M,1994,22.64,25.42,27.84,29.58,30.13,28.15,28.55,27.94,27.18,28.13,26.14,24.33,27.18
T2M,1995,24.33,25.44,28.32,29.67,29.55,27.46,25.1,25.62,24.93,24.24,23.21,22.52,25.86
T2M,1996,20.83,23.41,25.49,27.97,27.82,26.59,25.43,25.05,25.74,25.11,23.2,22.33,24.91
T2M,1997,23.09,24.49,27.28,29.86,28.72,27.1,25.99,25.82,25.85,25.29,24.72,22.8,25.92
T2M,1998,24.78,27.32,27.14,29.77,30.18,26.86,25.26,25.48,25.95,24.82,23.39,21.69,26.04
T2M,1999,21.5,22.51,24.33,27.09,29.11,26.04,25.58,25.61,24.45,23.42,20.89,21.38,24.34
T2M,2000,21.84,23.66,26.38,28.21,26.09,24.53,24.4,24.54,24.85,23.52,23.58,20.74,24.36
T2M,2001,20.38,22.57,25.18,26.82,26.95,25.85,25.63,25.1,24.75,24.18,22.3,22.4,24.35
T2M,2002,22.27,23.88,25.74,27.87,28.41,26.57,24.97,25.19,25.39,24.64,22.68,22.35,25.0
T2M,2003,20.44,24.42,27.69,28.12,29.12,26.05,25.03,25.07,25.51,24.87,23.25,20.16,24.97
T2M,2004,21.84,24.02,25.1,27.39,27.09,25.89,25.17,26.43,25.91,24.63,22.7,21.56,24.81
T2M,2005,21.9,24.68,29.09,29.01,28.41,27.3,25.47,25.38,25.1,23.98,22.25,22.46,25.42
T2M,2006,21.67,21.72,24.95,26.87,26.85,24.86,24.93,25.07,25.04,25.05,22.28,22.18,24.31
T2M,2007,22.27,23.07,24.84,28.61,29.82,27.17,26.49,25.69,24.85,24.07,22.21,21.96,25.1
T2M,2008,21.85,24.48,25.87,27.72,28.97,25.0,24.69,25.2,25.29,23.61,21.11,21.14,24.58
T2M,2009,21.35,21.65,23.94,28.31,28.4,27.45,26.01,25.74,26.11,25.38,22.92,23.55,25.08
T2M,2010,21.18,23.53,25.7,28.45,28.01,26.66,25.52,25.22,25.35,23.29,22.19,20.27,24.61
T2M,2011,23.61,24.39,26.34,29.01,28.17,26.17,24.96,25.4,25.03,23.13,22.43,21.45,25.01
T2M,2012,21.99,22.61,24.02,27.54,28.17,25.63,24.75,25.09,24.94,24.32,21.73,23.08,24.49
T2M,2013,22.87,24.92,25.3,28.87,27.94,25.19,24.75,25.0,25.18,24.74,23.2,22.5,25.03
T2M,2014,20.52,22.97,25.48,28.02,25.55,25.2,24.99,25.14,24.83,24.32,22.13,21.39,24.21
T2M,2015,21.19,21.52,24.1,27.14,26.26,25.12,25.42,26.27,25.54,25.19,24.25,23.84,24.67
T2M,2016,22.37,22.4,26.72,29.04,29.91,26.45,25.41,25.49,25.31,24.71,23.13,23.23,25.36
T2M,2017,22.3,24.93,24.76,28.61,27.93,25.97,25.14,25.47,25.66,24.35,22.73,22.26,25.0
T2M,2018,21.08,23.27,26.26,28.64,28.94,25.82,26.26,25.45,25.15,24.64,24.15,23.06,25.23
T2M,2019,22.75,26.02,27.06,29.12,29.17,27.29,26.7,26.9,26.13,25.18,23.51,22.51,26.02
T2M,2020,23.54,25.27,26.58,30.49,28.67,25.84,26.04,25.52,25.47,24.6,23.57,21.81,25.61
T2M,2021,22.53,23.89,25.85,28.29,28.1,25.68,25.33,25.55,25.46,25.27,22.53,23.08,25.14
T2M,2022,22.49,23.4,25.21,27.93,27.22,25.23,25.25,25.24,25.03,24.62,24.02,22.81,24.88
T2M,2023,22.89,24.51,27.92,29.93,30.04,29.86,26.76,27.82,27.62,26.88,24.78,22.94,26.83
