# Area: Hungary
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  47.16   Longitude 19.5 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 106.91 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,-3.27,0.17,7.23,9.77,15.68,20.67,21.43,21.47,18.14,12.4,3.55,-2.17,10.48
T2M,1982,-5.2,-1.91,4.48,7.76,16.48,20.56,22.19,21.64,20.7,12.23,4.02,2.53,10.53
T2M,1983,2.44,-1.2,6.03,12.78,17.83,19.94,24.69,22.47,17.54,10.76,1.79,-0.81,11.27
T2M,1984,-0.92,-0.5,3.88,10.08,15.44,18.16,20.18,21.43,17.74,12.49,4.33,-1.3,10.11
T2M,1985,-6.53,-5.87,3.25,10.77,16.54,17.05,22.12,22.06,17.5,10.5,2.65,2.85,9.5
T2M,1986,-1.47,-3.98,3.09,11.94,17.89,19.59,21.57,23.1,17.64,11.03,4.68,-1.67,10.37
T2M,1987,-6.93,-0.86,0.12,10.32,13.93,19.4,24.0,19.25,19.81,11.68,4.85,0.62,9.73
T2M,1988,1.94,2.43,4.27,10.0,16.62,19.62,24.45,22.67,17.02,10.36,-0.41,0.3,10.81
T2M,1989,-0.88,3.44,8.14,13.01,15.97,18.05,22.77,21.78,17.48,11.59,3.82,0.85,11.38
T2M,1990,-0.94,4.68,9.21,10.81,17.71,20.03,22.22,23.13,15.44,11.1,5.37,-1.03,11.52
T2M,1991,-0.54,-3.04,6.73,9.2,12.93,19.75,23.61,21.04,17.74,9.63,4.92,-2.72,10.01
T2M,1992,-0.72,1.45,5.63,11.54,16.68,20.61,23.47,27.39,17.47,10.19,4.73,-1.06,11.48
T2M,1993,-1.26,-1.69,3.77,10.32,19.28,21.12,21.8,22.71,16.42,12.04,-0.27,0.79,10.5
T2M,1994,1.87,1.28,7.44,11.27,15.9,20.31,25.56,23.98,20.15,9.76,5.31,0.1,11.97
T2M,1995,-1.69,4.29,4.59,10.44,15.61,19.15,24.69,21.98,15.4,11.98,1.89,-2.43,10.53
T2M,1996,-6.46,-5.56,1.09,10.51,17.1,20.51,20.25,21.32,12.84,10.92,6.41,-3.9,8.79
T2M,1997,-7.17,-0.15,4.12,6.86,16.6,19.98,20.83,21.89,16.98,8.64,4.98,0.56,9.56
T2M,1998,1.45,3.44,3.48,11.63,15.38,21.59,22.37,22.87,15.57,11.44,2.18,-4.31,10.63
T2M,1999,-1.03,-1.01,5.86,11.63,15.72,20.09,22.33,21.02,19.26,10.94,1.43,-1.27,10.48
