# Area: Ireland
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  53.41   Longitude -8.24 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 61.13 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,5.35,4.05,7.23,8.3,10.42,12.86,14.29,15.73,13.27,6.77,7.23,1.79,8.96
T2M,1982,3.59,5.25,5.62,8.55,10.26,14.15,15.74,14.17,12.31,9.23,6.03,3.96,9.09
T2M,1983,5.7,2.16,6.46,5.47,9.33,13.38,17.84,16.49,12.36,9.54,6.93,6.1,9.37
T2M,1984,2.68,4.62,4.0,8.34,10.14,14.17,15.96,16.24,12.16,9.76,5.5,4.99,9.06
T2M,1985,0.32,3.66,4.77,8.06,10.27,11.99,14.55,12.76,13.36,10.01,3.38,5.56,8.25
T2M,1986,3.23,-0.32,4.99,4.97,9.5,13.98,14.41,12.24,10.85,9.77,6.59,4.72,7.97
T2M,1987,2.01,3.73,4.79,9.14,10.23,12.12,15.57,15.03,11.9,7.92,6.36,5.61,8.73
T2M,1988,4.19,4.04,6.56,8.67,10.69,14.6,13.38,13.67,12.03,9.38,5.45,7.05,9.16
T2M,1989,6.4,5.46,6.27,5.93,12.0,13.62,17.29,15.14,12.49,10.74,6.01,3.43,9.6
T2M,1990,5.77,5.58,7.72,7.61,12.63,12.69,15.83,15.67,11.99,10.49,5.77,3.57,9.64
T2M,1991,3.03,2.34,7.12,7.41,11.44,11.95,15.76,15.66,13.75,8.9,6.26,5.38,9.13
T2M,1992,4.22,5.73,7.15,7.51,11.81,14.73,15.1,13.16,10.87,7.04,6.72,3.92,9.0
T2M,1993,5.35,5.9,6.24,8.7,10.16,13.79,14.04,13.38,11.69,6.81,5.23,4.86,8.86
T2M,1994,4.5,3.68,6.22,7.07,9.57,12.86,15.13,13.69,11.51,9.82,9.15,6.13,9.14
T2M,1995,4.29,5.77,5.05,8.39,10.16,14.27,16.45,17.7,12.56,11.68,7.0,2.53,9.68
T2M,1996,4.86,2.78,4.81,8.22,8.75,13.32,14.91,14.44,13.09,10.61,5.5,3.1,8.72
T2M,1997,3.27,5.95,7.52,9.63,11.26,12.75,15.49,16.2,13.11,10.02,7.91,5.7,9.92
T2M,1998,4.48,7.18,7.7,6.6,12.12,13.09,14.28,15.05,13.31,9.97,6.74,5.88,9.72
T2M,1999,4.87,5.61,6.12,8.59,11.63,12.35,15.93,15.02,13.42,9.93,6.96,4.58,9.61
T2M,2000,4.7,5.75,6.9,6.4,11.05,13.64,15.17,15.09,13.22,9.02,5.88,4.85,9.32
T2M,2001,2.86,3.84,4.65,7.17,11.92,12.97,14.72,14.54,12.9,11.42,7.91,3.65,9.08
T2M,2002,6.45,5.98,6.72,8.19,10.8,12.37,13.99,15.41,13.14,9.24,7.86,5.07,9.62
T2M,2003,4.1,4.33,6.73,9.14,10.39,13.76,15.61,16.08,13.32,8.84,7.78,5.24,9.64
T2M,2004,5.28,4.45,5.96,8.51,11.34,14.18,14.09,15.47,13.78,8.68,7.78,6.32,9.67
T2M,2005,6.21,4.23,7.33,7.95,10.17,14.47,15.69,15.05,13.57,11.14,6.55,5.49,9.86
T2M,2006,4.59,4.4,5.11,7.63,10.74,14.76,17.01,14.82,14.47,11.39,6.94,6.24,9.87
T2M,2007,6.05,5.16,6.26,10.4,10.94,14.33,14.17,14.35,12.93,11.31,8.11,6.12,10.04
T2M,2008,5.9,5.58,5.51,7.18,12.65,13.13,15.17,15.15,12.16,8.84,6.95,3.95,9.36
T2M,2009,3.65,4.42,6.48,8.53,10.69,14.5,14.63,14.69,12.59,11.08,7.05,2.68,9.27
T2M,2010,1.46,1.86,4.61,8.33,10.59,14.76,15.0,13.74,12.99,9.46,4.89,-0.13,8.16
T2M,2011,2.55,6.07,5.95,10.63,10.65,12.0,14.33,13.33,13.07,11.1,8.97,5.46,9.52
T2M,2012,5.83,6.2,7.99,6.52,10.64,12.84,13.89,15.13,11.9,8.15,5.71,4.72,9.14
T2M,2013,4.37,3.92,2.98,6.43,9.65,13.58,17.57,15.04,13.2,11.0,5.62,5.88,9.14
T2M,2014,4.8,4.84,6.26,9.43,11.32,14.31,16.24,13.6,13.74,10.49,6.98,4.72,9.75
T2M,2015,4.02,3.66,5.33,8.09,9.3,12.76,13.75,13.37,11.62,10.08,8.24,7.24,8.99
T2M,2016,4.98,3.87,5.57,6.38,11.66,14.69,14.83,15.01,13.52,9.81,4.87,5.78,9.27
T2M,2017,4.74,5.46,7.15,8.22,12.5,14.04,14.8,14.06,12.3,10.93,6.24,4.82,9.63
T2M,2018,4.71,2.9,4.04,8.12,12.26,16.02,16.37,14.95,11.9,9.27,7.03,7.16,9.6
T2M,2019,5.06,6.92,6.59,8.84,10.89,12.66,16.08,15.21,13.21,8.7,5.45,5.35,9.6
T2M,2020,5.3,5.06,5.6,9.34,11.92,13.52,14.3,15.62,12.91,9.02,7.88,4.8,9.62
T2M,2021,3.51,5.36,7.23,7.34,9.95,13.95,17.41,15.63,14.74,11.17,7.84,6.52,10.08
T2M,2022,5.19,6.13,6.54,8.7,12.15,13.59,16.47,16.06,13.29,11.44,8.24,3.52,10.13
T2M,2023,5.3,6.6,6.19,8.78,12.77,16.3,14.79,15.33,14.65,10.7,7.09,6.65,10.45
