# Area: Israel
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  31.05   Longitude 34.85 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 271.1 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,9.03,10.64,15.0,18.32,21.04,25.76,27.19,26.98,25.72,22.94,14.54,12.48,19.19
T2M,1982,10.53,9.64,12.07,18.45,20.31,24.63,26.36,26.88,25.12,22.25,14.16,10.62,18.47
T2M,1983,7.64,9.22,12.13,16.29,21.51,24.99,26.97,26.65,24.75,21.05,18.12,12.98,18.57
T2M,1984,10.64,12.49,15.45,18.02,24.04,25.05,26.64,26.01,25.57,22.16,16.41,10.9,19.47
T2M,1985,12.58,10.8,14.23,18.1,23.54,25.85,26.6,28.46,25.28,20.36,18.72,12.57,19.81
T2M,1986,10.55,12.23,14.87,19.93,20.24,25.59,27.07,26.98,26.69,21.99,14.53,10.26,19.28
T2M,1987,11.08,13.71,12.11,16.31,22.24,25.4,27.83,27.93,25.93,21.07,17.1,13.11,19.51
T2M,1988,10.96,11.61,13.97,19.37,24.69,27.0,29.12,28.19,26.34,21.55,15.03,12.31,20.04
T2M,1989,7.98,9.67,13.95,21.45,23.73,25.3,27.39,27.57,25.7,21.64,17.47,12.1,19.54
T2M,1990,9.74,10.2,13.69,18.36,21.35,25.44,27.52,26.99,24.69,23.2,19.46,14.98,19.69
T2M,1991,10.7,11.76,15.77,19.77,22.25,25.9,26.35,26.38,24.86,23.0,17.5,10.14,19.57
T2M,1992,8.0,8.42,11.98,16.57,21.58,25.58,26.4,27.58,24.91,23.25,17.17,10.37,18.51
T2M,1993,8.89,8.97,13.5,18.91,22.23,26.35,27.13,28.11,25.23,23.98,16.89,14.48,19.62
T2M,1994,12.01,11.55,14.09,20.94,23.53,25.28,26.83,27.25,27.0,25.0,15.69,9.64,19.94
T2M,1995,10.33,11.49,14.45,17.19,22.93,26.95,27.59,27.59,26.0,21.63,15.52,11.78,19.5
T2M,1996,10.95,12.44,14.19,17.89,24.12,25.4,28.36,27.94,26.23,21.43,18.28,13.84,20.11
T2M,1997,12.24,9.43,12.39,16.77,23.79,26.36,27.65,26.25,24.43,22.42,17.02,12.63,19.34
T2M,1998,10.62,12.28,13.21,20.16,23.93,25.81,28.32,29.22,26.85,23.2,19.2,13.41,20.56
T2M,1999,11.93,12.22,15.21,18.92,24.15,25.83,27.85,28.44,26.2,22.68,17.95,13.86,20.48
T2M,2000,9.66,10.87,13.03,20.02,22.83,26.56,29.27,27.58,25.7,21.28,16.89,12.76,19.72
T2M,2001,11.55,11.68,17.78,19.77,23.19,26.31,27.98,28.14,25.7,22.72,17.07,12.44,20.41
T2M,2002,9.54,13.44,16.38,18.41,22.38,26.07,29.12,28.12,26.5,23.75,17.78,12.89,20.4
T2M,2003,12.23,10.93,12.74,19.06,26.08,26.49,27.84,28.3,25.28,23.28,18.57,12.68,20.34
T2M,2004,10.94,12.11,16.35,19.34,23.1,25.64,28.31,27.14,25.88,23.99,18.03,11.42,20.21
T2M,2005,11.01,11.85,15.17,19.95,22.4,25.6,28.03,28.25,26.08,22.07,17.02,14.67,20.22
