# Area: Jordan
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  31.24   Longitude 36.51 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 872.81 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,5.33,7.24,11.87,15.23,18.85,23.78,25.14,25.09,24.12,20.83,10.84,9.19,16.51
T2M,1982,7.47,5.89,8.69,16.14,18.03,22.9,24.31,24.72,22.74,18.91,9.85,6.56,15.57
T2M,1983,3.91,5.69,8.74,13.45,18.73,22.73,24.86,24.51,22.32,17.86,14.55,9.09,15.59
T2M,1984,7.07,9.18,12.33,15.27,21.83,23.23,24.36,23.44,23.89,19.39,12.42,6.72,16.61
T2M,1985,9.01,6.96,11.13,15.35,21.64,24.01,24.62,27.45,23.19,17.41,15.07,8.66,17.1
T2M,1986,6.86,9.19,12.23,17.76,17.92,23.21,25.3,25.22,25.03,19.36,10.71,6.6,16.65
T2M,1987,7.86,10.68,8.99,14.19,21.35,23.87,26.14,26.17,23.73,18.39,14.26,9.34,17.11
T2M,1988,7.12,7.99,10.86,16.6,22.12,24.67,26.96,25.91,23.98,18.64,11.44,8.65,17.11
T2M,1989,3.95,5.95,10.77,19.5,21.84,23.61,25.43,25.79,23.5,18.73,13.83,8.44,16.83
T2M,1990,5.61,6.37,10.7,15.79,20.06,23.92,25.53,24.99,22.71,20.33,16.02,11.89,17.05
T2M,1991,6.35,7.96,12.29,17.41,19.65,24.39,24.35,24.09,22.91,19.94,13.93,5.93,16.64
T2M,1992,3.69,4.54,8.4,13.77,19.24,23.3,24.46,25.49,22.67,20.83,13.01,6.22,15.5
T2M,1993,5.05,5.65,10.41,16.36,20.06,24.46,25.08,26.18,23.33,20.67,13.02,11.1,16.84
T2M,1994,8.31,7.83,11.56,18.53,22.04,23.46,24.18,25.15,24.82,22.15,11.94,5.41,17.16
T2M,1995,6.88,8.18,11.19,14.59,21.37,25.15,25.12,25.59,24.09,19.11,11.76,7.81,16.78
T2M,1996,7.0,9.13,10.56,15.04,23.1,23.87,27.52,26.4,24.01,18.37,13.93,10.01,17.44
T2M,1997,8.07,5.31,8.86,14.09,22.24,24.49,25.52,24.0,22.59,19.77,13.65,9.04,16.54
T2M,1998,6.54,8.49,9.93,17.26,21.82,24.65,26.88,28.37,24.65,20.59,16.67,9.97,18.03
T2M,1999,8.41,9.24,12.03,16.7,22.96,23.75,26.0,27.22,23.79,20.24,14.28,9.65,17.91
T2M,2000,5.75,7.21,10.29,17.87,21.09,25.05,28.9,25.96,23.43,18.1,12.93,8.9,17.15
T2M,2001,7.61,8.02,15.05,17.19,20.95,24.91,26.71,26.65,23.67,19.83,13.16,8.92,17.78
T2M,2002,5.53,9.5,13.12,15.41,20.08,24.12,27.06,25.88,24.14,21.68,14.1,8.81,17.5
T2M,2003,8.8,7.47,9.5,16.32,23.46,24.64,25.93,27.17,23.12,21.07,14.95,8.78,17.66
T2M,2004,7.46,8.85,13.62,16.61,21.1,24.21,27.03,25.24,24.04,21.91,14.15,6.95,17.62
T2M,2005,7.01,8.17,12.39,17.15,20.21,24.06,26.53,26.74,23.6,19.26,12.93,11.77,17.54
T2M,2006,7.75,9.48,12.39,16.39,21.76,25.36,25.23,26.87,24.48,19.7,11.98,6.64,17.38
T2M,2007,6.28,8.88,10.73,15.33,23.26,25.08,26.63,26.28,23.78,21.49,14.6,9.05,17.66
T2M,2008,4.8,7.53,15.06,19.04,20.6,25.44,26.53,26.92,25.15,19.6,14.38,10.02,17.95
T2M,2009,7.43,9.45,10.56,16.36,20.7,25.68,26.09,26.09,23.07,21.72,13.31,10.56,17.63
T2M,2010,10.58,11.24,14.47,17.82,21.96,25.45,27.16,28.96,25.71,22.61,17.62,10.48,19.55
T2M,2011,7.94,9.39,11.16,15.38,20.31,23.65,27.59,25.84,23.92,19.15,10.7,8.38,17.0
T2M,2012,5.77,7.21,9.39,17.26,21.93,26.77,28.16,26.64,25.28,21.65,15.34,9.26,17.91
T2M,2013,7.7,9.83,13.73,16.04,22.46,24.53,25.29,25.64,23.3,17.98,15.38,7.46,17.48
T2M,2014,8.57,9.68,13.71,18.38,21.01,24.16,25.38,26.35,23.26,19.48,13.08,11.22,17.9
T2M,2015,7.13,8.33,13.03,15.26,21.64,23.11,26.87,28.29,26.48,21.99,14.06,7.17,17.84
T2M,2016,6.37,10.54,13.31,18.78,21.22,26.88,26.89,27.34,23.83,21.0,14.31,7.28,18.16
T2M,2017,6.44,6.93,12.26,17.26,22.27,25.42,29.29,27.42,25.39,19.19,14.25,11.56,18.21
T2M,2018,7.77,11.74,15.66,17.62,23.24,25.26,26.52,26.03,25.3,20.77,13.8,9.09,18.6
T2M,2019,7.26,8.31,10.38,14.59,23.79,26.68,26.52,26.58,24.73,21.7,15.21,9.12,17.96
T2M,2020,6.25,8.49,11.75,15.07,21.1,23.89,27.77,26.19,28.45,23.03,14.23,10.5,18.09
T2M,2021,8.76,9.86,12.42,18.31,24.04,24.41,27.22,27.72,23.86,20.86,16.13,9.86,18.67
T2M,2022,5.98,8.74,9.17,19.72,21.69,25.73,26.43,28.22,25.56,21.35,14.96,10.61,18.22
T2M,2023,8.33,7.44,13.07,16.61,21.24,24.97,28.37,28.81,25.97,21.51,16.84,11.56,18.79
