# Area: Kenya
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -0.02   Longitude 37.91 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 716.99 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,24.93,26.09,26.02,24.08,23.62,23.15,23.08,24.29,25.26,25.34,24.31,23.96,24.5
T2M,1982,24.33,26.0,26.61,24.73,24.09,24.57,24.16,24.19,25.37,24.39,23.9,23.84,24.67
T2M,1983,24.95,26.14,27.75,27.2,25.47,25.35,24.72,25.1,25.61,25.95,24.7,24.35,25.6
T2M,1984,24.9,25.49,27.01,26.49,25.62,24.71,23.67,24.19,24.87,24.14,23.07,23.32,24.79
T2M,1985,24.17,25.56,25.52,25.13,24.41,24.0,23.63,23.99,25.2,25.14,23.72,23.78,24.51
T2M,1986,24.92,25.89,26.29,25.41,24.48,23.3,23.37,23.9,24.75,25.75,24.77,23.74,24.71
T2M,1987,24.52,26.19,27.34,25.79,25.24,23.99,23.98,24.38,25.87,26.78,25.36,25.75,25.43
T2M,1988,26.33,27.1,27.45,26.06,25.37,25.0,24.53,24.99,25.43,26.3,23.35,23.18,25.42
T2M,1989,23.85,24.41,25.57,24.62,24.53,24.14,23.72,23.85,25.43,24.98,23.9,23.51,24.37
T2M,1990,24.14,25.88,25.11,24.73,25.22,24.22,23.72,24.36,25.58,25.42,24.54,23.54,24.69
T2M,1991,24.72,26.06,26.84,26.31,25.86,25.28,23.79,24.29,25.27,26.1,24.82,24.37,25.3
T2M,1992,24.95,26.24,27.31,26.18,25.43,25.0,23.94,23.72,24.82,25.41,24.1,23.79,25.07
T2M,1993,23.42,24.69,25.86,25.94,25.39,24.66,23.74,23.94,24.76,25.58,24.37,24.02,24.69
T2M,1994,25.25,26.09,26.71,26.35,25.46,25.0,24.34,24.65,25.03,25.54,23.6,22.9,25.07
T2M,1995,23.91,25.61,25.31,25.77,24.98,24.38,24.34,24.51,25.44,25.2,23.46,23.56,24.7
T2M,1996,24.6,26.07,26.11,25.82,25.61,23.73,23.37,23.8,25.17,25.47,23.85,23.7,24.77
T2M,1997,24.96,25.71,27.13,25.08,24.48,24.99,24.23,24.68,25.78,24.11,23.2,22.92,24.76
T2M,1998,23.18,24.09,24.85,25.4,24.18,23.47,23.12,23.92,25.45,26.05,24.24,25.19,24.43
T2M,1999,25.92,26.72,26.38,26.01,25.48,24.8,24.09,24.62,25.63,25.72,24.1,23.37,25.23
T2M,2000,24.7,25.81,27.53,26.56,26.14,24.89,24.39,24.62,25.37,26.27,24.9,24.91,25.51
T2M,2001,24.92,26.41,26.59,25.99,26.5,24.92,23.83,24.62,25.73,26.29,23.65,24.28,25.3
T2M,2002,25.1,25.81,26.65,25.43,24.68,24.26,24.3,24.48,25.39,25.72,24.63,24.52,25.08
