# Area: Kuwait
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  29.31   Longitude 47.48 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 116.18 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,13.94,14.8,19.46,24.98,30.01,35.15,37.38,36.94,33.83,27.66,19.51,15.93,25.86
T2M,1982,11.98,11.1,16.71,25.84,31.92,35.92,36.74,35.48,34.33,27.2,16.42,10.41,24.57
T2M,1983,9.02,11.9,16.18,23.09,31.79,35.66,37.64,36.32,32.42,25.25,21.24,14.65,24.66
T2M,1984,12.24,14.97,19.83,25.68,30.13,34.63,37.59,34.28,33.02,26.32,19.6,11.72,25.02
T2M,1985,13.43,12.49,17.39,25.38,32.05,35.0,36.25,37.32,33.17,26.66,20.76,13.47,25.35
T2M,1986,11.71,14.22,18.03,25.29,31.23,34.41,38.04,38.03,34.19,29.17,18.08,11.49,25.39
T2M,1987,12.06,16.41,17.41,24.74,33.36,35.68,38.2,37.23,33.9,27.55,19.81,14.6,25.96
T2M,1988,11.02,14.39,18.78,25.48,32.17,35.7,37.83,37.08,33.66,28.68,19.32,14.33,25.73
T2M,1989,9.45,11.25,18.71,26.11,31.83,35.17,38.44,37.53,33.04,27.15,20.18,12.58,25.2
T2M,1990,9.86,12.99,18.27,25.14,32.59,35.89,38.4,36.45,33.37,28.24,21.35,15.65,25.75
T2M,1991,11.92,12.59,18.91,26.87,29.89,36.08,36.65,36.22,32.76,27.47,20.1,13.33,25.3
T2M,1992,8.13,11.17,14.57,23.55,29.44,34.9,36.14,36.5,33.61,26.36,19.45,12.35,23.87
T2M,1993,9.9,12.57,17.92,24.0,30.06,35.21,37.77,37.4,33.94,28.64,19.03,15.3,25.22
T2M,1994,14.36,14.27,19.06,26.45,31.69,35.48,36.41,36.25,33.71,28.75,20.69,10.75,25.71
T2M,1995,12.88,13.95,18.33,23.9,31.58,35.76,36.88,37.15,32.89,26.95,19.12,11.59,25.14
