# Area: Malawi
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -13.25   Longitude 34.3 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 492.2 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,28.2,26.68,26.77,24.98,22.83,21.06,21.13,23.78,27.04,28.43,30.21,28.14,25.76
T2M,1982,27.22,26.38,26.47,25.88,22.93,22.59,22.05,24.03,26.37,28.03,28.24,27.58,25.64
T2M,1983,27.3,27.32,27.34,26.71,25.55,24.36,23.42,23.43,27.53,28.82,30.71,27.61,26.66
T2M,1984,26.24,26.02,26.09,25.34,24.56,21.96,22.62,23.66,27.87,29.27,27.74,26.56,25.66
T2M,1985,27.36,25.82,26.33,25.27,23.74,21.81,22.25,23.56,27.53,28.56,27.72,27.04,25.58
T2M,1986,26.15,26.6,26.66,26.18,24.1,21.33,21.87,24.01,26.68,29.18,29.12,26.82,25.72
T2M,1987,26.08,27.06,27.47,25.97,25.15,21.77,22.14,24.9,27.69,28.4,30.71,29.63,26.41
T2M,1988,27.69,26.87,27.13,27.23,23.91,23.67,23.57,24.41,27.33,29.61,28.07,28.33,26.48
T2M,1989,26.2,25.77,25.73,25.28,23.74,22.36,22.27,24.06,26.45,28.67,28.94,27.53,25.58
T2M,1990,26.66,26.49,26.93,27.12,25.47,24.26,23.39,24.08,25.85,29.01,29.9,28.8,26.49
T2M,1991,27.34,27.33,26.78,24.83,24.12,22.38,22.81,24.46,27.35,29.39,28.9,27.51,26.09
T2M,1992,27.67,29.0,27.73,27.3,26.29,24.02,22.37,23.36,27.18,28.7,29.11,28.16,26.73
T2M,1993,26.88,26.0,25.93,26.34,25.27,22.48,22.29,24.16,26.76,29.41,29.71,29.66,26.24
T2M,1994,27.03,26.41,27.18,26.52,25.57,23.07,22.26,24.13,26.98,28.9,30.47,28.31,26.4
T2M,1995,26.95,27.31,26.81,26.03,25.24,22.3,22.93,25.52,27.53,29.24,30.16,27.69,26.47
T2M,1996,26.63,26.48,25.76,24.97,24.64,22.15,21.73,24.51,27.69,28.79,31.09,27.81,26.01
T2M,1997,26.85,25.57,26.98,25.37,23.14,24.3,22.16,24.91,28.04,28.29,29.89,27.57,26.08
T2M,1998,27.52,28.54,28.77,27.11,26.13,23.34,23.05,24.48,27.47,29.29,29.8,29.15,27.04
T2M,1999,26.42,26.47,26.21,25.25,23.83,22.61,22.24,24.69,26.58,28.08,28.58,28.99,25.82
T2M,2000,27.51,27.24,26.69,26.74,24.83,23.9,22.25,23.65,27.57,29.27,27.79,27.59,26.24
T2M,2001,27.02,26.46,26.14,26.18,24.6,22.67,22.77,24.79,27.45,29.4,30.81,29.03,26.44
T2M,2002,26.68,26.95,26.75,25.76,24.39,22.72,24.81,24.99,27.21,29.83,29.31,28.26,26.47
T2M,2003,27.47,27.0,27.21,25.19,24.26,23.3,22.0,24.45,27.37,29.89,30.86,27.6,26.38
T2M,2004,27.52,27.03,27.33,26.05,23.18,22.52,22.7,25.67,27.48,29.36,28.69,26.18,26.14
T2M,2005,26.65,28.14,27.65,27.17,25.32,24.57,22.79,25.74,26.87,29.74,30.73,29.1,27.03
T2M,2006,27.13,27.47,26.65,25.73,24.75,22.92,22.65,25.18,26.01,29.87,29.33,27.06,26.22
T2M,2007,26.91,27.06,27.09,27.11,25.26,23.53,22.72,24.64,27.98,28.53,30.46,27.16,26.53
T2M,2008,26.22,26.44,25.76,25.5,25.0,22.4,22.67,24.34,27.6,30.12,30.5,27.15,26.14
T2M,2009,27.34,26.52,26.05,24.47,24.68,24.48,21.65,24.4,28.15,29.91,29.16,28.44,26.27
T2M,2010,27.64,26.55,27.07,27.77,26.23,23.24,23.02,23.24,26.84,30.06,30.47,27.4,26.62
T2M,2011,26.75,25.99,26.62,26.14,24.79,24.22,22.34,23.66,27.18,29.33,30.07,29.15,26.35
T2M,2012,26.1,27.08,26.78,24.61,24.19,23.31,22.85,25.94,28.31,30.04,30.3,28.04,26.46
T2M,2013,26.63,26.79,26.67,25.63,24.12,23.24,22.17,24.99,28.03,29.26,30.65,28.28,26.36
T2M,2014,26.37,26.32,26.78,26.02,25.14,23.91,23.44,25.56,26.87,29.2,30.65,29.12,26.61
T2M,2015,26.73,26.52,26.68,26.43,25.35,23.56,23.83,25.57,27.87,30.08,29.58,28.97,26.77
T2M,2016,27.91,27.87,28.3,26.68,23.82,23.04,22.88,25.12,27.51,29.84,30.74,28.69,26.86
T2M,2017,26.62,27.05,25.92,26.04,25.64,23.76,23.2,24.77,27.59,30.06,30.02,27.68,26.52
T2M,2018,27.22,27.0,26.77,26.03,25.39,23.2,22.3,25.39,27.73,27.8,28.96,27.24,26.24
T2M,2019,27.07,26.88,26.83,26.64,24.47,22.55,23.05,25.68,26.93,29.76,30.51,28.05,26.53
T2M,2020,26.95,27.08,26.84,26.89,24.63,23.17,22.12,24.86,26.91,29.98,29.88,28.26,26.46
T2M,2021,27.0,27.34,26.04,24.83,23.44,22.84,22.57,24.84,27.17,29.14,30.76,29.97,26.32
T2M,2022,26.29,26.49,26.69,26.44,24.43,22.17,22.6,25.02,26.74,29.48,30.12,27.1,26.13
T2M,2023,26.27,26.75,26.47,25.9,24.9,25.14,22.93,24.94,28.55,30.86,30.48,29.53,26.89
