# Area: Malaysia
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  4.21   Longitude 101.98 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 363.36 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,22.79,23.91,24.5,25.26,25.32,24.71,24.2,24.56,24.6,24.37,23.9,23.01,24.26
T2M,1982,22.78,23.9,25.17,25.55,25.46,24.96,24.23,24.45,24.55,24.63,24.55,23.46,24.47
T2M,1983,23.37,24.38,25.36,26.66,25.45,25.14,24.48,24.54,24.47,24.28,24.15,23.17,24.62
T2M,1984,22.91,22.94,24.33,24.92,24.5,23.94,23.93,23.98,23.99,23.68,24.12,23.36,23.88
T2M,1985,23.02,24.59,24.33,24.6,24.59,24.18,23.99,23.84,23.95,24.2,23.95,23.45,24.05
T2M,1986,22.78,23.74,24.39,25.23,24.64,24.6,24.14,24.24,24.09,24.31,23.88,23.25,24.11
T2M,1987,22.85,23.49,24.65,25.4,24.94,24.95,24.59,24.47,24.78,25.06,24.54,23.84,24.47
T2M,1988,23.83,24.4,25.23,25.66,25.34,24.63,24.33,24.73,24.58,24.2,23.99,22.81,24.48
T2M,1989,23.81,23.14,24.0,25.13,25.04,24.43,24.32,23.97,24.4,24.45,24.25,23.2,24.18
T2M,1990,23.23,24.19,24.67,25.49,25.37,24.7,24.3,24.65,24.81,24.83,24.3,23.39,24.49
T2M,1991,23.5,23.87,24.75,25.48,25.34,25.31,24.38,24.44,24.5,24.52,23.85,23.54,24.46
T2M,1992,23.08,24.42,24.76,25.6,25.65,24.79,24.55,24.16,24.41,24.2,23.8,23.26,24.39
T2M,1993,23.33,23.47,24.21,25.27,25.53,24.9,24.33,24.31,24.51,24.55,24.77,24.03,24.44
T2M,1994,23.21,24.18,24.36,25.34,25.31,24.61,24.3,24.22,24.54,24.82,24.29,23.93,24.42
T2M,1995,23.65,23.8,24.81,25.54,25.31,25.31,24.43,24.56,24.58,24.84,24.57,23.42,24.57
T2M,1996,22.82,23.3,24.72,25.41,25.19,25.0,24.5,24.35,24.48,24.45,24.34,23.38,24.33
T2M,1997,23.1,24.12,24.43,25.09,25.3,25.14,24.66,24.65,25.03,25.07,24.52,24.04,24.6
T2M,1998,24.56,25.01,25.52,26.48,26.59,25.59,25.09,25.0,24.71,24.83,24.3,24.0,25.14
T2M,1999,23.96,23.85,24.97,24.91,24.95,24.49,24.05,24.16,24.6,24.43,24.23,23.5,24.34
T2M,2000,23.2,23.8,24.62,25.15,25.05,24.62,24.26,24.18,24.74,24.39,24.35,24.39,24.4
T2M,2001,23.84,23.86,24.41,25.63,25.43,24.49,24.43,24.3,24.63,24.49,24.16,23.86,24.46
T2M,2002,23.39,23.25,24.59,25.42,25.37,24.99,24.7,24.37,24.4,24.82,24.46,24.62,24.54
T2M,2003,23.61,23.96,24.9,25.47,25.32,24.74,24.24,24.53,24.5,24.22,24.4,23.53,24.45
T2M,2004,23.77,24.07,25.17,25.75,25.46,24.61,24.29,24.46,24.56,24.43,24.37,23.64,24.55
T2M,2005,23.24,24.32,24.66,25.48,25.47,25.05,24.5,24.5,24.83,24.73,24.43,23.89,24.59
T2M,2006,23.95,24.27,24.81,25.3,24.9,24.61,24.35,24.36,24.26,24.7,24.5,24.09,24.51
T2M,2007,23.62,24.08,24.77,25.39,25.23,25.19,24.58,24.47,24.64,24.6,24.28,23.53,24.53
T2M,2008,24.12,23.32,24.38,25.1,24.9,24.73,24.34,24.53,24.45,24.88,24.44,23.57,24.4
T2M,2009,23.0,24.13,24.53,25.07,25.18,25.08,24.58,24.79,24.78,24.71,24.35,23.81,24.5
T2M,2010,23.7,24.77,25.31,25.85,26.24,25.08,24.56,24.62,24.89,24.63,24.2,23.24,24.75
T2M,2011,23.15,23.76,24.13,25.06,25.27,24.94,24.5,24.6,24.53,24.34,24.17,23.75,24.35
T2M,2012,23.71,24.35,24.47,25.01,25.43,25.04,24.36,24.64,24.55,24.54,24.89,24.03,24.58
T2M,2013,23.93,23.89,25.35,25.19,25.57,25.06,24.6,24.45,24.53,24.5,24.44,23.76,24.61
T2M,2014,22.79,23.61,24.41,25.62,25.85,25.56,24.96,24.68,25.01,24.9,24.61,23.96,24.67
T2M,2015,23.15,23.45,24.71,25.57,25.72,25.28,24.98,25.17,25.06,25.23,24.95,24.57,24.83
T2M,2016,24.9,24.31,25.63,26.42,26.36,25.11,25.1,25.01,24.77,24.51,24.76,23.87,25.06
T2M,2017,24.07,24.19,24.89,25.18,25.65,25.28,24.6,24.63,24.87,25.02,24.54,24.18,24.76
T2M,2018,23.79,23.91,25.08,25.47,25.78,24.89,24.51,24.46,24.72,24.76,24.7,24.41,24.71
T2M,2019,24.06,24.34,25.17,26.15,25.77,25.37,25.16,24.9,25.1,25.07,24.67,23.83,24.97
T2M,2020,24.27,24.18,25.27,25.58,25.87,24.96,24.69,24.95,24.78,24.53,24.67,24.03,24.82
T2M,2021,23.46,23.48,24.62,25.17,25.66,24.79,24.67,24.61,24.78,24.82,24.47,24.17,24.56
T2M,2022,23.91,24.11,25.27,25.16,25.43,24.91,24.94,24.75,24.51,24.58,24.31,23.64,24.63
T2M,2023,23.49,23.91,24.41,25.82,25.96,25.54,25.17,25.4,25.33,25.68,24.98,24.68,25.04
