# Area: Mexico
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  23.63   Longitude -102.55 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2037.31 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,9.39,12.7,14.27,18.01,20.51,22.25,20.69,20.69,19.08,17.63,14.35,12.39,16.85
T2M,1982,12.44,13.74,18.07,20.83,21.87,23.54,20.48,20.3,19.64,17.19,13.11,10.64,17.67
T2M,1983,9.64,9.84,12.81,17.19,21.95,22.28,19.57,19.07,18.3,16.52,13.39,11.76,16.06
T2M,1984,10.64,11.06,15.16,18.82,19.94,21.12,17.44,18.37,16.89,16.65,13.24,12.38,15.99
T2M,1985,9.85,12.48,16.58,17.07,21.9,20.51,18.45,19.39,19.26,16.97,13.83,11.1,16.47
T2M,1986,10.14,12.49,13.75,19.78,21.05,20.32,18.23,19.57,19.03,16.29,14.11,10.24,16.26
T2M,1987,9.15,10.13,12.32,16.38,18.8,21.18,19.55,19.81,19.22,15.11,12.74,12.15,15.57
T2M,1988,9.63,12.79,14.28,17.62,21.52,21.34,19.49,19.24,18.18,16.42,14.72,12.18,16.45
T2M,1989,13.09,14.21,15.01,19.03,21.85,22.98,20.71,18.43,16.51,15.56,13.24,8.7,16.62
T2M,1990,11.2,10.98,15.12,18.18,21.58,22.24,19.19,18.47,17.94,15.22,12.91,10.92,16.19
T2M,1991,10.66,11.53,14.09,18.17,21.58,22.05,17.36,18.22,16.67,14.67,12.12,10.82,15.68
T2M,1992,8.43,9.4,13.32,15.78,18.61,21.98,20.52,19.62,18.62,15.45,11.59,12.61,15.51
T2M,1993,11.17,12.54,13.88,17.58,19.07,21.39,19.15,19.01,17.68,16.59,14.18,12.42,16.24
T2M,1994,11.03,14.2,16.46,18.13,22.81,21.68,20.99,20.17,18.14,16.95,15.59,12.85,17.43
T2M,1995,11.36,13.59,16.28,18.25,22.63,22.28,20.26,20.2,19.64,16.62,14.46,11.57,17.28
T2M,1996,10.69,13.74,14.38,17.36,23.1,21.55,20.96,19.83,19.42,15.36,12.21,11.28,16.66
T2M,1997,9.32,12.08,15.23,15.39,19.65,22.78,20.87,20.44,19.32,16.13,14.38,9.18,16.25
T2M,1998,10.3,10.57,14.54,19.15,23.39,23.57,21.1,19.69,18.73,16.88,15.19,12.72,17.18
T2M,1999,10.68,14.67,16.59,20.6,22.07,22.84,20.09,20.6,19.03,16.42,12.44,10.44,17.21
T2M,2000,12.99,14.79,17.07,20.42,22.64,20.27,20.58,19.32,19.47,17.32,14.46,11.71,17.59
T2M,2001,12.27,14.77,14.99,21.33,20.99,21.74,21.72,21.12,19.15,16.44,13.49,12.04,17.51
T2M,2002,11.43,12.46,16.59,21.24,23.38,22.11,19.93,19.59,18.28,17.65,12.88,10.58,17.2
T2M,2003,11.07,13.54,15.4,20.04,24.22,22.76,20.12,20.05,18.69,16.34,15.03,10.42,17.32
T2M,2004,10.08,11.12,16.58,17.43,21.78,20.94,20.58,19.95,18.09,17.59,12.94,11.31,16.55
T2M,2005,12.22,12.97,13.67,19.18,21.4,24.06,21.33,20.19,19.51,17.99,14.33,11.94,17.42
T2M,2006,11.81,14.0,17.59,21.68,21.62,21.97,20.58,19.57,18.76,16.91,12.98,10.33,17.33
T2M,2007,11.25,12.27,16.11,18.45,21.77,21.78,19.74,19.59,19.36,17.22,14.37,13.39,17.13
T2M,2008,11.36,13.87,15.24,20.21,21.57,22.46,20.08,19.95,17.4,15.16,12.5,11.88,16.81
T2M,2009,12.87,14.42,17.3,19.3,21.74,22.01,21.93,20.97,18.96,17.96,12.69,10.65,17.59
T2M,2010,9.13,9.89,12.73,18.05,22.35,23.53,19.98,21.05,19.86,16.64,12.69,11.3,16.46
T2M,2011,11.55,14.17,18.21,21.11,23.26,23.44,21.24,21.79,19.39,16.87,13.92,12.93,18.18
T2M,2012,12.4,13.31,17.16,19.69,22.07,22.8,20.74,21.08,19.16,18.29,14.88,13.04,17.9
T2M,2013,11.14,14.49,15.53,19.57,22.11,22.9,20.27,20.2,18.8,17.62,13.86,11.57,17.35
T2M,2014,10.2,14.71,16.22,19.97,21.01,21.91,20.37,20.69,18.92,17.33,12.4,11.92,17.14
T2M,2015,11.68,12.81,13.98,17.86,20.48,20.38,19.74,20.86,20.12,17.53,16.17,12.09,16.99
T2M,2016,8.98,12.55,14.8,19.36,22.69,21.63,21.7,20.35,19.29,17.31,14.11,13.5,17.2
