# Area: Mozambique
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -18.67   Longitude 35.53 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 46.67 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,27.21,25.86,25.03,23.05,20.64,18.96,18.88,21.36,24.63,25.75,28.97,27.2,23.95
T2M,1982,26.13,25.68,24.83,23.57,20.98,20.53,20.82,22.09,23.38,25.74,27.65,28.55,24.15
T2M,1983,29.46,26.74,26.85,26.32,25.13,22.98,22.14,21.91,26.12,26.33,29.03,26.66,25.79
T2M,1984,26.66,26.61,25.55,23.66,22.87,20.94,21.4,21.98,25.79,28.2,27.34,27.8,24.9
T2M,1985,26.91,25.82,25.78,23.75,22.32,20.83,21.7,23.2,26.35,27.34,27.82,26.72,24.87
T2M,1986,25.71,25.69,24.91,24.17,21.23,20.02,20.71,22.6,24.81,26.06,27.38,26.59,24.14
T2M,1987,25.96,27.03,27.8,26.32,24.35,20.82,20.89,23.56,26.54,26.06,29.38,29.13,25.64
T2M,1988,29.16,26.42,25.92,25.69,22.58,21.26,21.88,22.44,25.52,27.74,25.9,25.87,25.03
T2M,1989,27.13,25.24,24.9,23.58,22.0,21.63,21.7,23.68,25.86,27.24,28.49,26.88,24.86
T2M,1990,26.26,25.66,25.3,25.12,23.2,22.14,21.6,22.26,24.36,27.24,28.1,28.92,25.01
T2M,1991,29.19,27.89,25.87,24.11,22.96,21.49,21.66,22.7,26.37,26.55,27.65,27.15,25.28
T2M,1992,29.04,28.32,28.45,26.59,25.13,22.52,21.4,22.24,25.38,28.05,28.91,28.66,26.22
T2M,1993,26.52,27.4,26.58,26.86,25.3,22.76,21.2,22.38,24.95,27.5,27.02,28.39,25.56
T2M,1994,27.02,26.6,25.68,24.97,23.48,21.52,20.91,21.87,25.17,25.41,29.21,27.77,24.95
T2M,1995,27.15,27.22,26.74,25.05,23.84,20.8,21.15,23.29,25.0,29.63,28.77,26.72,25.44
T2M,1996,26.29,25.74,24.81,22.66,21.72,20.04,19.54,21.41,25.6,27.39,29.98,27.2,24.36
T2M,1997,27.27,25.48,25.34,22.98,20.19,20.98,20.26,22.11,25.3,26.19,28.96,27.38,24.36
T2M,1998,27.57,27.09,27.99,26.33,24.61,22.27,22.21,22.26,25.06,27.56,27.52,26.69,25.59
T2M,1999,26.12,25.59,25.38,23.7,21.29,20.72,20.1,22.22,25.02,25.93,28.58,28.86,24.45
T2M,2000,29.11,28.11,27.47,25.66,23.3,22.49,21.57,21.76,25.96,26.29,29.05,28.36,25.75
T2M,2001,27.72,26.16,25.97,24.97,23.72,21.94,21.36,23.68,25.59,27.28,29.74,29.24,25.61
T2M,2002,26.54,26.13,26.69,25.5,24.15,21.69,22.32,23.52,25.45,26.77,26.11,28.24,25.26
T2M,2003,26.99,27.33,25.96,23.6,22.08,21.54,20.64,22.09,25.66,28.08,29.18,29.46,25.2
T2M,2004,28.46,26.21,25.99,24.94,22.11,20.82,21.11,23.36,25.19,27.13,29.25,28.04,25.21
T2M,2005,27.37,26.8,26.18,25.06,23.05,22.22,21.51,24.14,26.21,28.17,30.18,27.96,25.73
T2M,2006,27.06,27.94,26.42,24.58,23.06,21.65,21.47,23.1,24.51,28.09,28.26,29.13,25.43
T2M,2007,26.38,26.22,25.63,24.14,21.77,20.58,20.03,22.1,25.47,27.31,28.64,26.55,24.55
T2M,2008,26.47,25.67,24.74,22.54,22.75,21.01,21.51,23.04,25.74,27.67,29.71,27.75,24.88
T2M,2009,27.28,27.13,26.43,24.64,23.89,22.71,20.76,22.55,25.98,27.46,28.14,28.97,25.48
T2M,2010,30.05,28.34,26.81,27.78,25.03,21.87,21.35,21.93,24.84,28.56,29.58,26.37,26.02
T2M,2011,26.71,25.61,26.61,26.07,24.35,22.2,20.9,20.82,25.13,27.93,29.35,29.02,25.39
T2M,2012,27.09,28.02,27.67,25.23,23.94,22.56,21.5,23.78,27.09,28.16,27.88,26.91,25.81
T2M,2013,26.45,25.77,24.9,23.29,21.25,20.73,20.06,23.05,26.2,25.69,29.28,27.86,24.53
T2M,2014,26.59,26.37,26.47,24.97,24.07,22.05,22.1,23.27,25.03,26.52,28.41,28.23,25.33
T2M,2015,26.37,26.47,26.73,26.06,24.49,22.63,22.8,23.63,26.32,28.62,29.78,29.7,26.13
T2M,2016,28.6,29.06,28.83,26.07,23.39,21.83,21.32,22.43,26.27,28.45,29.2,28.97,26.19
T2M,2017,27.42,27.64,25.61,24.03,22.57,22.16,21.3,22.64,25.35,28.21,26.78,26.73,25.02
T2M,2018,25.44,26.34,26.16,24.39,23.8,21.9,20.61,23.2,26.75,26.25,27.55,27.29,24.96
T2M,2019,26.81,27.05,25.54,24.52,22.87,21.92,21.77,24.13,24.75,29.48,30.02,28.44,25.6
T2M,2020,27.09,26.9,25.44,25.18,23.06,21.92,21.1,23.34,25.35,27.05,30.15,27.41,25.32
T2M,2021,27.56,26.78,25.28,24.34,22.83,21.58,21.18,22.9,25.34,27.34,29.97,30.22,25.43
T2M,2022,27.39,26.53,25.08,24.92,21.88,20.23,19.99,22.52,25.66,28.79,27.51,28.09,24.87
T2M,2023,28.05,27.72,25.31,25.53,24.94,24.36,21.84,23.3,27.26,28.57,28.34,29.58,26.22
