# Area: Myanmar
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  21.92   Longitude 95.96 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 352.38 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,21.56,23.17,27.61,29.99,30.63,27.86,28.4,28.05,27.83,26.89,23.82,20.83,26.4
T2M,1982,20.33,22.78,27.7,30.71,31.11,29.07,29.76,28.51,28.41,27.01,24.48,20.98,26.75
T2M,1983,19.59,22.63,27.22,31.12,31.56,31.89,31.2,29.75,29.5,29.51,24.15,20.12,27.37
T2M,1984,20.09,24.23,27.59,31.3,32.21,28.46,29.15,28.04,28.24,26.91,25.45,21.8,26.96
T2M,1985,20.97,22.3,28.18,31.52,30.27,28.35,28.04,28.91,29.33,29.24,24.29,21.91,26.96
T2M,1986,21.25,23.83,27.43,31.11,31.04,30.79,29.47,30.31,29.1,27.19,25.3,22.53,27.46
T2M,1987,20.96,23.19,27.1,30.31,32.65,30.53,29.3,30.03,29.25,29.93,27.49,23.15,27.85
T2M,1988,21.65,24.45,27.82,30.68,31.03,29.69,30.51,30.24,30.78,29.27,25.52,23.25,27.91
T2M,1989,19.92,23.14,27.54,30.98,32.48,31.15,30.65,30.2,30.8,29.13,25.83,20.81,27.74
T2M,1990,21.05,23.78,26.41,30.51,29.81,30.64,30.05,31.56,30.68,30.28,27.09,21.94,27.83
T2M,1991,20.93,24.22,29.48,31.57,33.17,30.1,30.8,30.59,30.78,29.3,25.33,21.57,28.17
T2M,1992,19.91,21.19,27.67,30.64,30.91,30.25,29.34,29.48,29.22,27.85,24.59,20.04,26.77
T2M,1993,20.18,23.19,27.17,31.09,31.26,30.24,31.56,30.23,31.18,29.76,25.6,23.02,27.89
T2M,1994,22.29,23.11,27.92,31.72,33.44,31.3,30.87,30.28,30.81,29.0,25.47,21.41,28.16
T2M,1995,20.87,23.24,28.23,32.23,32.25,31.38,30.98,30.88,30.81,29.89,26.41,21.4,28.23
T2M,1996,20.92,24.14,28.46,31.59,32.16,30.99,30.98,30.35,31.44,30.27,26.94,23.76,28.5
T2M,1997,20.23,22.04,27.65,29.45,31.92,29.53,29.6,29.42,29.71,29.62,26.11,23.37,27.42
T2M,1998,21.24,24.01,27.54,31.34,32.27,32.21,30.63,31.43,32.08,31.67,28.59,24.44,28.97
T2M,1999,22.17,26.36,27.85,31.74,30.76,31.36,31.28,30.35,30.92,30.33,27.2,22.7,28.58
T2M,2000,21.95,23.27,26.95,31.67,31.05,31.48,30.69,31.33,30.63,30.09,26.38,22.5,28.17
T2M,2001,20.89,24.81,28.4,32.31,31.2,30.2,30.98,31.97,31.65,29.86,25.95,23.14,28.46
T2M,2002,21.97,24.56,28.29,31.4,31.48,31.77,30.43,30.68,30.88,29.17,26.6,22.42,28.31
T2M,2003,20.77,24.09,27.23,32.25,32.67,31.46,31.68,31.94,31.66,31.03,26.32,23.59,28.74
T2M,2004,21.15,23.2,28.25,31.11,31.2,30.74,30.43,30.82,29.48,29.45,26.49,21.8,27.85
T2M,2005,21.42,24.74,28.42,31.24,33.07,31.8,31.44,31.33,31.79,30.9,26.65,23.51,28.88
T2M,2006,22.01,25.23,28.58,31.05,30.76,31.63,30.7,30.94,30.69,30.06,26.75,21.93,28.37
T2M,2007,21.07,22.42,26.72,30.42,31.28,32.39,31.04,30.94,30.75,29.33,26.73,22.72,28.01
T2M,2008,21.74,22.89,28.1,31.86,30.41,28.73,28.18,28.62,29.03,28.08,25.29,22.24,27.1
T2M,2009,22.08,24.37,27.29,30.11,31.37,29.52,29.8,29.04,29.56,29.7,26.25,21.75,27.58
T2M,2010,22.14,23.71,27.85,30.99,31.48,30.28,29.6,28.99,28.67,27.66,26.1,21.6,27.44
T2M,2011,20.05,23.5,25.91,29.26,29.17,29.26,29.41,27.75,28.6,28.07,25.27,22.68,26.59
T2M,2012,20.95,23.64,26.99,29.84,31.51,29.05,28.49,28.78,29.36,28.85,26.56,22.53,27.22
T2M,2013,21.15,25.54,27.87,30.99,29.84,30.69,29.46,27.85,28.79,27.72,27.26,21.58,27.39
T2M,2014,21.95,23.6,27.66,31.89,31.42,30.44,29.67,29.13,29.69,29.31,26.42,23.27,27.89
T2M,2015,21.35,23.23,28.01,29.83,31.52,29.89,29.2,29.34,29.82,27.91,26.12,22.54,27.41
T2M,2016,20.26,24.55,28.47,31.59,30.74,29.27,28.72,29.01,29.5,28.66,25.85,24.49,27.59
T2M,2017,22.82,24.75,26.59,29.24,32.03,29.76,29.0,28.7,28.94,27.71,26.48,22.37,27.37
T2M,2018,20.48,23.88,27.76,30.65,30.07,28.84,29.19,28.75,29.26,26.68,25.39,23.32,27.03
T2M,2019,21.45,24.11,26.75,31.88,32.43,30.49,28.9,28.92,29.31,28.94,27.0,22.01,27.69
T2M,2020,20.72,23.26,27.83,30.22,31.64,29.48,28.84,28.3,28.88,28.49,25.65,22.73,27.18
T2M,2021,22.36,23.51,28.46,30.66,31.0,29.46,29.7,29.15,29.63,29.41,27.09,22.93,27.8
T2M,2022,21.43,21.21,28.66,30.86,29.5,28.81,30.33,29.28,29.7,29.35,27.17,23.61,27.53
T2M,2023,22.02,24.33,27.51,31.53,31.79,30.65,31.27,29.25,29.36,28.55,26.26,23.51,28.02
