# Area: Pakistan
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  30.38   Longitude 69.35 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1381.46 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,6.23,8.97,13.58,21.74,26.11,29.8,29.01,27.56,25.37,18.14,12.58,8.68,19.03
T2M,1982,6.11,5.78,9.87,17.61,21.46,27.57,29.95,26.66,23.68,19.36,12.41,6.49,17.31
T2M,1983,5.45,7.43,11.67,16.6,24.98,29.71,29.04,26.89,25.14,17.87,13.12,6.73,17.94
T2M,1984,4.57,5.65,16.61,21.12,27.44,31.35,28.32,26.25,22.14,16.61,13.06,7.39,18.41
T2M,1985,6.28,11.14,16.81,20.95,26.03,30.16,28.85,28.4,25.51,18.4,13.48,8.25,19.56
T2M,1986,5.75,7.92,12.38,21.12,26.18,30.13,30.2,27.06,24.66,19.88,13.25,6.96,18.84
T2M,1987,7.93,10.22,14.28,20.57,23.72,29.3,30.55,28.58,26.43,19.58,14.71,10.32,19.73
T2M,1988,8.43,10.04,13.47,22.25,28.24,30.58,30.12,28.45,26.06,19.41,13.75,9.43,20.04
T2M,1989,5.41,7.34,13.19,17.81,24.55,29.41,28.45,28.0,24.53,19.38,13.46,8.19,18.37
T2M,1990,7.65,8.14,13.16,19.29,27.74,29.78,30.91,28.32,26.36,18.66,13.97,8.02,19.39
T2M,1991,6.61,7.59,14.67,19.5,25.74,30.12,31.58,29.44,25.23,17.82,12.47,9.55,19.26
T2M,1992,6.58,7.9,11.5,17.04,23.54,29.35,28.09,26.47,23.5,17.75,13.65,9.98,17.97
T2M,1993,4.83,10.79,12.14,20.97,27.03,28.57,28.31,28.53,24.88,18.22,14.53,10.1,19.11
T2M,1994,7.3,7.96,15.35,18.04,26.42,30.34,28.81,28.82,22.37,18.16,14.92,8.4,18.97
T2M,1995,6.29,9.42,12.28,18.64,25.34,30.04,29.95,29.22,24.66,19.22,13.33,7.55,18.87
T2M,1996,5.84,9.69,14.36,20.39,23.97,29.34,29.53,28.97,26.03,18.72,11.91,8.62,18.97
T2M,1997,6.47,8.94,12.76,18.05,23.29,28.52,30.65,28.68,25.46,17.16,11.26,6.51,18.19
T2M,1998,6.11,8.72,13.77,22.28,26.26,27.44,29.83,29.75,25.72,19.79,14.01,12.74,19.76
T2M,1999,7.16,9.18,14.47,22.16,26.56,30.23,30.84,28.45,26.37,20.16,14.07,10.35,20.05
T2M,2000,7.78,7.49,13.83,23.49,29.82,30.03,29.43,29.5,25.88,20.8,13.09,9.97,20.13
T2M,2001,6.66,9.68,14.87,21.38,29.25,29.96,29.79,29.21,23.98,20.56,14.28,10.83,20.1
T2M,2002,7.76,8.93,15.52,21.89,28.29,29.6,29.96,29.02,24.65,19.75,13.67,9.32,19.92
T2M,2003,8.26,9.68,14.65,21.88,24.59,30.35,28.46,27.99,25.03,19.12,12.43,8.63,19.3
T2M,2004,7.51,11.24,18.36,22.91,26.97,29.39,30.33,28.41,25.44,17.45,14.55,9.6,20.2
T2M,2005,5.26,7.0,14.09,19.0,23.56,29.83,29.73,28.69,25.4,19.62,12.97,8.89,18.73
T2M,2006,6.75,14.1,14.16,21.33,29.51,28.94,29.97,26.99,24.67,21.11,13.05,7.25,19.84
T2M,2007,6.66,9.38,13.09,22.83,26.82,29.42,27.77,28.61,25.37,18.46,15.12,7.45,19.29
T2M,2008,3.81,7.76,17.16,20.53,27.33,29.97,28.63,28.11,25.04,20.63,14.03,10.01,19.45
T2M,2009,7.18,10.12,15.78,19.43,27.45,28.27,29.64,30.18,25.77,18.59,13.2,8.61,19.57
T2M,2010,8.95,9.86,18.2,23.37,27.15,29.31,28.82,26.22,23.61,20.57,13.67,8.31,19.89
T2M,2011,6.69,8.53,15.39,20.08,28.43,31.17,29.24,28.73,24.47,19.79,15.45,8.58,19.77
T2M,2012,5.07,6.38,14.05,20.12,25.62,29.54,30.7,28.39,23.08,18.4,13.21,8.77,18.65
T2M,2013,7.07,8.53,14.5,18.91,25.83,30.21,30.5,27.34,25.47,20.8,13.09,8.43,19.28
T2M,2014,7.19,7.91,13.19,20.14,24.66,30.84,30.84,28.98,25.7,20.04,13.64,8.94,19.4
T2M,2015,7.52,10.71,13.17,21.41,26.62,28.78,29.28,28.4,24.62,20.33,13.37,8.95,19.47
T2M,2016,9.21,10.78,15.39,21.17,28.15,30.86,30.5,27.45,26.29,20.16,14.81,12.61,20.64
T2M,2017,6.24,9.76,15.16,23.44,27.55,29.0,29.29,28.99,24.99,20.7,13.0,8.8,19.79
T2M,2018,8.43,10.62,17.05,22.34,25.98,30.37,29.79,30.07,25.26,18.8,14.12,8.74,20.18
T2M,2019,6.95,6.58,11.81,19.89,23.95,28.86,30.27,28.28,27.28,19.52,11.97,8.14,18.69
T2M,2020,4.52,9.61,11.02,17.09,21.96,24.74,26.8,26.76,22.46,17.52,11.58,7.43,16.81
T2M,2021,7.87,12.94,16.88,20.34,25.01,29.19,29.23,28.19,24.81,19.09,13.64,8.88,19.7
T2M,2022,6.35,9.14,17.48,24.14,27.98,28.12,25.97,23.75,22.43,18.06,13.5,9.18,18.89
T2M,2023,5.37,12.6,15.0,18.46,23.06,27.65,27.26,26.79,25.99,20.43,14.35,10.89,19.01
