# Area: Paraguay
-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2023 in LST
Location: Latitude  -23.44   Longitude -58.44 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 100.87 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,27.88,27.1,27.07,25.78,23.83,16.26,17.01,21.93,22.26,26.01,28.51,26.47,24.16
T2M,1982,28.2,27.05,26.0,24.6,21.28,20.44,21.79,23.11,25.65,25.42,28.59,26.74,24.89
T2M,1983,29.38,29.45,28.33,26.03,21.75,15.76,18.36,20.11,20.55,26.66,26.92,30.4,24.46
T2M,1984,30.71,31.25,29.31,23.08,23.3,19.24,21.75,20.29,25.66,30.53,29.04,28.99,26.09
T2M,1985,29.83,30.02,28.65,26.37,24.13,20.89,20.37,20.92,25.06,28.96,30.75,34.18,26.66
T2M,1986,32.63,30.71,28.43,27.29,24.03,22.08,20.73,23.69,24.63,26.06,30.91,29.49,26.7
T2M,1987,29.04,25.76,27.42,25.09,18.26,17.49,22.76,19.13,23.04,24.97,28.83,27.72,24.12
T2M,1988,28.85,27.37,28.55,24.33,18.55,17.42,16.41,23.37,24.87,24.5,27.72,29.88,24.31
T2M,1989,28.09,28.47,26.71,24.17,20.42,20.12,17.77,21.1,20.68,24.54,27.82,29.49,24.09
T2M,1990,30.65,28.72,29.37,27.11,20.04,17.41,15.94,21.37,20.65,26.85,28.26,29.43,24.63
T2M,1991,30.38,29.27,27.42,25.82,21.52,19.06,18.83,21.76,25.86,26.04,26.1,28.13,24.99
T2M,1992,27.89,28.22,25.07,22.77,20.93,20.25,14.08,18.16,19.88,23.36,24.53,27.69,22.72
T2M,1993,28.74,27.15,29.36,26.08,21.84,19.83,18.25,19.81,23.61,26.5,26.72,29.46,24.77
T2M,1994,30.82,29.29,27.26,24.01,22.81,18.93,18.55,21.55,27.33,26.73,28.24,29.94,25.43
T2M,1995,28.25,26.6,26.74,22.71,18.77,20.47,21.25,23.19,26.44,24.43,28.08,29.02,24.65
T2M,1996,28.67,27.98,27.08,24.85,20.93,15.45,16.33,23.06,21.95,25.74,26.78,29.76,24.05
T2M,1997,29.05,26.93,27.22,24.29,21.4,19.3,20.9,22.11,26.6,26.83,28.75,28.06,25.11
T2M,1998,31.7,29.3,25.77,22.98,19.08,18.45,20.84,19.37,20.49,25.25,27.39,28.28,24.05
T2M,1999,29.52,29.93,28.81,24.13,19.38,17.87,17.13,21.4,27.35,28.23,26.65,29.63,24.97
T2M,2000,32.28,29.58,27.48,25.05,18.9,19.21,14.09,21.43,22.99,28.63,25.79,27.85,24.42
T2M,2001,29.53,27.9,27.14,25.49,19.18,18.75,21.13,25.64,25.76,26.56,27.92,27.0,25.15
T2M,2002,29.48,27.62,29.49,27.0,22.5,18.32,17.57,22.82,24.34,30.46,29.09,28.82,25.62
T2M,2003,28.64,28.23,26.59,24.25,21.37,22.39,19.78,19.34,23.85,27.12,28.09,27.22,24.71
T2M,2004,28.87,29.0,27.8,26.08,16.37,18.52,16.89,19.35,25.29,26.06,24.65,26.72,23.77
T2M,2005,27.55,28.82,29.42,25.16,22.34,20.83,17.72,22.15,20.11,26.09,26.2,27.46,24.47
T2M,2006,30.16,30.36,29.39,24.37,18.79,21.19,22.32,22.08,23.11,27.06,26.1,27.88,25.21
T2M,2007,28.59,27.61,27.73,25.44,17.66,18.81,16.67,18.97,26.78,29.28,26.19,27.96,24.28
T2M,2008,27.46,26.54,26.02,23.16,19.41,16.55,21.82,20.75,21.83,26.31,26.04,30.12,23.84
T2M,2009,28.84,29.44,30.18,28.08,22.81,16.56,15.85,20.16,22.41,25.8,30.31,27.1,24.76
T2M,2010,26.96,28.24,27.21,23.91,17.58,19.05,16.76,18.91,22.61,22.79,24.59,29.15,23.11
T2M,2011,28.95,26.76,25.35,24.11,20.32,18.34,18.44,20.52,23.53,26.59,26.28,27.62,23.89
T2M,2012,28.16,27.35,24.38,22.6,19.57,16.99,15.15,20.9,25.08,28.15,28.44,30.14,23.9
T2M,2013,30.19,30.01,27.14,22.35,19.78,17.95,17.15,17.07,22.95,25.04,26.71,29.06,23.75
T2M,2014,27.23,29.11,25.92,23.64,19.79,18.18,17.2,20.14,24.96,29.72,26.94,29.44,24.33
T2M,2015,30.03,29.01,28.08,25.54,20.93,19.42,17.36,22.09,24.62,25.42,26.44,27.2,24.65
T2M,2016,27.97,27.77,24.91,25.01,18.16,14.44,18.27,21.29,21.82,26.43,26.6,27.34,23.32
T2M,2017,30.53,28.68,27.59,23.36,21.08,18.8,20.54,23.46,26.35,27.62,26.21,29.31,25.28
T2M,2018,27.85,27.31,25.82,26.45,21.97,16.98,18.31,18.58,24.86,25.64,25.74,26.75,23.83
T2M,2019,29.9,28.56,25.81,23.56,20.1,19.16,15.98,18.9,23.96,28.31,30.48,27.2,24.29
T2M,2020,29.75,29.77,31.08,24.54,20.92,20.88,18.89,22.12,23.92,28.77,26.7,28.16,25.45
T2M,2021,27.39,26.68,27.37,24.87,20.77,18.84,18.77,22.45,27.27,25.94,27.86,31.74,24.99
T2M,2022,33.02,29.19,27.53,25.68,18.88,16.99,23.0,21.13,21.51,24.2,24.94,30.03,24.66
T2M,2023,30.16,27.13,26.36,22.61,20.51,19.72,21.3,25.53,29.03,30.79,31.7,31.26,26.34
